date,open,high,low,close,volume
2026-02-26,58.31,58.98,52.85,53.69,5508372.305043
2026-02-27,65.93,84.31,65.568,84.23,24886245.350381
2026-03-02,107.55,110.0,93.78,102.51,27112833.201298
2026-03-03,91.5,97.4,86.05,95.34,16983252.898363
2026-03-04,101.2,101.497,92.22,99.71,10474470.011186
2026-03-05,97.49,102.28,91.35,101.14,10217741.98075
2026-03-06,98.0,114.63,95.07,95.58,15240659.094159
2026-03-09,95.175,110.87,93.73,110.62,13837953.768506
2026-03-10,112.1,127.39,112.01,120.49,13617299.725263
2026-03-11,118.55,128.96,113.88,127.01,10310449.960418
2026-03-12,115.53,116.91,104.98,106.19,15398431.717258
2026-03-13,104.37,105.385,94.15,96.81,14962137.183381
2026-03-16,100.0,101.32,92.9,94.07,10815613.919603
2026-03-17,90.07,91.85,85.08,86.33,16650031.908505
2026-03-18,95.34,100.07,91.23,92.63,15330926.477863
2026-03-19,89.125,102.1,88.5,101.92,11294012.920439
2026-03-20,101.985,102.69,84.6,87.54,12205171.119344
2026-03-23,90.0,96.09,84.92,95.76,10729826.366188
2026-03-24,96.69,114.97,96.355,113.9,16895723.969775
2026-03-25,110.12,118.75,109.01,114.41,11312997.039106
2026-03-26,111.0,111.66,96.705,97.42,9617264.448136
2026-03-27,101.2,101.5,94.18,98.21,7600872.254812
2026-03-30,99.74,100.505,81.91,85.19,13584815.758411
2026-03-31,86.685,87.57,78.575,84.59,13094269.390986
2026-04-01,90.15,95.81,85.0,86.35,12788812.131572
2026-04-02,81.6,105.57,81.51,103.91,20043585.971951
2026-04-06,110.045,117.23,105.1,107.45,16994199.932943
2026-04-07,108.83,118.7,108.78,117.64,12271392.822207
2026-04-08,125.12,134.4899,119.03,132.7,15028898.776313
2026-04-09,132.725,145.1,127.11,133.3,16929459.540883
2026-04-10,139.745,154.75,128.02,150.6,21901680.20476
2026-04-13,148.53,155.4,143.5,153.19,11023252.495344
2026-04-14,154.505,154.7064,142.16,146.39,10767333.621501
2026-04-15,142.52,145.9899,135.1,142.55,9638320.896671
2026-04-16,140.0,157.3996,136.36,157.32,10688873.939479
2026-04-17,160.62,161.4699,152.5,159.42,8713142.472992
2026-04-20,159.99,163.59,151.65,163.47,6711383.941272
2026-04-21,164.49,173.4099,149.6801,150.57,10314925.990066
2026-04-22,155.5,159.15,138.62,149.42,9839509.278716
2026-04-23,147.785,153.2,132.63,137.73,8143643.539458
2026-04-24,142.02,164.87,140.0,162.17,13924392.554128
2026-04-27,153.1,153.45,141.5801,145.78,9442577.880114
2026-04-28,138.645,146.9,135.4,137.26,7158059.623993
2026-04-29,143.73,154.3188,138.1001,152.83,9604082.772884
2026-04-30,157.05,165.7693,149.73,164.36,8837966.18899
2026-05-01,162.675,191.87,158.0201,183.51,13196743.504275
2026-05-04,187.795,189.5,172.6,172.98,10179867.975336
2026-05-05,175.27,188.9246,174.2,180.57,7983961.658484
2026-05-06,186.96,187.93,169.24,178.54,9107476.575219
2026-05-07,172.6,172.6,152.1946,157.55,14494594.255315
2026-05-08,173.845,177.88,143.58,148.94,20778601.478535
2026-05-11,152.26,190.96,150.54,184.9,16660046.314869
2026-05-12,178.0,208.0,173.5,188.28,16391243.585612
2026-05-13,205.0,233.67,191.7389,223.1,18450375.628249
2026-05-14,216.38,218.94,199.08,203.57,12104029.944607
2026-05-15,191.25,200.61,186.05,190.36,8467743.203974
2026-05-18,194.42,194.73,165.595,173.26,13219112.765937
2026-05-19,167.345,175.9899,160.1,171.33,8979991.677277
2026-05-20,177.0,179.32,162.52,165.26,9784553.058304
2026-05-21,167.01,182.18,163.66,176.81,9868914.540024
2026-05-22,176.24,182.46,166.66,181.49,10301820.996735
2026-05-26,186.725,194.96,176.61,177.62,11319168.779981
2026-05-27,172.505,189.92,167.3,179.83,10258824.747036
2026-05-28,181.0,183.24,166.69,169.02,10018401.231984
2026-05-29,168.55,169.0,153.1,158.41,11922016.781101
2026-06-01,149.25,191.98,149.05,185.67,16045865.864322
2026-06-02,195.16,205.77,188.2,202.37,12724300.815449
2026-06-03,200.5,205.0,180.55,184.07,9948700.31205
2026-06-04,173.465,209.64,171.092,202.89,14528772.749867
2026-06-05,191.42,208.5,174.23,177.0,19828156.303249
2026-06-08,184.75,203.1999,177.05,196.64,14905710.32217
2026-06-09,202.805,207.6,160.87,162.88,26968735.360293
2026-06-10,171.79,184.91,167.42,175.13,17040945.77301
2026-06-11,167.555,175.2,162.1,172.78,14448538.633433
2026-06-12,173.14,179.9,163.66,169.05,12730850.8575
2026-06-15,177.27,194.97,176.6,191.55,14611895.442403
2026-06-16,194.21,196.5,169.87,170.81,13109799.000874
2026-06-17,174.715,177.59,165.7902,167.34,10005543.292793
2026-06-18,174.65,174.76,158.04,161.85,16726243.414323
2026-06-22,162.915,177.16,155.74,171.23,14536943.746106
2026-06-23,158.0,160.9945,145.26,147.44,13591943.927738
2026-06-24,149.51,150.34,137.7,146.97,10609896.767739
2026-06-25,151.19,152.4,134.31,138.54,13301886.140707
