date,open,high,low,close,volume
2026-04-15,1.55,1.67,1.49,1.67,40208618.651375
2026-04-16,1.66,1.67,1.54,1.61,41607826.43071
2026-04-17,1.64,1.94,1.64,1.86,88218227.577079
2026-04-20,1.86,1.91,1.74,1.83,37594585.432275
2026-04-21,1.84,1.84,1.66,1.67,36033997.281683
2026-04-22,1.69,1.83,1.6818,1.71,26433105.509787
2026-04-23,1.7,1.79,1.63,1.67,23075375.731709
2026-04-24,1.665,1.67,1.57,1.64,22228105.145281
2026-04-27,1.62,1.7,1.59,1.65,24735829.434619
2026-04-28,1.62,1.65,1.59,1.64,17853714.329236
2026-04-29,1.61,1.64,1.51,1.56,24683151.710221
2026-04-30,1.56,1.57,1.47,1.52,25146329.930024
2026-05-01,1.52,1.565,1.43,1.45,29869318.346563
2026-05-04,1.46,1.61,1.41,1.45,44420475.448993
2026-05-05,1.46,1.63,1.42,1.59,37781966.75792
2026-05-06,1.67,1.755,1.61,1.64,37087820.166007
2026-05-07,1.6242,1.66,1.52,1.52,40849963.823737
2026-05-08,1.53,1.545,1.48,1.5,18666657.823506
2026-05-11,1.48,1.51,1.41,1.41,21306252.968958
2026-05-12,1.42,1.42,1.34,1.34,21406343.446713
2026-05-13,1.32,1.38,1.31,1.33,18446368.734223
2026-05-14,1.33,1.385,1.32,1.34,21225666.984789
2026-05-15,1.33,1.345,1.27,1.28,19673175.68693
2026-05-18,1.25,1.4,1.24,1.36,20523916.163187
2026-05-19,1.35,1.46,1.349,1.36,22768235.323554
2026-05-20,1.45,1.6,1.435,1.52,34464712.924873
2026-05-21,1.51,1.58,1.46,1.56,18690426.998644
2026-05-22,1.57,1.64,1.5,1.51,20258220.504057
2026-05-26,1.54,1.62,1.52,1.59,28194065.313607
2026-05-27,1.58,1.6,1.52,1.58,18906607.880043
2026-05-28,1.56,1.61,1.55,1.58,19244705.824921
2026-05-29,1.56,1.79,1.55,1.73,42330673.745765
2026-06-01,1.78,2.215,1.78,2.12,116932691.690148
2026-06-02,2.07,2.08,1.925,2.07,47272267.553004
2026-06-03,1.99,2.0058,1.81,1.83,28971508.375821
2026-06-04,1.82,2.02,1.82,1.96,35952288.435508
2026-06-05,1.92,1.92,1.72,1.79,27135859.238933
2026-06-08,1.81,1.9,1.79,1.8,16091490.995957
2026-06-09,1.8,2.01,1.79,1.94,39784994.246796
2026-06-10,1.91,2.12,1.91,2.08,42323285.583241
2026-06-11,2.11,2.32,2.05,2.28,59898513.546153
2026-06-12,2.24,2.41,2.19,2.34,45783263.783838
2026-06-15,2.4,2.455,2.25,2.28,40149087.280901
2026-06-16,2.22,2.54,2.2,2.49,49829288.593389
2026-06-17,2.485,2.83,2.46,2.66,68883292.154874
2026-06-18,2.65,2.9,2.58,2.83,81447365.038697
2026-06-22,2.9,2.96,2.73,2.76,49295435.248065
2026-06-23,2.11,2.15,1.93,2.08,117400331.067757
2026-06-24,2.1,2.24,1.99,2.0,46912095.377548
2026-06-25,2.01,2.03,1.72,1.89,63905817.844354
2026-06-26,1.86,2.22,1.83,2.16,65890043.716583
2026-06-29,2.17,2.29,2.01,2.03,41402115.459914
2026-06-30,2.02,2.06,1.9,1.9,31319826.711933
2026-07-01,1.89,1.95,1.81,1.93,33570769.85878
2026-07-02,1.94,1.95,1.84,1.89,53970856.263604
2026-07-06,1.86,1.88,1.72,1.74,68889863.435242
2026-07-07,1.71,1.74,1.65,1.72,53437744.136081
2026-07-08,1.68,1.96,1.6,1.91,78775788.116375
2026-07-09,1.89,1.975,1.87,1.9,36896755.753968
2026-07-10,1.93,1.95,1.87,1.89,24249727.291925
2026-07-13,1.86,1.925,1.82,1.87,24195822.902344
2026-07-14,1.87,2.03,1.85,1.96,28572050.822007
2026-07-15,2.045,2.14,2.0,2.07,40665655.871874
2026-07-16,2.06,2.11,1.95,2.07,34115456.017333
2026-07-17,2.0,2.05,1.895,1.94,42022316.205942
2026-07-20,2.2,2.48,2.1,2.46,186756949.692562
2026-07-21,2.42,2.6,2.19,2.2,86645615.220995
2026-07-22,2.2,2.42,2.15,2.25,42301670.162219
2026-07-23,2.23,2.28,2.11,2.28,44787006.206866
2026-07-24,2.28,2.45,2.23,2.27,45396109.391721
2026-07-27,2.31,2.52,2.29,2.51,51059284.883045
2026-07-28,2.515,2.755,2.47,2.67,62263529.896116
2026-07-29,2.65,2.79,2.6,2.75,38085916.789309
2026-07-30,2.735,2.78,2.62,2.77,31313898.777455
2026-07-31,2.75,2.84,2.665,2.82,39689306.109727
2026-08-03,2.96,3.03,2.7628,2.85,68306918.229652
2026-08-04,2.85,2.87,2.61,2.68,42262950.202586
2026-08-05,2.66,2.74,2.6,2.67,28099385.353904
2026-08-06,2.65,2.71,2.54,2.57,18531747.656458
2026-08-07,2.58,2.61,2.455,2.59,16857776.337164
2026-08-10,2.56,2.58,2.39,2.42,18002250.522286
2026-08-11,2.42,2.49,2.38,2.4,14735781.377842
2026-08-12,2.38,2.58,2.38,2.53,15404683.665732
