date,open,high,low,close,volume
2026-03-30,201.48,203.8,199.9802,200.95,46373797.086344
2026-03-31,204.845,210.28,204.14,208.27,58470078.958599
2026-04-01,210.435,213.58,208.19,210.57,45955395.634078
2026-04-02,206.54,212.2125,204.9,209.77,31453039.744839
2026-04-06,209.795,212.95,209.59,212.79,25385495.849135
2026-04-07,211.24,213.97,209.075,213.77,28154557.551471
2026-04-08,223.79,226.1,219.62,221.25,51092698.343549
2026-04-09,225.232,233.8,223.27,233.65,65964171.556715
2026-04-10,235.295,240.43,235.21,238.38,56912842.375637
2026-04-13,237.45,240.0,235.75,239.89,42166150.601461
2026-04-14,241.78,252.18,241.78,249.02,72685026.849767
2026-04-15,249.25,250.44,247.2,248.5,43045160.172613
2026-04-16,248.51,250.0,244.2,249.7,41895711.391067
2026-04-17,254.985,256.18,250.11,250.56,52029291.222224
2026-04-20,249.19,250.18,245.365,248.28,39463106.767796
2026-04-21,255.09,255.09,249.1,249.91,42922398.579014
2026-04-22,252.44,255.94,250.33,255.36,36065067.564326
2026-04-23,255.39,258.79,253.07,255.08,39091394.412786
2026-04-24,259.98,264.5,257.685,263.99,53777353.325457
2026-04-27,263.46,264.15,260.34,261.12,44906840.425985
2026-04-28,258.39,261.03,256.63,259.7,42204447.805155
2026-04-29,257.99,265.91,257.7,263.04,72367910.800264
2026-04-30,273.17,273.88,256.16,265.06,100974867.812539
2026-05-01,265.58,273.315,262.74,268.26,50825231.681654
2026-05-04,268.795,276.1,268.795,272.05,49083734.03942
2026-05-05,276.075,278.56,272.38,273.55,41908529.622932
2026-05-06,272.89,277.8,272.2076,274.99,44551955.590996
2026-05-07,275.02,276.63,270.49,271.17,35892879.99976
2026-05-08,271.63,274.0,269.95,272.68,34732681.429519
2026-05-11,269.835,273.63,268.48,268.99,38176696.653149
2026-05-12,266.71,267.65,262.63,265.82,36776221.851312
2026-05-13,264.43,270.72,263.2,270.13,39670915.752859
2026-05-14,269.15,270.7799,266.63,267.22,31338435.05743
2026-05-15,262.5,264.355,260.8901,264.14,40770344.786636
2026-05-18,263.865,268.85,262.53,264.86,33690787.061047
2026-05-19,262.04,262.25,255.19,259.34,40340697.995327
2026-05-20,260.05,265.58,259.533,265.01,34933152.428413
2026-05-21,263.5,269.4899,261.37,268.46,36591743.768362
2026-05-22,268.655,269.785,266.235,266.32,27535526.478574
2026-05-26,267.94,269.3,262.07,265.29,38028118.450225
2026-05-27,266.15,272.41,265.7001,271.85,40061864.339068
2026-05-28,272.27,274.5,267.44,274.0,40630385.371083
2026-05-29,271.29,274.75,269.64,270.64,54749561.81571
2026-06-01,266.285,266.63,260.7,261.26,53604380.861687
2026-06-02,257.16,261.2025,254.37,256.52,41810982.727591
2026-06-03,254.7,257.09,247.71,250.02,51394191.354133
2026-06-04,253.12,255.83,251.75,253.79,35609769.114686
2026-06-05,254.255,256.38,245.78,246.03,55607844.252243
2026-06-08,246.68,249.42,243.36,245.22,33899525.449444
2026-06-09,247.73,250.43,240.4,244.19,44425363.501668
2026-06-10,243.605,244.065,237.45,238.0,38590237.173965
2026-06-11,237.93,242.14,235.18,241.51,41335399.436279
2026-06-12,243.21,243.36,233.59,238.55,51251141.707748
2026-06-15,245.02,247.805,244.73,246.02,41711576.245447
2026-06-16,248.0,249.51,245.4511,246.0,35187406.889795
2026-06-17,244.9,245.91,236.0,237.5,44780767.374573
2026-06-18,240.12,245.73,236.02,244.39,75624415.106909
2026-06-22,240.08,242.0,232.24,232.79,68388526.830323
2026-06-23,232.55,236.87,232.0,234.11,60492560.812896
2026-06-24,233.845,242.4199,232.95,234.27,70282581.972732
2026-06-25,232.02,232.32,225.55,227.01,77858478.381311
2026-06-26,227.205,233.9,226.125,232.69,248372085.397738
2026-06-29,234.215,249.71,233.8,240.14,77619228.296272
2026-06-30,237.35,241.54,237.171,238.34,66228262.451627
2026-07-01,239.75,244.9,234.9,241.7,53829851.521206
2026-07-02,241.605,246.72,241.08,242.67,48298137.20849
2026-07-06,243.795,246.04,240.88,244.16,40044034.277493
2026-07-07,246.975,248.93,242.7,245.98,40579603.320764
2026-07-08,244.27,244.8,240.52,243.62,29653043.188533
2026-07-09,239.82,247.5,238.25,247.04,38091688.222867
2026-07-10,249.55,251.03,244.41,245.34,31653997.972165
2026-07-13,244.68,249.65,244.18,247.31,34636091.861134
2026-07-14,245.55,248.56,243.8,247.49,30108054.059941
2026-07-15,249.75,256.48,249.75,254.96,45240622.660675
2026-07-16,255.12,258.0825,248.0,249.89,45343709.499517
2026-07-17,244.46,250.24,243.59,247.23,43572361.47262
2026-07-20,248.76,252.89,248.0,249.99,32406481.746756
2026-07-21,249.105,249.34,246.42,247.55,27732064.382445
2026-07-22,248.265,248.45,242.45,244.85,34112732.361554
2026-07-23,236.26,238.3499,232.0516,233.66,47465337.920504
2026-07-24,234.38,234.95,231.34,232.11,35017357.929881
