date,open,high,low,close,volume
2026-04-01,84.53,88.45,83.075,83.99,12056775.305584
2026-04-02,79.2,92.94,78.912,92.62,16940388.872588
2026-04-06,93.935,99.72,92.7701,94.81,13162254.063904
2026-04-07,93.1,95.66,89.6101,92.57,10175383.937059
2026-04-08,100.66,101.89,93.5862,96.46,11463984.159677
2026-04-09,96.135,98.5,90.61,91.61,9267690.440962
2026-04-10,92.85,98.35,91.7355,94.9,11817966.888676
2026-04-13,93.05,100.51,92.5,98.97,12801285.099354
2026-04-14,102.95,104.15,87.4,88.57,34049650.913945
2026-04-15,88.845,88.845,84.02,86.91,17386397.263681
2026-04-16,87.36,91.095,86.5,90.94,18094155.255205
2026-04-17,89.89,91.77,84.91,85.53,20114503.099571
2026-04-20,74.1,81.095,73.5,81.0,39864506.162202
2026-04-21,82.33,84.89,78.801,80.01,19997370.180232
2026-04-22,84.66,87.78,82.74,84.66,22048751.074697
2026-04-23,82.535,83.43,76.92,78.75,17469124.096083
2026-04-24,79.0,79.6,75.95,76.4,11878588.6953
2026-04-27,76.7,77.8,73.9,77.2,12289494.64496
2026-04-28,75.22,76.61,70.99,71.88,15266217.697801
2026-04-29,71.19,71.23,67.49,69.85,15006029.681442
2026-04-30,72.28,74.36,70.14,73.9,13483222.634179
2026-05-01,74.1,74.61,70.6101,70.89,13437979.189233
2026-05-04,70.45,70.58,68.045,68.43,12543176.602995
2026-05-05,68.85,68.85,63.43,63.87,19843309.161855
2026-05-06,66.27,71.49,65.75,70.68,18680450.230173
2026-05-07,72.38,73.7499,64.91,65.35,19441288.73419
2026-05-08,66.72,75.4,66.11,75.05,22685040.475156
2026-05-11,78.03,84.94,75.9,82.55,39710243.517289
2026-05-12,73.43,79.8669,69.92,72.96,32830768.013526
2026-05-13,72.665,77.675,71.6001,74.81,14987911.517089
2026-05-14,76.7,84.505,74.55,83.01,27216858.868135
2026-05-15,78.95,86.149,77.08,83.67,21746326.910981
2026-05-18,87.82,89.96,81.83,86.83,25080439.440643
2026-05-19,85.38,90.95,78.6579,88.1,21663618.226244
2026-05-20,87.26,92.57,86.49,89.58,20009958.577893
2026-05-21,89.45,97.645,88.85,96.23,24819866.657302
2026-05-22,98.52,107.59,98.41,105.86,30710495.098256
2026-05-26,112.595,127.1,112.46,119.7,48352874.654167
2026-05-27,124.0,131.2,118.04,129.6,36427622.606584
2026-05-28,126.865,133.8599,122.0,133.09,21640073.903617
2026-05-29,113.46,115.5,105.37,113.41,54954386.897506
2026-06-01,108.67,111.28,101.21,105.65,27218674.472895
2026-06-02,109.91,118.74,108.8,118.17,21436034.785644
2026-06-03,113.505,114.34,106.29,107.73,17835667.012264
2026-06-04,103.35,111.57,101.1,107.29,16848998.294556
2026-06-05,103.33,104.49,90.905,93.6,24000685.915127
2026-06-08,97.13,97.13,90.81,92.06,13679267.692326
2026-06-09,97.225,100.94,85.5,88.71,27018660.867896
2026-06-10,88.795,93.1,87.12,87.32,16178406.882483
2026-06-11,87.47,98.1,86.92,97.56,24756350.272538
2026-06-12,97.0,97.7295,81.5,82.41,55156322.036255
2026-06-15,86.03,89.76,83.985,87.57,23998728.78965
2026-06-16,85.7,89.6,82.11,82.25,20234926.297728
2026-06-17,85.87,88.9499,83.192,85.43,30349619.836537
2026-06-18,85.3,85.7,77.12,80.66,31679180.760966
2026-06-22,79.664,79.8,72.59,73.19,28409548.404397
2026-06-23,71.865,77.8,71.66,72.87,21230951.779403
2026-06-24,71.9,72.1,67.06,68.01,21496358.548648
2026-06-25,68.76,68.76,63.72,65.62,22388478.714043
2026-06-26,64.675,73.1999,64.51,71.45,22244805.709284
2026-06-29,76.13,86.95,75.98,86.77,33358036.485187
2026-06-30,81.915,89.87,81.915,88.86,24185470.944885
2026-07-01,86.91,91.815,83.4,86.1,18219281.200055
2026-07-02,87.42,90.6436,81.85,85.13,15993784.710065
2026-07-06,86.285,88.25,80.11,80.64,12128646.491313
2026-07-07,79.075,80.09,74.1,74.21,13093048.306924
2026-07-08,73.76,77.9699,73.2,74.95,9520342.220401
2026-07-09,75.34,75.53,71.77,73.88,10675619.843386
2026-07-10,74.08,74.08,71.3,73.32,7403608.801182
2026-07-13,72.0,72.54,66.73,67.58,13047739.631002
2026-07-14,69.78,72.17,68.64,68.82,9555509.794274
2026-07-15,68.86,70.38,64.59,66.31,15617391.327058
2026-07-16,59.2,61.5,53.33,55.01,53050102.587744
2026-07-17,54.845,61.67,54.4,57.8,30377042.300579
2026-07-20,58.11,59.46,56.12,57.42,15854763.321066
2026-07-21,58.88,64.63,58.8,63.34,21478750.652561
2026-07-22,62.745,63.9151,61.2254,61.95,10936460.185344
2026-07-23,59.97,62.83,57.66,59.18,11963320.159982
2026-07-24,59.45,59.455,55.73,56.2,11099669.75242
2026-07-27,56.43,59.5,56.1501,58.29,8327651.153422
2026-07-28,56.29,57.99,53.36,56.55,13110681.397051
2026-07-29,57.36,59.369,52.8,53.03,12875346.32379
