date,open,high,low,close,volume
2026-04-02,44.52,53.0,42.1,52.84,15938044.16099
2026-04-06,49.365,49.59,39.7,41.99,21202466.857043
2026-04-07,42.7,45.65,41.72,45.46,15010645.986408
2026-04-08,50.99,57.5,49.74,53.18,18976147.685722
2026-04-09,53.8,64.08,53.77,63.12,15924893.337175
2026-04-10,66.0,66.8,59.0,64.18,12835009.234969
2026-04-13,63.82,66.66,60.0,66.445,9186537.710628
2026-04-14,69.04,69.4,62.195,67.3,6960699.413739
2026-04-15,65.9,68.3787,58.0401,62.93,11121918.902997
2026-04-16,62.85,82.19,59.3,81.78,16836489.277995
2026-04-17,79.12,83.2499,75.3,82.56,10301035.562706
2026-04-20,81.698,81.758,73.0,78.76,11756717.132997
2026-04-21,73.285,77.6773,71.4,74.97,22125594.247741
2026-04-22,80.91,90.1,77.32,86.94,15881927.458461
2026-04-23,82.56,83.52,71.1075,75.27,13582108.149044
2026-04-24,77.07,81.29,68.88,76.16,15486720.889058
2026-04-27,71.91,73.7,67.1023,70.15,9997769.798
2026-04-28,66.5,69.5,65.02,68.71,9251116.52314
2026-04-29,70.85,76.39,69.3,71.07,10123676.651656
2026-04-30,74.615,80.57,71.1,79.22,12425863.679899
2026-05-01,78.8,96.32,78.05,96.0,19998136.412818
2026-05-04,96.88,107.0,91.92,106.0,11690793.402504
2026-05-05,106.78,110.24,102.8,107.55,8257418.743854
2026-05-06,110.2,110.8,92.85,104.83,15138590.110713
2026-05-07,99.51,109.98,98.69,108.42,11765635.899868
2026-05-08,115.36,129.4299,107.81,116.36,13175146.690907
2026-05-11,118.38,132.48,111.04,125.81,12114018.421789
2026-05-12,123.2,128.7097,113.72,122.9,7126528.014247
2026-05-13,129.9,134.0,116.4001,121.935,7497799.810062
2026-05-14,119.675,121.6,110.11,114.98,7280293.034377
2026-05-15,110.09,128.5,108.17,123.78,9771270.443164
2026-05-18,124.636,125.5,105.17,105.88,11783782.079503
2026-05-19,104.0,115.0999,102.25,112.88,9585906.234602
2026-05-20,114.89,116.7699,101.88,104.61,7425217.1733
2026-05-21,104.48,121.7299,103.01,121.02,9054283.573353
2026-05-22,119.6,141.37,116.01,140.83,10207583.355537
2026-05-26,142.79,143.16,131.6,132.6,7447874.512929
2026-05-27,133.48,133.54,115.14,122.77,8859031.80982
2026-05-28,129.33,129.35,114.51,115.7,6523745.854893
2026-05-29,115.445,116.0,100.0,103.16,11205930.516173
2026-06-01,95.0,115.82,93.231,109.55,11374037.493474
2026-06-02,115.88,123.2,107.5001,110.85,10382409.924003
2026-06-03,109.77,115.12,103.8072,106.7,6170385.933002
2026-06-04,103.29,112.99,101.5001,105.99,5558459.976191
2026-06-05,101.55,104.55,87.27,89.04,9781828.934164
2026-06-08,93.005,96.56,89.08,90.775,5771265.66977
2026-06-09,95.71,96.67,76.0,78.36,10678490.130327
2026-06-10,81.6,90.35,79.56,85.29,9360046.424785
2026-06-11,90.5,90.76,81.8,88.34,9087423.595786
2026-06-12,90.6,103.5,87.22,97.18,10599964.301418
2026-06-15,107.325,116.7499,105.01,110.74,12086709.213054
2026-06-16,108.6,110.8,92.9,93.04,11495535.066322
2026-06-17,96.395,98.48,91.3,92.11,6375027.574821
2026-06-18,96.5,98.02,81.0,84.57,12348704.825943
2026-06-22,93.52,95.8,84.41,92.44,11974985.814037
2026-06-23,83.95,88.4199,76.4,77.91,13032036.445948
2026-06-24,77.74,77.98,67.01,70.14,13915056.618495
2026-06-25,73.575,73.575,64.0,69.06,9277733.707787
2026-06-26,66.8,70.67,65.17,70.15,16753311.747044
2026-06-29,67.155,72.22,64.37,71.46,6465337.992058
2026-06-30,70.97,73.16,69.0,72.08,5070576.719181
2026-07-01,67.957,68.6,63.4301,65.03,6297101.817437
2026-07-02,63.52,67.0,53.36,56.62,10336394.120441
2026-07-06,61.4,68.38,60.27,63.52,12035225.377587
2026-07-07,59.315,66.2999,57.665,58.15,8360735.855494
2026-07-08,58.77,64.4,56.8,60.12,7390000.916354
2026-07-09,64.82,66.95,61.59,62.55,7838477.221861
2026-07-10,61.2,61.9,54.17,57.21,7632586.222634
2026-07-13,55.0,55.42,47.93,50.46,12456113.492058
2026-07-14,54.82,58.58,52.76,57.57,10302723.944924
2026-07-15,55.77,58.4999,50.8,53.42,6852497.917023
2026-07-16,50.91,51.38,45.02,45.57,9197810.765696
2026-07-17,43.32,48.2799,41.93,45.86,8218546.300812
2026-07-20,46.02,50.94,45.89,48.83,6681328.702512
2026-07-21,52.34,56.705,51.2,56.51,9330898.017567
2026-07-22,54.055,56.83,52.48,52.98,4864584.39276
2026-07-23,51.403,57.616,51.32,52.93,4852732.401764
2026-07-24,51.0,51.84,46.2,47.23,5743438.833912
2026-07-27,48.51,50.05,44.1513,47.88,5594187.327369
2026-07-28,44.25,44.25,39.86,42.76,8330067.660039
2026-07-29,44.0,44.57,36.73,36.97,8028139.247756
2026-07-30,41.235,48.67,41.075,46.94,18555609.714683
