date,open,high,low,close,volume
2026-03-25,29.95,30.305,29.46,29.56,137647.881778
2026-03-26,29.48,30.1,28.5,28.71,118483.119727
2026-03-27,28.57,29.0848,27.34,27.66,290932.100217
2026-03-30,27.92,28.445,26.59,26.65,122080.884949
2026-03-31,27.09,27.31,23.76,26.47,273422.86745
2026-04-01,26.87,27.1999,26.01,26.02,106494.096724
2026-04-02,25.27,27.1279,25.27,26.61,95405.446384
2026-04-06,26.6,27.27,26.51,26.8,155064.154952
2026-04-07,26.61,26.96,25.755,26.0,128725.980829
2026-04-08,27.53,28.1,26.27,26.57,224271.760963
2026-04-09,26.5,28.4,26.0,26.99,496515.436187
2026-04-10,27.26,27.61,26.11,27.16,245114.329439
2026-04-13,27.09,27.92,27.09,27.71,145338.572994
2026-04-14,27.92,27.92,27.3523,27.62,101851.785518
2026-04-15,27.67,27.945,27.09,27.82,121639.588498
2026-04-16,27.85,28.87,27.85,28.87,74539.677659
2026-04-17,29.48,30.35,29.48,29.98,92611.102566
2026-04-20,29.66,31.2799,29.66,31.21,105460.109318
2026-04-21,31.26,32.615,31.26,32.34,164576.182622
2026-04-22,32.37,32.635,29.66,30.8,255286.768515
2026-04-23,30.9,31.3,28.34,30.37,332005.194771
2026-04-24,30.49,31.34,28.49,30.17,133078.325948
2026-04-27,30.22,30.75,28.38,29.27,160156.370971
2026-04-28,29.18,29.865,27.24,27.87,90802.46877
2026-04-29,28.0,28.3,25.6,27.91,303346.747084
2026-04-30,27.84,29.18,27.7,28.89,145169.436923
2026-05-01,28.98,29.555,28.61,29.43,108829.508709
2026-05-04,29.01,29.95,28.945,29.37,115600.494521
2026-05-05,29.3,30.135,28.6301,29.81,102327.247809
2026-05-06,29.95,30.62,29.18,30.28,132829.697238
2026-05-07,31.55,37.755,31.55,37.49,791764.595091
2026-05-08,37.2,40.84,37.2,40.04,910016.301549
2026-05-11,40.5,46.75,39.73,46.73,878806.787145
2026-05-12,45.63,45.79,43.6501,45.15,796134.33464
2026-05-13,45.17,46.25,41.0,42.51,409338.998899
2026-05-14,42.68,46.47,40.55,44.57,573134.587836
2026-05-15,42.5,44.58,41.62,43.5,375062.985241
2026-05-18,43.66,43.8,42.17,43.25,495794.684822
2026-05-19,42.94,44.5657,39.6906,41.67,382326.392004
2026-05-20,42.99,43.6231,41.7,42.2,252110.951635
2026-05-21,41.57,43.27,41.46,42.78,178026.034013
2026-05-22,43.54,46.48,43.27,43.73,327921.951453
2026-05-26,47.06,48.25,45.0,47.04,523414.774825
2026-05-27,50.0,52.73,48.12,51.26,1076403.000552
2026-05-28,50.74,51.4,45.2001,46.7,635778.650968
2026-05-29,47.505,47.505,43.89,47.22,440335.848129
2026-06-01,46.74,48.34,44.3418,48.24,349945.168961
2026-06-02,48.68,49.88,47.2301,48.19,350383.715799
2026-06-03,47.72,47.795,44.41,45.13,416404.874377
2026-06-04,43.55,45.505,42.04,44.49,280149.227881
2026-06-05,43.44,44.17,39.11,40.04,418244.924042
2026-06-08,41.23,41.8899,40.07,41.1,205946.882217
2026-06-09,41.57,42.59,38.01,39.37,204544.166347
2026-06-10,39.02,40.565,37.67,37.79,266477.712643
2026-06-11,38.03,40.1,37.4,39.99,338400.878984
2026-06-12,40.1,42.1599,39.22,39.43,238256.824183
2026-06-15,41.3,41.995,38.55,40.09,245058.203435
2026-06-16,40.18,40.625,38.96,39.53,160572.543862
2026-06-17,39.97,40.37,38.6,38.88,161626.197956
2026-06-18,39.81,40.54,39.0054,40.45,255016.09406
2026-06-22,40.88,41.59,38.93,40.01,231281.226378
2026-06-23,38.5,38.73,36.88,37.16,254393.953258
2026-06-24,37.395,38.35,36.45,36.96,172897.025849
2026-06-25,37.53,37.69,35.51,37.63,175409.910815
2026-06-26,36.8,39.08,36.52,38.63,516321.098176
2026-06-29,38.18,39.06,37.04,38.75,165265.926352
2026-06-30,38.75,40.7999,38.75,39.79,106921.169215
2026-07-01,39.32,40.28,38.41,38.5,112369.688842
2026-07-02,38.36,38.46,33.7101,33.97,209689.419519
2026-07-06,34.11,35.88,34.1,34.96,170097.705813
2026-07-07,34.16,34.2,32.03,32.49,256673.585157
2026-07-08,32.28,33.03,31.67,32.94,121640.465766
2026-07-09,33.49,34.42,33.01,33.77,222101.555391
2026-07-10,33.74,34.08,33.2,33.77,124928.907574
2026-07-13,33.3,33.34,32.4008,32.74,219504.196151
2026-07-14,33.23,33.29,32.145,33.01,182035.041967
2026-07-15,33.34,33.97,31.175,32.12,143848.205717
2026-07-16,31.4,31.42,30.73,30.92,196741.891638
2026-07-17,29.97,31.03,29.4,30.64,174643.236623
2026-07-20,30.96,31.22,30.02,30.15,114327.444717
2026-07-21,30.84,32.41,30.84,32.02,185620.109925
2026-07-22,31.54,31.87,30.53,30.64,156655.04876
