date,open,high,low,close,volume
2026-04-27,225.75,232.15,224.895,229.34,1010697.303802
2026-04-28,229.54,231.37,225.56,226.34,816608.444122
2026-04-29,226.09,227.45,219.9,220.0,859412.611485
2026-04-30,222.66,227.09,220.29,226.92,1051501.607697
2026-05-01,226.43,228.93,224.57,224.62,912935.745552
2026-05-04,223.18,223.9399,216.6,217.27,892351.609502
2026-05-05,217.74,219.31,213.34,215.49,865908.014742
2026-05-06,218.92,227.27,218.84,226.5,1220397.801786
2026-05-07,226.29,227.05,219.72,222.2,749939.793809
2026-05-08,223.49,227.28,220.76,225.81,632132.581846
2026-05-11,224.43,225.03,219.19,220.25,917868.38655
2026-05-12,217.75,221.225,212.92,219.42,1145088.573176
2026-05-13,219.29,219.29,212.14,214.62,907408.48929
2026-05-14,215.97,223.84,214.17,221.46,1195464.191504
2026-05-15,219.0,220.6825,214.41,216.48,789744.371874
2026-05-18,215.79,217.11,208.13,210.45,1249961.939411
2026-05-19,210.0,214.715,206.74,211.55,908261.801772
2026-05-20,212.43,221.59,209.4489,219.13,1203967.752376
2026-05-21,217.71,224.7,215.83,221.73,1052653.88427
2026-05-22,227.83,231.465,224.44,231.24,1268687.85524
2026-05-26,233.62,237.75,227.8,233.13,2820079.636608
2026-05-27,226.58,233.4,216.71,219.21,3172148.075394
2026-05-28,224.0,230.43,216.78,226.31,2054819.599132
2026-05-29,225.19,232.83,221.44,227.57,1806913.016804
2026-06-01,226.21,226.21,213.1432,216.96,1736681.133841
2026-06-02,216.63,218.2999,214.0525,214.74,974294.824037
2026-06-03,215.85,224.75,214.87,224.17,943040.500127
2026-06-04,226.65,227.87,215.945,217.6,1194759.404572
2026-06-05,216.2,217.04,211.745,214.83,1577025.631404
2026-06-08,214.65,216.5,212.45,213.38,976863.325515
2026-06-09,216.06,224.385,213.55,219.58,1342564.224405
2026-06-10,217.28,220.54,214.2,214.97,660146.242178
2026-06-11,217.17,224.46,212.69,223.95,1109343.192156
2026-06-12,224.68,224.79,217.55,220.99,895452.316589
2026-06-15,220.99,227.25,218.115,220.04,939293.383399
2026-06-16,221.46,230.0,219.76,225.89,1213841.289655
2026-06-17,227.35,231.85,223.12,224.83,1046620.831111
2026-06-18,228.9,234.78,226.96,232.96,1389816.706731
2026-06-22,236.73,244.38,234.0001,238.57,1345280.079095
2026-06-23,235.15,241.52,234.045,236.75,822805.452404
2026-06-24,238.37,240.05,234.04,236.93,1490548.153621
2026-06-25,238.3,239.8899,229.245,237.29,1321453.456654
2026-06-26,234.56,241.7,232.12,239.17,2013257.653615
2026-06-29,231.12,235.32,228.0101,232.34,1188424.105518
2026-06-30,230.7,232.0,225.04,226.81,1312327.904547
2026-07-01,228.2,232.5199,226.2,229.76,1297938.104913
2026-07-02,231.73,236.4,227.5,236.18,793522.190603
2026-07-06,235.0,235.0,225.995,229.02,832708.37097
2026-07-07,230.87,231.17,222.36,223.13,963173.906301
2026-07-08,215.67,217.8659,211.69,215.21,1176056.039962
2026-07-09,215.35,218.91,213.4125,217.32,1242924.136738
2026-07-10,217.74,219.97,216.48,217.98,635753.829861
2026-07-13,219.41,225.46,214.8101,216.1,1336567.851205
2026-07-14,219.37,219.41,206.89,211.37,1531842.848792
2026-07-15,210.78,214.52,206.235,208.89,1213727.54261
2026-07-16,207.99,218.88,207.22,216.88,1238237.077115
2026-07-17,214.69,222.71,214.675,217.36,910873.506932
2026-07-20,218.9,220.36,213.03,214.32,745272.083151
2026-07-21,214.74,214.74,207.3,208.41,1034441.59694
2026-07-22,209.44,210.25,206.54,210.13,819706.202155
2026-07-23,207.53,208.3,202.73,204.36,971627.447108
2026-07-24,204.31,207.405,202.73,206.04,886055.727479
2026-07-27,206.77,207.85,203.65,205.6,1142648.21184
2026-07-28,208.04,211.49,205.28,211.37,1295267.480427
2026-07-29,208.25,213.68,205.43,205.99,1055171.890997
2026-07-30,205.63,206.105,198.81,199.91,1554863.967513
2026-07-31,198.75,200.0685,195.18,195.91,1443769.521719
2026-08-03,200.16,203.35,196.61,200.82,1895514.180997
2026-08-04,199.81,203.57,198.0,200.74,1589935.618638
2026-08-05,198.67,201.62,197.785,200.32,1347577.748998
2026-08-06,201.42,203.17,198.58,198.62,1245267.530649
2026-08-07,198.03,209.44,197.88,208.84,1520482.461812
2026-08-10,215.83,216.02,209.615,214.1,1989355.452304
2026-08-11,208.93,210.15,204.4,205.03,1605492.569858
2026-08-12,205.5,205.5,201.1,202.66,1241368.863037
2026-08-13,204.5,204.5,200.01,202.26,1129111.271175
2026-08-14,200.37,203.75,200.0,201.97,1247047.431292
2026-08-17,197.23,200.49,194.08,196.24,1647012.323213
2026-08-18,197.59,199.495,191.4,191.52,1375941.438415
2026-08-19,191.77,194.55,189.08,191.29,1536588.591131
2026-08-20,186.14,186.95,176.07,179.34,4207442.868631
2026-08-21,181.25,183.4,178.26,183.23,2241370.810576
2026-08-24,184.79,185.63,175.65,179.33,3935721.869388
