date,open,high,low,close,volume
2026-03-09,123.7,134.07,122.1,133.89,46248466.809273
2026-03-10,132.3,137.6883,130.04,130.3,35090765.653475
2026-03-11,131.215,133.99,130.34,132.85,25279379.466825
2026-03-12,128.695,128.815,123.18,123.5,32466881.147874
2026-03-13,127.75,129.39,123.51,124.15,23355483.011006
2026-03-16,130.87,133.94,130.8,133.1,24762801.866849
2026-03-17,134.755,135.99,133.17,134.43,15549861.556562
2026-03-18,133.99,135.345,131.78,131.88,19764494.594196
2026-03-19,128.415,135.54,126.7175,134.82,21186410.389613
2026-03-20,132.57,132.915,125.49,125.78,32030708.477201
2026-03-23,131.71,134.7,129.5759,133.81,32748819.538163
2026-03-24,127.31,130.85,127.25,128.75,24789192.645
2026-03-25,129.545,130.59,127.03,127.74,25453228.431167
2026-03-26,124.585,125.28,119.28,119.99,26420476.83348
2026-03-27,121.74,123.15,119.76,120.98,16113144.170856
2026-03-30,121.26,121.43,115.07,116.43,24644384.656614
2026-03-31,115.15,123.35,114.92,123.01,40381765.950796
2026-04-01,125.68,128.65,124.57,126.22,27872238.914799
2026-04-02,117.52,124.91,116.89,122.87,17840267.396777
2026-04-06,125.85,126.77,124.31,125.94,10830115.124112
2026-04-07,126.45,127.68,122.51,127.19,14720338.004917
2026-04-08,140.28,140.96,136.035,140.07,31700437.401799
2026-04-09,136.2,140.2,134.95,139.29,19370222.314731
2026-04-10,138.33,139.475,137.5,138.73,11230768.619644
2026-04-13,136.1,141.835,135.9702,141.23,13632281.269375
2026-04-14,142.365,147.39,142.12,146.68,17301289.684226
2026-04-15,144.67,145.3,143.11,144.92,16187527.733514
2026-04-16,146.73,148.525,145.4,147.47,10132996.951837
2026-04-17,151.15,154.99,150.09,152.33,20083636.369048
2026-04-20,150.255,151.0,148.77,150.09,11825195.662085
2026-04-21,152.2,152.65,146.4,146.79,12940184.958401
2026-04-22,151.96,155.98,151.45,155.8,17034444.355936
2026-04-23,153.29,154.86,148.06,150.59,18088547.894742
2026-04-24,153.36,155.58,152.41,154.57,14966780.686889
2026-04-27,157.02,158.1,155.81,156.73,11361174.293349
2026-04-28,153.93,155.725,152.411,154.37,11492776.656691
2026-04-29,156.25,156.63,152.86,153.96,12415887.590442
2026-04-30,157.85,161.55,155.39,160.76,16803342.809127
2026-05-01,159.91,164.18,159.66,162.0,9840023.108692
2026-05-04,165.226,167.83,162.24,163.59,14601647.650752
2026-05-05,168.34,175.29,168.26,173.47,21110444.778665
2026-05-06,180.52,182.205,176.86,181.98,21163392.110353
2026-05-07,181.3,181.89,176.14,176.75,17754678.093986
2026-05-08,183.73,190.41,183.43,190.2,21526150.763267
2026-05-11,190.87,194.58,189.99,192.85,17208340.580717
2026-05-12,181.99,185.31,173.6,178.5,39313493.595973
2026-05-13,187.51,189.33,183.86,188.63,18868353.897667
2026-05-14,189.0,191.23,188.08,190.52,10027401.735704
2026-05-15,178.96,181.345,176.7,178.86,21737591.395585
2026-05-18,182.45,182.79,173.15,176.1,17191376.427696
2026-05-19,168.27,178.32,167.17,174.02,17827442.712246
2026-05-20,173.99,180.3,173.585,180.11,16532511.569682
2026-05-21,183.05,187.29,181.81,186.42,20544986.534432
2026-05-22,185.82,186.22,181.48,182.03,11829314.277924
2026-05-26,194.38,201.5,194.16,200.65,21215889.291808
2026-05-27,201.81,202.58,194.69,198.29,16780856.630089
2026-05-28,197.7,208.25,196.28,206.41,17578268.664572
2026-05-29,206.11,208.12,204.48,205.83,10494393.898194
2026-06-01,211.47,217.76,209.1,216.7,19082154.66952
2026-06-02,211.17,214.65,209.67,214.53,16543844.339525
2026-06-03,214.14,214.335,208.6,212.96,13981632.388227
2026-06-04,199.88,205.93,196.57,203.97,17900380.002915
2026-06-05,189.15,190.78,175.18,175.19,49401235.477804
2026-06-08,186.88,188.8,183.31,185.64,30723367.425715
2026-06-09,193.3,193.57,175.05,184.05,32951621.794162
2026-06-10,183.03,189.015,178.2,178.45,19822892.869306
2026-06-11,185.22,199.31,184.19,198.94,29533874.187724
2026-06-12,195.145,199.98,192.7,197.45,17164759.970345
2026-06-15,207.86,211.67,206.57,211.45,19500110.915125
2026-06-16,210.22,213.78,204.49,205.91,19036102.841563
2026-06-17,210.67,213.28,204.87,205.08,16255332.476444
2026-06-18,215.0,220.89,214.35,219.2,18398506.528025
2026-06-22,218.28,220.69,217.1,219.02,10772899.931585
2026-06-23,193.6,201.05,191.33,192.2,43444511.560486
2026-06-24,199.35,200.0,191.805,197.26,21161552.54719
2026-06-25,209.36,210.48,199.15,205.0,21052429.609057
2026-06-26,195.21,202.0,194.09,197.28,17108228.531777
2026-06-29,195.96,197.54,188.76,197.5,13495747.619298
2026-06-30,197.19,202.9,196.94,201.9,16575573.371432
2026-07-01,189.7,192.16,184.81,185.5,28567228.661525
2026-07-02,184.66,188.68,174.45,180.14,31714504.801143
