date,open,high,low,close,volume
2026-04-13,317.135,321.63,315.47,321.31,18866424.352151
2026-04-14,324.785,333.29,323.75,332.91,27721351.564771
2026-04-15,332.89,337.48,330.9,337.12,24918842.04914
2026-04-16,338.75,339.88,334.52,336.02,20541487.619144
2026-04-17,337.65,342.32,336.24,341.68,25581881.330712
2026-04-20,340.755,341.4,336.61,337.42,18784226.435882
2026-04-21,337.685,339.34,331.35,332.29,23123795.929034
2026-04-22,337.02,339.82,335.17,339.32,20293014.988829
2026-04-23,341.18,341.96,336.18,338.89,18650256.807928
2026-04-24,338.725,345.27,335.39,344.4,26426061.780479
2026-04-27,345.98,353.18,342.73,350.34,28576887.100886
2026-04-28,348.55,352.42,346.12,349.78,27824052.575559
2026-04-29,347.565,355.79,344.21,349.94,35376328.172288
2026-04-30,374.07,385.84,365.82,384.8,72039993.633818
2026-05-01,381.63,386.76,379.05,385.69,30105226.990757
2026-05-04,385.63,387.38,379.79,383.25,26298574.753931
2026-05-05,386.23,392.8199,384.02,388.43,23878626.904313
2026-05-06,394.245,399.8499,392.76,398.04,31308476.219283
2026-05-07,399.92,400.1,392.68,397.99,24433490.335438
2026-05-08,397.0,402.0,396.36,400.8,21461849.84856
2026-05-11,393.645,397.44,388.47,388.64,30753738.319863
2026-05-12,387.34,388.52,382.77,387.35,26017488.172203
2026-05-13,385.595,403.7,385.0,402.62,28144555.31422
2026-05-14,397.28,402.93,395.84,401.07,21136716.138745
2026-05-15,396.315,399.5399,393.18,396.78,20309702.818813
2026-05-18,395.685,408.61,394.53,396.94,26837196.378217
2026-05-19,396.96,397.15,386.11,387.66,39545672.941587
2026-05-20,387.7,393.8599,382.9,388.91,31744404.183478
2026-05-21,385.7,392.5,383.02,387.66,24852843.499244
2026-05-22,387.345,388.74,381.7716,382.97,20442123.92761
2026-05-26,384.51,389.2599,382.6,388.88,27747388.911968
2026-05-27,386.665,393.88,385.9,388.83,23087287.246948
2026-05-28,388.0,391.87,385.16,390.13,24357455.824498
2026-05-29,385.24,385.24,378.46,380.34,44415846.644154
2026-06-01,376.52,378.56,373.52,376.37,28672120.212431
2026-06-02,366.59,373.54,358.44,361.85,50412300.205244
2026-06-03,362.03,366.45,358.08,358.99,55441583.529251
2026-06-04,358.9,373.2499,358.21,372.19,44055520.601694
2026-06-05,366.34,372.08,364.1207,368.53,37471206.697303
2026-06-08,365.18,366.2,360.5309,363.31,27942464.50757
2026-06-09,367.09,372.08,357.3,364.26,29535072.426084
2026-06-10,363.19,368.555,355.2,356.38,32357132.911599
2026-06-11,355.925,358.8,346.36,357.77,35538165.547053
2026-06-12,362.62,366.57,354.94,359.68,24731019.966051
2026-06-15,367.93,372.99,366.55,369.35,27727493.239049
2026-06-16,369.6,376.0,367.06,373.25,24876095.678085
2026-06-17,369.125,372.33,362.02,363.79,24543644.14853
2026-06-18,365.75,369.48,358.67,368.03,44470070.214185
2026-06-22,357.945,358.92,341.7219,349.68,52814764.779924
2026-06-23,340.69,349.29,340.2,346.13,34007652.755025
2026-06-24,349.035,353.476,341.93,345.29,44997277.35702
2026-06-25,336.73,345.57,335.84,343.71,44564576.279835
2026-06-26,342.55,346.36,330.2,337.39,114706326.22666
2026-06-29,341.825,354.35,340.67,353.65,34213932.985162
2026-06-30,353.865,358.62,350.4,357.37,35237231.461017
2026-07-01,358.37,362.97,356.43,361.21,26736445.300416
2026-07-02,359.48,364.205,353.42,359.91,25999346.852648
2026-07-06,361.55,367.93,357.3805,366.46,26915808.707908
2026-07-07,369.07,373.16,365.5,367.03,24045581.29575
2026-07-08,364.76,367.84,358.02,361.92,22094769.699618
2026-07-09,354.31,359.65,351.08,358.89,24729093.029698
2026-07-10,357.525,357.82,352.75,357.18,18146146.959085
2026-07-13,356.19,358.13,351.75,352.51,15901732.421652
2026-07-14,351.195,360.16,351.09,359.51,18259355.3347
2026-07-15,357.97,373.65,357.76,370.92,28284564.080002
2026-07-16,373.06,375.27,352.3001,354.46,41158466.946507
2026-07-17,346.0,348.52,341.36,346.77,29959283.550116
2026-07-20,350.88,359.68,350.52,351.99,24736644.810818
2026-07-21,351.32,351.32,347.0,347.15,23369833.536441
2026-07-22,348.155,349.94,341.73,342.09,39334140.960664
2026-07-23,321.13,324.49,314.9,317.69,69419700.059353
2026-07-24,318.42,324.18,317.32,319.74,31806553.519075
2026-07-27,325.04,330.42,324.45,326.56,28471593.865369
2026-07-28,327.9,335.88,324.44,333.71,29511940.121236
2026-07-29,334.665,342.5,331.62,336.71,27501632.351153
2026-07-30,334.195,336.51,330.34,333.66,30168000.656775
2026-07-31,340.83,358.58,340.0,356.13,46498023.389384
2026-08-03,365.445,376.6932,363.35,373.51,38669652.803514
2026-08-04,368.22,380.52,367.5,377.65,35705703.107308
2026-08-05,383.34,384.48,356.77,362.43,46926339.717155
2026-08-06,360.77,364.1259,356.88,357.75,25235895.927809
2026-08-07,356.72,358.9,353.78,354.3,19859905.588312
