date,open,high,low,close,volume
2026-04-14,25.0,25.425,24.79,25.22,4294876.413982
2026-04-15,25.025,25.525,24.59,24.88,4277650.834079
2026-04-16,24.95,25.23,24.58,24.92,3109305.902677
2026-04-17,25.71,26.395,25.3,25.88,5752405.00467
2026-04-20,25.31,26.02,25.13,25.67,5087265.32395
2026-04-21,25.48,25.59,23.725,23.85,7099609.64915
2026-04-22,24.6,24.7699,24.12,24.69,4401695.729115
2026-04-23,24.21,25.247,23.22,24.02,6030761.592717
2026-04-24,24.32,24.36,23.77,24.35,4011642.255861
2026-04-27,24.4,24.59,23.85,24.41,3531812.90248
2026-04-28,23.8,23.92,22.58,22.98,4544785.742678
2026-04-29,22.85,22.89,22.205,22.46,3972745.878264
2026-04-30,23.23,23.49,22.515,23.11,4523347.969469
2026-05-01,23.98,24.28,22.8,22.8,6099904.420102
2026-05-04,22.3,22.81,21.74,21.77,5428638.153388
2026-05-05,22.65,22.93,22.22,22.35,8087963.542466
2026-05-06,23.76,24.685,23.6,24.0,5127804.216081
2026-05-07,24.53,24.89,23.75,23.85,4724989.897428
2026-05-08,24.65,25.185,24.37,25.02,3890298.228606
2026-05-11,25.435,26.345,25.32,25.5,4796763.89621
2026-05-12,25.15,27.275,24.93,27.12,10198551.749684
2026-05-13,27.41,28.42,27.02,27.74,9195481.720206
2026-05-14,27.6,27.61,26.6556,27.29,5700996.713193
2026-05-15,25.75,25.79,24.735,24.95,6598765.682225
2026-05-18,25.15,25.28,24.03,24.26,3793433.801558
2026-05-19,23.95,24.29,23.15,23.96,4767072.336064
2026-05-20,24.36,24.74,23.795,24.49,5229267.747465
2026-05-21,23.96,25.23,23.83,24.74,4124810.953546
2026-05-22,25.0,25.13,24.055,24.39,3159175.581102
2026-05-26,26.0,26.595,25.51,26.55,5961387.798132
2026-05-27,25.9,26.99,25.78,26.59,7324452.886845
2026-05-28,26.29,28.65,26.18,28.23,8907781.525214
2026-05-29,28.13,29.27,27.75,29.16,5324701.95577
2026-06-01,29.2,30.9,28.765,30.59,8900838.418926
2026-06-02,31.055,32.15,30.72,31.87,6890493.836038
2026-06-03,31.49,31.49,30.0999,30.33,6073614.678843
2026-06-04,29.875,30.4,29.61,30.12,4902943.069187
2026-06-05,28.36,28.67,25.595,25.66,10245521.017874
2026-06-08,26.385,26.58,25.8701,26.11,4634452.96752
2026-06-09,26.67,26.79,24.13,25.59,7060531.177063
2026-06-10,24.97,25.73,24.63,24.68,8558933.347657
2026-06-11,25.33,26.665,24.8,26.64,5977170.824551
2026-06-12,26.8,28.105,26.62,27.82,6400004.520352
2026-06-15,29.105,30.02,28.52,28.75,6805765.689271
2026-06-16,28.82,29.395,28.465,29.1,3583943.669645
2026-06-17,29.49,29.945,28.1,28.17,5318908.313242
2026-06-18,28.5,28.65,27.229,27.59,3653593.849141
2026-06-22,27.33,27.93,26.9017,27.91,3705130.298226
2026-06-23,26.07,26.07,24.935,25.36,5759878.764945
2026-06-24,24.44,24.44,22.52,22.99,7946437.045619
2026-06-25,23.79,24.05,23.055,23.53,5141817.681536
2026-06-26,23.26,23.98,23.0808,23.3,6186473.625435
2026-06-29,23.14,23.84,22.54,23.68,6899034.657684
2026-06-30,24.0,24.005,23.23,23.61,3878455.052229
2026-07-01,22.94,23.37,22.53,22.59,3464515.555335
2026-07-02,23.37,23.97,22.285,22.59,5123061.179074
2026-07-06,23.3,23.405,22.64,23.34,3792980.391029
2026-07-07,22.69,22.835,21.335,21.55,5687048.939238
2026-07-08,20.9,21.26,19.695,20.59,4860886.795135
2026-07-09,21.29,21.6,21.02,21.58,4577756.323215
2026-07-10,21.38,21.71,21.085,21.64,3043370.535561
2026-07-13,21.21,21.63,20.655,20.87,4976507.883804
2026-07-14,22.22,22.79,22.2,22.5,5962854.420714
2026-07-15,22.66,22.84,21.54,21.98,3727081.352233
2026-07-16,21.29,21.435,20.52,20.82,3568000.533582
2026-07-17,20.195,20.845,19.795,20.36,3456566.761498
2026-07-20,20.34,20.985,20.34,20.84,3415283.642366
2026-07-21,21.695,23.42,21.695,23.0,9181608.615694
2026-07-22,23.46,23.725,23.01,23.55,4469729.440677
2026-07-23,22.83,23.13,22.25,22.63,4446434.370485
2026-07-24,22.68,22.88,22.16,22.35,3696702.767446
2026-07-27,22.665,22.665,21.51,22.43,2949878.279999
2026-07-28,21.7,21.97,20.92,21.78,6317700.558424
2026-07-29,20.98,22.985,20.66,21.98,9036247.022832
2026-07-30,23.51,23.51,22.225,22.75,9260856.060297
2026-07-31,22.31,23.06,22.16,22.75,3990262.200288
2026-08-03,22.51,23.47,22.21,23.4,1972537.320025
2026-08-04,24.6,25.22,24.27,24.77,5439371.55044
2026-08-05,25.35,26.25,25.35,25.9,4121463.22143
2026-08-06,25.9,26.725,25.5,26.31,4879196.092003
2026-08-07,26.87,27.625,26.77,27.61,4890500.017148
2026-08-10,27.51,28.01,27.24,27.91,4021346.63453
2026-08-11,28.19,28.28,27.22,27.67,8681529.635467
