date,open,high,low,close,volume
2026-04-13,68.205,71.7,67.8,71.67,21181719.047825
2026-04-14,75.13,79.28,75.05,79.09,43587324.990991
2026-04-15,83.55,87.55,81.5,87.32,72707192.322036
2026-04-16,89.19,89.3799,83.87,86.85,51788108.022905
2026-04-17,90.06,93.32,89.57,90.75,49795273.66902
2026-04-20,89.7,92.38,88.21,91.275,35942426.754979
2026-04-21,91.08,91.45,86.19,86.43,36873045.958426
2026-04-22,89.35,90.135,87.48,88.43,27468392.435401
2026-04-23,86.695,87.61,81.745,83.54,33497616.469594
2026-04-24,84.9,85.06,82.82,84.71,20873084.141934
2026-04-27,84.28,85.7,83.115,83.95,20100433.999321
2026-04-28,81.46,83.14,80.82,82.07,31324157.609501
2026-04-29,72.3,73.59,69.93,71.2,79797564.251914
2026-04-30,71.18,73.8746,70.76,72.89,31187273.827113
2026-05-01,73.775,75.28,73.06,73.66,25254844.450472
2026-05-04,74.7,78.29,74.63,76.55,29377477.40164
2026-05-05,77.615,78.75,76.49,77.03,24754631.45698
2026-05-06,77.8,79.49,76.19,79.05,24673111.298304
2026-05-07,78.955,79.23,75.46,76.28,21873214.201004
2026-05-08,76.24,77.065,74.25,77.03,18141883.293418
2026-05-11,76.79,81.14,74.8,80.78,26357900.508458
2026-05-12,79.08,80.18,76.48,78.27,17097115.616869
2026-05-13,77.07,77.62,75.34,76.75,14805876.38522
2026-05-14,76.05,81.93,75.11,80.7,27967581.555617
2026-05-15,78.54,78.582,76.41,77.14,19662351.359582
2026-05-18,76.0,79.92,75.47,77.15,20209438.325597
2026-05-19,76.15,76.37,73.18,74.16,20490415.522234
2026-05-20,74.75,76.35,73.75,75.76,17178283.830611
2026-05-21,74.945,76.7594,74.65,75.92,16266441.828747
2026-05-22,76.32,77.11,73.26,73.64,20817545.724021
2026-05-26,74.495,76.04,73.455,74.09,20130150.158107
2026-05-27,73.915,76.635,73.45,76.23,25413139.798772
2026-05-28,74.845,84.92,73.53,84.84,44052422.82663
2026-05-29,85.66,94.4,84.235,94.3,64410960.159881
2026-06-01,89.94,92.4,85.5599,90.73,42590760.391937
2026-06-02,88.67,89.43,86.13,88.16,26630608.723974
2026-06-03,86.445,86.815,82.41,82.85,24090317.344615
2026-06-04,83.255,88.62,82.8,88.33,31788590.714756
2026-06-05,86.57,87.3299,79.49,82.47,35905094.764663
2026-06-08,84.62,85.63,82.814,85.04,19347807.720935
2026-06-09,85.87,88.08,78.93,83.77,29312432.15212
2026-06-10,84.09,91.46,84.08,86.36,42027607.800112
2026-06-11,87.08,93.64,85.72,92.23,38959055.123201
2026-06-12,92.735,96.1,90.2201,93.19,33082303.024104
2026-06-15,98.72,100.87,97.45,98.12,36576850.919153
2026-06-16,100.17,101.88,94.57,96.71,31540762.512713
2026-06-17,95.935,110.7279,95.76,105.2,70804679.801939
2026-06-18,107.825,109.08,103.46,108.15,39509947.19904
2026-06-22,108.0,112.5,105.275,105.71,31731229.964716
2026-06-23,101.645,105.99,101.03,103.25,40632287.210166
2026-06-24,102.346,104.27,96.295,97.19,30220048.323725
2026-06-25,98.79,99.19,92.8,93.47,23404351.808552
2026-06-26,93.215,99.44,93.08,98.69,44936800.754914
2026-06-29,100.66,102.85,98.05,101.83,20681628.598735
2026-06-30,101.87,103.06,99.661,100.28,17220699.131099
2026-07-01,100.67,109.53,100.39,108.65,28100638.200585
2026-07-02,112.76,120.05,110.93,112.73,41233309.69061
2026-07-06,111.41,118.65,111.41,117.55,25587299.360458
2026-07-07,115.775,117.85,112.53,112.9,21833475.36933
2026-07-08,110.865,114.13,108.89,113.53,18287225.581003
2026-07-09,112.23,117.65,111.63,115.11,18718828.019734
2026-07-10,119.16,119.43,108.81,111.97,25930164.71771
2026-07-13,111.27,113.7,108.84,109.86,18222372.355187
2026-07-14,111.03,113.69,109.095,113.45,17916688.879967
2026-07-15,114.97,116.6,112.12,115.54,21078641.897919
2026-07-16,114.13,114.52,105.48,106.02,28465764.112677
2026-07-17,100.37,104.11,96.59,99.96,27608551.680093
2026-07-20,102.49,102.6,98.61,99.28,18740065.36312
2026-07-21,102.815,108.21,102.815,106.36,19670331.06912
2026-07-22,104.72,106.885,104.33,104.48,11151678.058624
2026-07-23,101.88,104.12,99.32,101.58,16539905.884346
2026-07-24,100.07,100.08,93.03,94.91,24405037.197426
2026-07-27,96.98,99.4499,93.2,95.65,16616634.958449
2026-07-28,92.665,93.87,88.21,92.76,21666181.045485
2026-07-29,92.21,93.3199,88.6001,89.84,23046581.049369
2026-07-30,90.912,92.57,86.21,86.6,29692521.811543
2026-07-31,86.131,89.5,83.68,86.56,22953459.600521
2026-08-03,86.685,92.35,85.3,90.34,19740541.681658
2026-08-04,92.615,95.6,90.0717,93.51,22639539.030785
2026-08-05,93.96,95.55,92.3151,92.8,15234455.115159
2026-08-06,90.71,92.6,90.21,90.71,12443575.313251
2026-08-07,92.91,95.75,92.52,93.29,14860541.358237
