date,open,high,low,close,volume
2026-04-13,24.49,25.25,23.86,24.81,19954417.621302
2026-04-14,24.76,24.79,24.015,24.47,13036827.368262
2026-04-15,24.42,24.72,24.255,24.62,9348506.463552
2026-04-16,24.9,25.91,24.68,25.89,15605908.913869
2026-04-17,26.1,26.56,25.895,26.44,17927054.47057
2026-04-20,26.45,27.91,26.34,27.81,20616498.27664
2026-04-21,27.97,29.63,27.96,28.76,22871764.22464
2026-04-22,28.88,29.09,28.42,28.51,12695095.989591
2026-04-23,28.525,28.525,27.405,27.93,11628389.46742
2026-04-24,28.28,28.37,27.48,28.16,11110908.902593
2026-04-27,28.46,28.9,28.31,28.62,8439203.438795
2026-04-28,28.045,28.23,27.345,27.95,11453049.701523
2026-04-29,27.97,28.47,27.68,28.3,13271721.132222
2026-04-30,28.35,28.79,27.99,28.77,17192249.021746
2026-05-01,28.87,28.97,28.35,28.57,11032478.535952
2026-05-04,28.93,29.3,28.38,28.71,12078190.7836
2026-05-05,29.0,30.15,28.955,30.04,11580004.766508
2026-05-06,30.14,30.42,29.525,30.37,12871923.445434
2026-05-07,30.03,30.05,29.31,29.7,15708626.05962
2026-05-08,30.0,31.35,29.8318,31.35,17520993.030437
2026-05-11,31.19,31.64,30.67,30.87,14198327.771112
2026-05-12,30.41,30.58,29.49,30.21,11200145.371745
2026-05-13,30.65,32.53,30.17,32.07,27523481.21571
2026-05-14,33.7,34.695,33.24,34.13,34638274.11265
2026-05-15,33.66,33.66,32.7206,33.1,16381214.406537
2026-05-18,33.58,33.83,32.32,33.0,16653117.911753
2026-05-19,32.45,33.0399,31.88,32.62,10241045.837064
2026-05-20,32.82,34.0,32.69,33.8,11467601.766022
2026-05-21,33.395,33.99,33.115,33.97,11649827.537204
2026-05-22,34.65,37.745,34.5,37.58,30722422.968958
2026-05-26,37.92,38.58,37.33,38.06,16808247.591084
2026-05-27,37.81,37.9,36.71,37.2,17674628.883646
2026-05-28,37.47,38.355,36.575,38.21,23279930.651951
2026-05-29,42.78,44.575,41.52,43.04,86121424.353114
2026-06-01,44.18,47.97,43.4,47.0,115597824.694605
2026-06-02,63.06,64.25,53.47,56.15,153197764.218746
2026-06-03,54.18,55.99,52.61,55.15,56953374.307984
2026-06-04,53.0,54.47,52.32,53.69,36790328.180262
2026-06-05,52.905,53.0543,48.54,49.2,37733377.608698
2026-06-08,49.95,50.866,48.915,49.87,28878346.779409
2026-06-09,49.835,50.5,45.73,48.27,28578542.978373
2026-06-10,47.85,47.97,44.91,45.49,33229415.174315
2026-06-11,45.0,46.8,44.74,46.8,24482824.522168
2026-06-12,46.51,49.78,45.97,48.17,23521852.046562
2026-06-15,49.475,49.6,48.1,49.02,30500736.070176
2026-06-16,49.135,50.34,47.98,48.38,24311586.220491
2026-06-17,49.5,50.45,47.9517,48.2,31243798.383277
2026-06-18,49.175,49.6,46.93,47.41,53337786.080925
2026-06-22,48.04,49.63,47.71,48.4,23278030.801472
2026-06-23,46.25,49.715,45.8304,48.92,20640061.378007
2026-06-24,48.24,50.2,47.65,48.75,21053299.570646
2026-06-25,48.1,48.16,46.1,46.72,26924574.095649
2026-06-26,45.215,45.37,43.13,43.71,36793889.503557
2026-06-29,43.79,44.78,42.43,44.41,17151579.877058
2026-06-30,44.0,45.23,43.47,45.11,19933188.77468
2026-07-01,44.43,44.5,42.84,43.95,20470764.918464
2026-07-02,43.5,43.935,40.715,41.23,18976681.221
2026-07-06,41.7734,43.845,41.5,43.15,16433236.875155
2026-07-07,43.445,44.275,42.5,43.47,16467599.123629
2026-07-08,43.31,45.22,43.29,44.67,18384729.324697
2026-07-09,45.8845,49.3201,45.64,49.11,26431393.523219
2026-07-10,49.03,51.08,48.35,48.54,19441228.835824
2026-07-13,48.19,48.4613,46.46,47.24,18393410.21052
2026-07-14,48.86,50.045,48.6,49.56,17133528.62145
2026-07-15,50.31,50.31,45.47,47.39,19917323.909729
2026-07-16,47.25,47.67,44.74,45.13,27344043.36791
2026-07-17,44.4,46.825,43.7,45.82,14894117.596674
2026-07-20,46.12,46.23,44.47,44.56,11883350.394297
2026-07-21,45.63,46.985,45.59,46.72,13224537.44963
2026-07-22,47.21,49.68,47.0,48.13,14833916.573589
2026-07-23,47.48,49.25,47.4,47.64,11989106.395501
2026-07-24,48.0,49.21,47.3414,47.69,11332866.773883
2026-07-27,48.0,49.14,46.31,48.19,13751292.542428
2026-07-28,46.32,46.51,43.3,45.59,20961573.936389
2026-07-29,45.25,46.66,44.18,44.44,12304816.661392
2026-07-30,46.29,47.245,45.46,47.14,20281924.892681
2026-07-31,49.0,49.89,46.82,47.9,17247374.233518
2026-08-03,47.51,50.56,46.3,50.24,17026342.437976
2026-08-04,52.61,53.415,50.3868,52.39,25682670.791973
2026-08-05,52.0,54.6299,51.7,53.22,17337948.129878
2026-08-06,51.38,53.22,49.1201,52.43,17447507.847808
2026-08-07,53.48,53.565,50.65,53.22,14041915.26145
