date,open,high,low,close,volume
2026-04-09,58.4,62.0799,58.39,61.72,155609887.476191
2026-04-10,61.52,63.39,60.75,62.38,98624438.991311
2026-04-13,62.18,65.65,62.18,65.18,112110972.4289
2026-04-14,65.16,65.18,62.089,63.81,112796097.972313
2026-04-15,63.77,65.84,62.875,64.94,92051518.063201
2026-04-16,64.93,68.61,64.272,68.5,108328309.741274
2026-04-17,68.85,70.325,67.735,68.5,118831534.478306
2026-04-20,68.45,69.205,64.47,65.7,96851067.217456
2026-04-21,67.14,67.67,65.64,66.26,91402314.412414
2026-04-22,67.935,68.77,64.98,65.27,90267286.858035
2026-04-23,66.1,68.28,65.42,66.78,155141780.911654
2026-04-24,82.2,85.22,79.62,82.54,281405214.447161
2026-04-27,83.67,87.1,82.61,84.99,178820193.251457
2026-04-28,81.28,84.59,80.8,84.52,147773466.474452
2026-04-29,86.135,94.95,85.87,94.75,235070906.585313
2026-04-30,95.6,95.69,91.5,94.48,160597313.759648
2026-05-01,93.2,100.45,92.61,99.62,158502811.702194
2026-05-04,99.18,99.82,95.6,95.78,119294030.363203
2026-05-05,100.505,110.48,100.08,108.15,198481963.791266
2026-05-06,110.975,113.5,106.5801,113.01,157320083.953771
2026-05-07,111.02,114.51,109.15,109.62,122699875.288571
2026-05-08,111.81,130.57,111.8,124.92,227681300.957706
2026-05-11,130.88,132.75,123.92,129.44,179486503.679021
2026-05-12,124.36,127.79,115.0,120.61,172516514.189711
2026-05-13,124.1,125.0,116.41,120.29,115364423.234441
2026-05-14,114.66,118.57,113.17,115.93,118279791.052694
2026-05-15,109.785,110.57,105.02,108.77,135205991.870095
2026-05-18,113.47,115.54,103.85,108.17,145763995.805596
2026-05-19,106.98,113.0699,102.4,110.8,150234892.692585
2026-05-20,116.22,121.94,114.8,118.96,165086920.034006
2026-05-21,116.58,119.41,113.17,118.5,102452545.724385
2026-05-22,120.34,122.78,118.09,119.84,82663024.802742
2026-05-26,122.095,125.62,117.35,123.52,108167302.376176
2026-05-27,124.39,125.27,117.0,121.77,93323344.920278
2026-05-28,121.445,123.08,116.31,120.89,97320987.682374
2026-05-29,123.85,126.64,113.54,114.68,191676126.490503
2026-06-01,109.43,113.3,106.33,109.33,134900437.715258
2026-06-02,107.45,109.0,104.17,107.93,106336209.173026
2026-06-03,116.42,118.29,110.86,112.71,118928807.019309
2026-06-04,108.4,113.14,107.4801,111.78,77325824.107252
2026-06-05,106.48,106.48,98.33,99.17,145209405.501458
2026-06-08,111.0,112.54,106.66,110.27,136973898.7622
2026-06-09,112.99,113.998,99.46,107.92,149623108.027935
2026-06-10,106.03,111.5,104.92,107.04,122653462.50796
2026-06-11,113.52,119.44,110.5118,116.96,188430320.805979
2026-06-12,117.415,127.6,115.33,124.57,151526758.874574
2026-06-15,129.49,132.61,126.66,127.86,134507523.285697
2026-06-16,125.105,128.7,116.0,117.05,132962556.5215
2026-06-17,121.85,125.2,118.06,121.1,115324920.177417
2026-06-18,131.805,135.48,127.9,133.99,233906555.623674
2026-06-22,139.12,141.45,136.21,140.94,127190553.301146
2026-06-23,129.73,137.98,128.3,132.28,132976743.976903
2026-06-24,133.045,136.08,127.95,131.65,104591698.260135
2026-06-25,139.73,140.72,125.41,132.87,123120247.613341
2026-06-26,128.705,131.23,125.5,128.32,99475352.674796
2026-06-29,127.0,132.05,118.5,131.72,106805299.632993
2026-06-30,131.99,142.35,131.5201,139.63,116996685.374222
2026-07-01,135.0,135.7399,126.6805,127.02,113107246.253744
2026-07-02,128.915,130.74,117.63,120.35,125021717.992527
2026-07-06,122.57,127.3,121.52,122.2,86950209.392034
2026-07-07,116.3,116.47,108.3,110.39,140405927.667343
2026-07-08,108.3,110.49,104.41,110.24,105488080.846972
2026-07-09,114.87,116.7699,111.51,112.54,99352457.035301
2026-07-10,109.575,110.85,107.45,109.84,70846601.01711
2026-07-13,105.98,106.17,101.79,103.12,100988772.92198
2026-07-14,107.98,109.19,103.5905,107.76,91129016.635298
2026-07-15,109.3,109.61,99.2,102.99,120625478.691242
2026-07-16,101.14,101.88,95.48,96.98,107742913.999889
2026-07-17,92.14,98.05,89.59,95.04,126779308.416891
2026-07-20,97.58,100.98,96.92,97.06,89741378.649967
2026-07-21,103.19,106.34,101.22,105.45,105429373.768355
2026-07-22,101.545,106.85,101.48,102.62,78431041.713138
2026-07-23,101.14,104.18,99.235,100.23,140806900.647146
2026-07-24,100.36,101.74,91.58,92.32,181132891.052112
2026-07-27,92.46,94.98,86.94,91.67,133247260.119488
2026-07-28,86.62,88.2799,83.1,86.3,154346670.017591
2026-07-29,86.57,88.47,81.79,81.88,152394563.914805
2026-07-30,86.51,94.1,85.97,91.13,140322599.71189
2026-07-31,96.72,97.9,90.13,90.2,109039502.337791
2026-08-03,88.4,91.68,85.62,91.0,96633640.33384
2026-08-04,95.24,101.39,94.32,100.86,124355055.360355
2026-08-05,99.3,102.83,97.895,101.06,85388366.487402
2026-08-06,98.22,103.3799,95.6,99.81,78088124.831029
