date,open,high,low,close,volume
2026-02-02,500.405,502.6151,486.62,487.12,2880631.0
2026-02-03,468.5,469.99,427.255,434.09,7569071.0
2026-02-04,427.935,450.49,411.11,445.64,6970984.0
2026-02-05,448.5,460.42,431.14,434.91,5211292.0
2026-02-06,437.12,448.0,435.4,443.77,3645588.0
2026-02-09,438.67,441.16,430.94,437.5,3720481.0
2026-02-10,434.65,451.09,420.36,421.39,5183955.0
2026-02-11,419.6,422.0,392.38,399.69,6088972.0
2026-02-12,397.95,408.995,391.15,397.96,4334005.0
2026-02-13,397.015,407.3899,389.32,399.4,4888297.0
2026-02-17,393.08,397.0,375.4,379.17,5481302.0
2026-02-18,380.25,398.13,375.5,389.57,4526896.0
2026-02-19,390.495,390.495,379.16,381.54,2961716.0
2026-02-20,380.88,392.96,378.88,380.55,4122758.0
2026-02-23,374.945,374.945,349.0,359.55,5495864.262737
2026-02-24,368.01,372.8399,356.52,358.71,6575962.007812
2026-02-25,356.55,381.59,353.53,381.23,5299367.223446
2026-02-26,388.0,406.87,385.56,394.42,9787160.759077
2026-02-27,384.675,409.63,384.675,409.03,8184708.770177
2026-03-02,402.45,429.63,401.45,419.06,5673360.590531
2026-03-03,414.585,438.5,411.601,433.35,5902615.912701
2026-03-04,432.95,442.05,427.15,440.14,4242244.734626
2026-03-05,439.17,471.38,438.93,466.79,7369492.003584
2026-03-06,467.0,483.21,463.6025,481.17,5508923.911684
2026-03-09,475.71,481.0,466.1,473.67,3985896.559162
2026-03-10,474.01,475.0,448.27,453.95,5013230.464741
2026-03-11,458.1,458.4999,435.51,440.45,2867949.985422
2026-03-12,440.4,450.65,434.43,435.13,3543843.057945
2026-03-13,431.93,441.94,428.99,439.96,2340014.898403
2026-03-16,445.32,455.89,442.11,452.31,3051501.978931
2026-03-17,455.08,474.77,454.5,459.28,2532940.195058
2026-03-18,450.57,458.99,443.29,446.79,2467337.362929
2026-03-19,452.88,470.0,451.54,455.24,2598495.226401
2026-03-20,444.49,462.859,440.67,455.56,4718502.887083
2026-03-23,456.0,464.99,449.725,457.02,3124701.53442
2026-03-24,451.37,452.85,431.2,432.45,2824600.31382
2026-03-25,438.26,442.5,417.2101,426.86,2212571.77149
2026-03-26,423.795,443.615,423.795,432.55,2192859.56666
2026-03-27,426.49,427.47,409.5001,416.44,2649855.777682
2026-03-30,419.39,432.29,418.3996,429.03,2296690.437466
