date,open,high,low,close,volume
2026-02-02,2.555,2.66,2.47,2.61,11097041.0
2026-02-03,2.62,2.77,2.57,2.64,9993256.0
2026-02-04,2.65,2.71,2.43,2.44,12260548.0
2026-02-05,2.4,2.46,2.25,2.36,15771876.0
2026-02-06,2.42,2.58,2.42,2.53,6916224.0
2026-02-09,2.52,2.61,2.46,2.6,6924712.0
2026-02-10,2.61,2.725,2.57,2.6,8500471.0
2026-02-11,2.58,2.6,2.48,2.6,6954903.0
2026-02-12,2.66,2.68,2.5,2.52,5818480.0
2026-02-13,2.57,2.65,2.545,2.57,6428560.0
2026-02-17,2.55,2.64,2.465,2.62,6628383.0
2026-02-18,2.62,2.76,2.6,2.72,7065750.0
2026-02-19,2.72,2.87,2.68,2.85,8701712.0
2026-02-20,2.83,2.89,2.75,2.87,9186959.0
2026-02-23,2.87,2.99,2.81,2.89,11985103.757369
2026-02-24,3.295,3.9,3.21,3.78,69670041.829449
2026-02-25,4.17,4.35,3.78,3.83,46176839.93282
2026-02-26,3.82,3.84,3.5,3.79,22467361.620125
2026-02-27,3.79,3.905,3.65,3.86,19051939.198668
2026-03-02,3.67,3.9,3.67,3.79,12998054.751793
2026-03-03,3.62,3.95,3.57,3.745,13973806.262342
2026-03-04,3.8,4.28,3.73,4.26,24679124.708275
2026-03-05,4.205,4.6,4.1101,4.58,23716766.800816
2026-03-06,4.42,5.35,4.38,5.13,44562758.978599
2026-03-09,5.02,5.63,5.01,5.41,27551172.535418
2026-03-10,5.415,5.4199,5.09,5.2,19787867.933466
2026-03-11,5.2,5.355,4.78,4.84,20821442.522845
2026-03-12,4.66,4.74,4.01,4.07,26434416.183479
2026-03-13,4.2,4.21,3.805,3.96,19365566.618896
2026-03-16,3.992,4.145,3.91,4.04,14697790.138938
2026-03-17,4.02,4.118,3.83,3.89,9749682.10908
2026-03-18,3.81,4.03,3.76,3.77,14468851.919148
2026-03-19,3.71,3.89,3.61,3.87,10477127.130005
2026-03-20,3.87,3.955,3.61,3.69,23502040.304656
2026-03-23,3.73,3.81,3.62,3.63,9005781.657594
2026-03-24,3.6,3.68,3.43,3.62,11852086.006664
2026-03-25,3.73,3.9689,3.69,3.75,10577447.852219
2026-03-26,3.58,3.81,3.52,3.69,7473340.694808
2026-03-27,3.66,3.715,3.51,3.51,8496946.279879
2026-03-30,3.51,3.51,3.26,3.32,9934944.746988
2026-03-31,3.43,3.58,3.37,3.51,10974150.302308
2026-04-01,3.6,3.65,3.39,3.45,9268499.688811
2026-04-02,3.335,3.505,3.32,3.43,7803480.546033
2026-04-06,3.42,3.485,3.28,3.3,9803818.231558
2026-04-07,3.26,3.43,3.1818,3.32,9710655.937189
2026-04-08,3.455,3.5,3.25,3.47,15629660.383433
2026-04-09,3.49,4.05,3.48,4.01,26733346.750649
2026-04-10,3.99,4.31,3.625,3.7,44592905.499386
2026-04-13,3.69,3.81,3.42,3.46,17946613.832669
2026-04-14,3.49,3.69,3.44,3.64,13922189.665369
2026-04-15,3.68,3.83,3.53,3.82,12235417.606251
2026-04-16,3.82,3.8699,3.71,3.8,11014677.384309
2026-04-17,3.93,3.97,3.85,3.86,10684185.188159
2026-04-20,3.75,3.86,3.66,3.78,9751117.552858
2026-04-21,3.79,3.91,3.65,3.7,10956783.046264
2026-04-22,3.75,3.805,3.4,3.53,22203968.501621
2026-04-23,3.5,3.58,3.375,3.48,15322918.593201
2026-04-24,3.49,3.57,3.4,3.44,11715211.568509
2026-04-27,3.45,3.585,3.42,3.43,10322755.481085
2026-04-28,3.43,3.495,3.33,3.38,11297312.98519
2026-04-29,3.37,3.37,3.27,3.31,8938445.911061
2026-04-30,3.34,3.42,3.3,3.36,16314671.97113
2026-05-01,3.37,3.5,3.34,3.4,9933825.214882
2026-05-04,3.44,3.88,3.41,3.85,22610294.24207
2026-05-05,3.82,4.0,3.8,3.98,18350287.24539
2026-05-06,3.99,4.15,3.91,4.09,17051772.557715
2026-05-07,3.51,4.075,3.46,3.55,40972368.238036
2026-05-08,3.52,3.62,3.38,3.62,20688669.383682
2026-05-11,3.64,4.03,3.64,3.7,19047401.965241
2026-05-12,3.74,3.74,3.51,3.56,20988916.104012
2026-05-13,3.56,3.71,3.51,3.66,7883682.714957
2026-05-14,3.645,3.74,3.48,3.52,12614581.965868
2026-05-15,3.46,3.5,3.41,3.45,7853227.984702
2026-05-18,3.51,3.57,3.35,3.39,10237083.446926
2026-05-19,3.375,3.5,3.28,3.46,8589442.264794
2026-05-20,3.48,3.65,3.48,3.54,8937099.754764
2026-05-21,3.535,3.72,3.465,3.7,10607701.827715
2026-05-22,3.7,4.2,3.69,4.11,23101121.758976
2026-05-26,4.075,4.2502,3.95,4.1,14580816.236209
2026-05-27,4.08,4.485,4.035,4.37,12819903.777932
2026-05-28,4.38,4.51,4.27,4.3,9265953.075243
2026-05-29,4.185,4.2289,3.875,4.1,17279249.72339
2026-06-01,4.11,4.195,3.895,3.96,14458960.628603
2026-06-02,3.91,4.175,3.901,4.1,12715770.527471
2026-06-03,4.1,4.12,3.77,3.79,9667593.218031
2026-06-04,3.845,4.5777,3.845,4.38,22604329.091445
2026-06-05,4.5,4.56,4.17,4.23,19690915.258108
2026-06-08,4.29,4.35,3.98,4.0,11287481.680108
2026-06-09,4.09,4.1251,3.77,3.88,11270614.737656
2026-06-10,3.85,4.06,3.76,3.78,8880518.640324
2026-06-11,3.775,4.02,3.7,3.96,11510947.337824
2026-06-12,3.95,4.23,3.95,4.08,10969941.724901
2026-06-15,4.12,4.15,3.89,4.03,12659269.153225
2026-06-16,4.07,4.125,3.8,3.82,9003991.708919
2026-06-17,3.88,4.125,3.81,3.93,11208025.933144
2026-06-18,3.97,4.05,3.85,3.91,23714726.592982
2026-06-22,3.92,4.2,3.91,4.06,11624401.35932
2026-06-23,4.0,4.52,3.99,4.44,17975949.993025
2026-06-24,4.55,4.7586,4.22,4.25,15618985.610471
2026-06-25,4.26,4.34,4.14,4.21,9005609.253179
2026-06-26,4.215,4.41,4.125,4.25,23715866.361892
2026-06-29,4.328,4.46,4.17,4.21,10660230.643353
2026-06-30,4.23,4.33,4.14,4.16,10252161.368292
2026-07-01,4.16,4.295,3.85,3.97,21395779.270085
2026-07-02,4.07,4.32,3.89,4.31,20542153.3995
2026-07-06,4.3,4.5399,4.18,4.19,12775710.784142
2026-07-07,4.25,4.41,4.07,4.35,11634878.182989
2026-07-08,4.33,4.48,4.19,4.28,10335109.285346
2026-07-09,4.3,4.53,4.28,4.37,13730301.418181
2026-07-10,4.41,4.45,4.145,4.23,9924816.778306
2026-07-13,4.16,4.17,4.0,4.04,13326232.278732
2026-07-14,4.06,4.07,3.9,3.93,13351020.435514
2026-07-15,3.92,4.8,3.76,4.74,43697871.238781
2026-07-16,4.625,5.13,4.602,4.66,28210344.302895
2026-07-17,4.54,5.065,4.44,5.0,23478578.785943
2026-07-20,5.03,5.13,4.8,5.02,16361516.678535
2026-07-21,5.07,5.53,5.02,5.48,20354160.691412
2026-07-22,5.5,5.64,5.1,5.17,14161009.248179
2026-07-23,5.03,5.275,5.0,5.13,9732094.430226
2026-07-24,5.125,5.15,4.95,4.99,9431084.856592
2026-07-27,5.02,5.16,4.855,4.9,13245331.962928
2026-07-28,4.98,4.98,4.64,4.7,13441678.618731
2026-07-29,4.73,4.78,4.495,4.56,10794369.848489
2026-07-30,4.53,4.8399,4.51,4.69,14156410.535592
2026-07-31,4.43,4.55,4.02,4.07,19974537.080483
2026-08-03,4.1,4.36,3.96,4.315,13022194.575561
2026-08-04,4.39,4.48,4.29,4.36,10682083.229278
2026-08-05,4.45,4.55,4.29,4.34,15595197.628094
2026-08-06,5.95,6.39,5.63,6.21,73430649.343221
2026-08-07,6.57,6.92,5.88,6.34,30970676.820475
2026-08-10,6.31,6.61,6.16,6.4,17306205.995346
2026-08-11,6.48,6.525,6.18,6.49,10381001.976945
2026-08-12,6.49,6.74,6.39,6.74,13458733.649669
2026-08-13,6.74,6.81,6.424,6.52,15679356.131153
2026-08-14,6.52,7.0,6.36,6.98,17507568.680401
