date,open,high,low,close,volume
2026-04-14,45.245,47.65,44.5,47.37,46944122.365421
2026-04-15,47.25,48.86,46.22,48.82,32206709.866955
2026-04-16,49.695,49.8,45.07,47.7,36818036.180332
2026-04-17,48.98,49.84,47.1701,48.12,30817727.130511
2026-04-20,48.105,49.99,47.41,48.72,35972987.86623
2026-04-21,48.68,48.733,44.94,45.17,35271305.976492
2026-04-22,46.8,48.83,46.745,48.39,33306624.359878
2026-04-23,48.35,53.3698,47.94,52.02,57871775.304461
2026-04-24,53.24,54.14,50.13,50.64,41941322.092161
2026-04-27,50.22,50.37,47.66,48.36,33168645.59605
2026-04-28,45.87,46.74,43.53,44.44,39925241.902169
2026-04-29,44.69,44.7,42.21,42.86,25357030.620681
2026-04-30,44.04,45.58,42.6,45.51,29279645.747767
2026-05-01,46.17,47.4,45.15,45.66,26149773.009165
2026-05-04,46.24,51.29,46.12,49.48,42428790.675099
2026-05-05,50.02,56.135,49.07,54.74,48226592.369812
2026-05-06,56.245,61.5,56.102,60.98,62384688.773624
2026-05-07,59.395,62.43,55.41,56.85,81891800.869215
2026-05-08,63.845,65.61,57.91,61.2,110542100.088835
2026-05-11,54.97,61.72,52.36,55.15,112561479.590154
2026-05-12,55.4,57.218,53.0,56.56,76104727.390267
2026-05-13,57.44,57.59,53.7,55.17,49514592.702799
2026-05-14,54.465,60.18,54.0,58.4,58403028.050636
2026-05-15,56.74,56.79,52.86,52.94,48691571.383435
2026-05-18,53.085,53.11,48.48,50.46,43039757.360485
2026-05-19,48.62,49.27,46.0,47.74,37577515.910679
2026-05-20,49.12,53.12,48.55,52.71,44421022.730534
2026-05-21,53.99,58.1,53.2,58.06,50294808.735427
2026-05-22,57.935,58.815,55.555,56.83,36358440.60735
2026-05-26,59.68,61.49,58.61,59.78,41948964.294897
2026-05-27,61.83,68.1258,59.83,67.84,85377490.642729
2026-05-28,66.54,66.75,63.55,64.05,46938604.359288
2026-05-29,64.7,64.745,60.73,63.54,50313604.620237
2026-06-01,62.2,66.5,60.26,65.33,56409453.813548
2026-06-02,64.58,69.57,64.26,66.6,51689978.668399
2026-06-03,68.815,70.7066,64.46,65.48,59382877.820382
2026-06-04,62.13,62.91,59.68,61.86,47120814.228315
2026-06-05,59.31,59.31,51.04,54.35,64148748.483755
2026-06-08,56.6,59.67,55.14,59.19,41125888.25727
2026-06-09,58.96,60.86,51.145,54.02,57349388.486429
2026-06-10,53.92,56.46,51.22,51.52,40574471.45901
2026-06-11,51.19,57.09,50.75,56.71,48863221.058171
2026-06-12,56.505,61.4,55.94,59.77,45488280.042757
2026-06-15,62.32,63.17,60.3401,60.85,33192940.803438
2026-06-16,60.06,62.02,58.94,59.18,32102137.522281
2026-06-17,58.965,61.67,57.71,58.11,36100486.353262
2026-06-18,61.275,61.53,58.0,59.96,39394562.727988
2026-06-22,60.68,61.28,56.3001,56.87,35086458.605566
2026-06-23,53.455,57.54,52.75,54.72,32248116.813316
2026-06-24,54.092,54.79,48.8401,50.3,38885645.392887
2026-06-25,52.22,52.29,47.15,47.74,36214665.100277
2026-06-26,46.65,48.386,45.05,47.21,50929294.504824
2026-06-29,48.605,48.9813,43.89,45.91,34318446.973462
2026-06-30,45.7,46.76,44.5,45.73,28299966.860782
2026-07-01,44.045,44.8,41.76,43.32,41807508.425973
2026-07-02,42.525,43.4178,37.66,38.82,60368806.473239
2026-07-06,41.97,44.9699,41.75,43.91,53915737.885656
2026-07-07,42.235,42.71,39.195,39.815,42364025.507011
2026-07-08,40.74,43.06,40.275,43.005,34990982.553181
2026-07-09,44.495,45.54,41.58,41.72,38622406.285298
2026-07-10,42.61,42.61,39.965,41.14,30169833.243891
2026-07-13,40.34,42.17,38.08,38.98,36157696.487087
2026-07-14,40.05,40.62,37.04,38.59,35274535.188692
2026-07-15,39.115,40.445,37.9538,38.28,36231864.14685
2026-07-16,37.09,37.42,34.4401,34.83,41339138.850339
2026-07-17,33.79,34.92,32.22,33.62,47227381.944708
2026-07-20,36.392,41.095,36.31,40.2,93338234.451925
2026-07-21,40.91,42.68,40.34,41.29,51029985.67894
2026-07-22,40.3,43.72,40.25,41.28,41772847.139243
2026-07-23,40.6,43.429,40.35,40.58,41864338.137637
2026-07-24,40.015,40.23,37.02,37.07,34580387.311315
2026-07-27,37.59,38.4992,34.88,36.29,34868063.410123
2026-07-28,35.015,35.09,32.54,33.93,47608808.652288
2026-07-29,34.075,34.24,28.93,29.31,71021409.38393
2026-07-30,32.505,38.335,32.32,38.26,72983561.684425
2026-07-31,40.815,40.815,35.16,36.8,65451238.898811
2026-08-03,36.52,40.21,35.46,39.75,43898320.830247
2026-08-04,39.22,42.24,39.2,40.85,41251291.2245
2026-08-05,40.05,41.16,38.89,38.89,34371045.523435
2026-08-06,37.255,40.4695,37.08,37.93,31456992.652457
2026-08-07,39.47,41.3,37.3,41.23,32417481.174187
2026-08-10,41.28,41.31,38.69,38.74,33395815.999673
2026-08-11,40.2,40.9562,39.35,39.75,42117178.059056
