date,open,high,low,close,volume
2026-04-06,2.07,2.16,2.0,2.16,15393002.818739
2026-04-07,2.06,2.1162,2.005,2.04,24556744.852346
2026-04-08,2.16,2.18,2.06,2.11,39657497.377567
2026-04-09,2.085,2.16,2.04,2.1,24360056.591982
2026-04-10,2.1,2.17,2.09,2.14,19731753.44892
2026-04-13,2.09,2.36,2.07,2.35,37262256.884983
2026-04-14,2.42,2.89,2.42,2.84,52183074.601752
2026-04-15,2.88,2.91,2.75,2.84,28423951.693655
2026-04-16,2.84,2.87,2.7,2.74,21781022.302273
2026-04-17,2.83,3.0,2.78,2.88,27941129.249254
2026-04-20,2.88,2.97,2.81,2.88,20860306.288139
2026-04-21,2.94,2.95,2.8,2.8,23255603.040401
2026-04-22,2.9,3.1,2.9,3.04,22437729.923944
2026-04-23,3.18,3.55,3.11,3.24,64682962.72847
2026-04-24,3.5,3.5,3.25,3.29,40870962.961475
2026-04-27,3.32,3.33,3.05,3.14,23288961.255902
2026-04-28,3.01,3.04,2.84,2.89,24080916.283634
2026-04-29,2.86,2.89,2.7,2.74,20998795.95174
2026-04-30,2.86,3.06,2.82,3.03,31622382.22943
2026-05-01,3.1,3.16,3.03,3.09,20843581.882409
2026-05-04,3.1,3.28,3.09,3.25,24272072.045364
2026-05-05,3.32,3.56,3.24,3.53,32238093.310708
2026-05-06,3.69,4.19,3.64,4.12,62901840.665986
2026-05-07,3.94,4.11,3.74,4.01,40270100.754252
2026-05-08,4.06,4.16,3.83,3.97,31757335.902994
2026-05-11,3.58,4.5,3.56,4.3,61837762.623957
2026-05-12,4.15,4.21,3.76,4.07,33189802.396849
2026-05-13,4.11,4.29,3.84,4.15,32462552.542071
2026-05-14,4.08,4.66,4.05,4.61,49002733.789761
2026-05-15,4.38,4.49,4.21,4.39,32856960.620793
2026-05-18,4.55,4.65,3.96,4.18,42810200.196976
2026-05-19,4.055,4.25,3.89,4.21,26567999.263192
2026-05-20,4.265,4.35,4.11,4.23,27432656.993804
2026-05-21,4.24,4.7,4.17,4.64,39518005.365433
2026-05-22,4.655,5.03,4.57,4.81,40109691.919808
2026-05-26,5.1,5.33,5.0,5.13,46538074.46744
2026-05-27,5.17,5.6,5.0,5.505,53668908.943698
2026-05-28,5.375,5.74,5.28,5.62,33709525.612131
2026-05-29,5.58,5.8699,5.25,5.68,41894102.739683
2026-06-01,5.58,6.21,5.3955,6.1,48868904.303836
2026-06-02,6.12,6.45,6.03,6.14,47432130.737469
2026-06-03,6.08,6.45,5.97,6.15,46569444.504167
2026-06-04,5.83,6.1799,5.66,5.93,51879291.488677
2026-06-05,5.3,5.44,4.81,5.13,113713051.254644
2026-06-08,5.39,5.8,5.25,5.66,71913781.568231
2026-06-09,5.89,6.355,5.17,5.42,96808906.812607
2026-06-10,5.39,5.72,5.22,5.25,50719551.647592
2026-06-11,5.28,5.57,5.04,5.52,48527357.354511
2026-06-12,5.55,6.06,5.51,5.59,54755195.215493
2026-06-15,5.98,6.04,5.55,5.66,41521789.758614
2026-06-16,5.58,6.32,5.53,5.96,64073051.418152
2026-06-17,5.955,6.42,5.9201,5.97,65911541.607862
2026-06-18,6.28,6.37,5.9423,6.29,87302077.01684
2026-06-22,6.655,7.37,6.58,6.66,109643489.307249
2026-06-23,6.17,6.875,6.04,6.6,60104781.555573
2026-06-24,6.84,6.9,5.85,6.12,68674711.291028
2026-06-25,6.34,6.41,5.495,5.87,51052590.141546
2026-06-26,5.67,6.15,5.5,6.03,122414619.04077
2026-06-29,6.05,6.19,5.41,5.78,39153622.211957
2026-06-30,5.63,5.82,5.47,5.74,33412008.58901
2026-07-01,5.47,5.58,5.04,5.38,38300986.73275
2026-07-02,5.42,5.46,4.52,4.59,49897299.209967
