date,open,high,low,close,volume
2026-03-16,366.89,390.724,366.69,382.76,1144738.900706
2026-03-17,398.31,409.639,384.01,395.65,636340.988705
2026-03-18,392.27,404.49,374.81,375.87,1186995.148009
2026-03-19,342.84,404.94,333.485,397.75,1097133.330453
2026-03-20,377.01,380.51,316.38,320.98,1500515.951757
2026-03-23,362.08,386.0,346.4601,377.71,2545712.618497
2026-03-24,326.0,353.6,322.98,335.64,1793487.573196
2026-03-25,341.53,349.98,323.0007,327.6,1211190.965132
2026-03-26,303.46,307.795,266.03,269.93,1557457.307469
2026-03-27,280.81,288.8699,266.11,274.03,1114644.924919
2026-03-30,277.0,277.11,233.33,243.16,1427414.811231
2026-03-31,235.31,286.2,233.5,284.12,2134478.036525
2026-04-01,302.26,323.0,294.0421,305.96,1927806.538105
2026-04-02,242.79,296.901,238.51,282.21,2018883.675241
2026-04-06,301.19,308.1,291.7,302.06,840582.40415
2026-04-07,305.53,314.0,278.3,311.09,1458403.289148
2026-04-08,406.78,412.24,376.0,405.01,1573426.205072
2026-04-09,373.07,405.66,361.8,399.48,1401716.316465
2026-04-10,389.26,399.98,383.43,393.97,618180.564123
2026-04-13,370.14,420.0,370.14,414.02,903833.530386
2026-04-14,425.11,465.0,422.34,463.68,805834.181369
2026-04-15,442.31,449.5,428.6,445.88,879620.879076
2026-04-16,461.82,479.31,450.01,469.0,538526.094787
2026-04-17,508.17,540.28,494.0,515.85,1005832.371316
2026-04-20,495.0,503.58,480.0,493.95,489624.191989
2026-04-21,512.83,517.6,458.24,461.74,661796.293364
2026-04-22,506.98,545.91,503.14,542.74,695355.760937
2026-04-23,518.67,533.975,463.6,490.46,707736.966453
2026-04-24,514.69,536.25,507.42,526.44,639219.489452
2026-04-27,553.0,563.7,540.421,551.0,399081.020943
2026-04-28,518.79,538.52,505.0,525.81,414335.12865
2026-04-29,543.17,548.0,510.0,521.61,400172.168855
2026-04-30,560.0,597.0,536.38,587.76,447907.03056
2026-05-01,580.0,626.89,577.12,602.68,319184.171848
2026-05-04,638.5,667.02,606.03,621.77,647500.911604
2026-05-05,673.99,752.18,673.05,731.87,687316.599281
2026-05-06,820.71,844.0,776.0,839.0,641527.334544
2026-05-07,830.25,838.0,762.35,768.45,496453.217903
2026-05-08,853.91,944.85,853.91,942.18,519212.635062
2026-05-11,953.8,1007.7999,939.99,983.09,474028.36025
2026-05-12,816.0,867.36,690.0,761.29,1501081.822557
2026-05-13,878.41,901.56,830.0063,893.85,700353.729616
2026-05-14,896.11,927.225,883.07,919.88,301341.156134
2026-05-15,750.0,785.0,720.0,751.34,927597.784064
2026-05-18,795.0,799.0,677.63,713.82,710194.142599
2026-05-19,617.92,743.0,607.0,689.85,1221016.038815
2026-05-20,689.99,763.0,685.0001,760.7,890900.377311
2026-05-21,794.91,850.0,780.67,839.0,1423563.550526
2026-05-22,834.12,836.0,774.8,780.35,463502.037133
2026-05-26,935.0,1027.6699,934.25,1014.98,890643.010991
2026-05-27,1037.01,1045.79,926.86,978.79,662902.459782
2026-05-28,969.33,1107.53,951.32,1100.13,526732.297133
2026-05-29,1098.24,1128.2099,1069.32,1090.0,279159.198069
2026-06-01,1179.21,1279.7,1143.17,1264.9,433984.732464
2026-06-02,1171.5,1227.0,1140.1,1224.81,437589.692
2026-06-03,1216.49,1220.0,1124.7,1196.72,385555.870285
2026-06-04,978.82,1080.395,922.26,1049.7,748979.119686
2026-06-05,820.005,843.47,610.01,610.01,2356925.288333
2026-06-08,726.29,743.39,686.25,709.44,1759164.978135
2026-06-09,797.84,801.35,589.01,692.02,2155930.399197
2026-06-10,679.16,746.56,626.13,629.35,1598681.508176
2026-06-11,700.25,847.53,688.25,842.01,1681426.315701
2026-06-12,792.85,854.96,763.055,824.88,1040558.185574
2026-06-15,957.5,999.94,937.0,999.25,712518.605385
2026-06-16,977.4,1028.0,898.0,919.04,722704.804459
2026-06-17,978.93,1016.28,905.9301,914.4,730687.344862
2026-06-18,1033.96,1111.0,1025.0,1090.74,714889.780421
2026-06-22,1080.0,1111.0,1057.0001,1088.62,579729.868388
2026-06-23,710.53,824.42,700.0,700.01,2316124.122876
2026-06-24,762.71,773.32,684.72,741.28,1544370.463501
2026-06-25,876.44,890.0,762.5334,829.09,1123800.05211
2026-06-26,703.0,790.35,698.85,738.55,922272.554258
2026-06-29,718.02,738.48,640.0,738.48,1079233.87158
2026-06-30,733.05,790.0,728.16,781.35,622903.690903
2026-07-01,643.58,670.5046,600.0,600.01,1810658.124352
2026-07-02,582.86,621.63,485.49,541.43,2432559.83627
2026-07-06,625.63,646.5,615.01,624.65,883737.832746
2026-07-07,539.39,566.75,502.26,544.83,1453670.798369
2026-07-08,481.24,555.719,480.0,553.35,2473922.476498
2026-07-09,561.83,577.0,545.0,569.91,1733267.943306
2026-07-10,538.64,571.45,519.86,557.0,1254551.297098
