date,open,high,low,close,volume
2026-03-23,39.74,39.88,38.935,39.08,1032908.203994
2026-03-24,38.91,39.75,38.82,39.46,1768768.97987
2026-03-25,40.0,40.0,38.0775,38.51,1477796.397868
2026-03-26,37.1,39.22,37.1,38.31,1860282.41344
2026-03-27,38.09,38.235,37.2,37.31,957686.21214
2026-03-30,37.62,38.2375,37.19,37.5,1287384.676309
2026-03-31,38.28,39.0,37.89,38.92,1868993.06448
2026-04-01,39.4,39.49,38.25,39.37,1932085.27334
2026-04-02,39.18,40.18,38.7524,40.17,1567968.90954
2026-04-06,40.26,41.864,39.97,41.63,1881794.230113
2026-04-07,41.56,42.02,41.1201,41.32,1179544.291519
2026-04-08,41.63,42.285,41.0,42.22,1245908.040509
2026-04-09,42.08,42.18,40.74,41.35,1091080.255125
2026-04-10,41.35,42.46,41.16,41.95,1166924.554324
2026-04-13,41.83,42.9,41.6717,42.89,875635.783229
2026-04-14,43.0,43.63,42.77,42.91,1217856.566494
2026-04-15,43.07,44.42,42.57,44.22,1692787.348883
2026-04-16,44.45,44.99,44.01,44.85,758090.493433
2026-04-17,45.0,45.59,44.79,45.17,821406.435873
2026-04-20,45.18,45.5899,44.03,44.93,981975.526109
2026-04-21,45.13,45.93,44.15,44.18,733013.437344
2026-04-22,44.49,45.27,43.96,45.26,940643.117056
2026-04-23,45.23,45.5299,44.34,45.49,621275.173464
2026-04-24,45.66,45.9,44.7,45.87,664457.080833
2026-04-27,45.68,46.82,45.62,46.72,966639.682982
2026-04-28,46.8,47.88,46.615,47.3,1310629.359082
2026-04-29,47.14,47.88,46.85,47.64,704045.030494
2026-04-30,47.24,47.81,46.39,46.49,708517.592551
2026-05-01,46.75,47.525,46.71,47.17,698019.013792
2026-05-04,47.09,47.76,46.74,47.31,1260470.268287
2026-05-05,47.29,48.4475,47.13,47.71,1589684.4268
2026-05-06,47.92,47.99,46.9,47.69,1323349.930196
2026-05-07,48.5,50.41,47.015,49.77,1944611.090456
2026-05-08,49.95,52.135,49.0,51.99,1705884.737238
2026-05-11,51.05,52.42,49.71,52.19,1539386.566392
2026-05-12,52.34,52.47,51.03,52.47,1999996.517841
2026-05-13,52.52,55.9,51.4001,55.21,1698767.223847
2026-05-14,55.54,57.03,54.57,56.84,1157168.759
2026-05-15,56.2,57.14,55.17,56.16,1232646.028481
2026-05-18,56.62,56.88,54.1,54.51,1198637.824779
2026-05-19,53.8,54.535,53.01,53.31,1249431.168358
2026-05-20,53.57,53.67,51.7,51.99,1341868.822689
2026-05-21,51.78,52.595,51.315,51.44,1025118.12628
2026-05-22,51.64,52.0,51.11,51.42,989164.282714
2026-05-26,51.51,51.73,49.21,49.21,1115099.05954
2026-05-27,49.7,51.6,49.42,50.21,1620266.475476
2026-05-28,50.18,50.18,47.56,47.76,1092015.548582
2026-05-29,47.6,48.7,46.855,47.25,994000.483473
2026-06-01,47.58,48.35,46.07,46.1,843032.283795
2026-06-02,45.75,45.76,41.12,42.51,4193156.22076
2026-06-03,42.5,42.78,39.865,40.33,2257302.345525
2026-06-04,40.85,41.7899,39.225,39.61,1631642.509847
2026-06-05,39.8,41.155,38.48,39.21,1813360.187811
2026-06-08,40.29,40.68,38.55,38.74,1677151.26815
2026-06-09,38.89,40.41,38.89,39.8,2501301.733461
2026-06-10,39.8,41.14,39.5,40.79,1995824.139506
2026-06-11,41.18,42.79,40.8,41.27,1949556.989167
2026-06-12,40.89,44.0086,40.89,43.29,3288607.049541
2026-06-15,44.74,45.24,43.28,44.11,2029975.315247
2026-06-16,44.34,44.54,39.63,40.24,4669870.935825
2026-06-17,40.12,40.7,37.53,37.8,3519282.036461
2026-06-18,38.02,38.81,36.68,37.65,3696538.443519
2026-06-22,37.51,38.315,36.31,36.65,2753450.666807
2026-06-23,36.11,37.12,35.43,35.81,3256122.311642
2026-06-24,36.18,37.37,35.71,36.49,2263660.197222
2026-06-25,36.6,37.42,35.71,36.74,2626582.703809
2026-06-26,36.6,38.21,36.33,37.92,10560237.319799
2026-06-29,38.24,38.65,36.05,36.83,3052800.006318
2026-06-30,36.69,37.24,36.12,37.16,1990621.742608
2026-07-01,37.72,39.12,37.62,39.05,2479299.57518
2026-07-02,39.35,41.832,38.54,40.84,2900554.437638
2026-07-06,40.59,42.345,40.0,41.86,1821233.065646
2026-07-07,42.02,44.16,41.725,43.72,2183795.323029
2026-07-08,43.72,44.065,41.85,41.86,1488522.540123
2026-07-09,42.0,43.18,41.06,42.99,1345958.169422
2026-07-10,43.69,44.4,42.225,42.83,975704.620478
2026-07-13,42.9,43.7399,41.4,42.31,1424906.330117
2026-07-14,41.91,42.99,40.8,41.3,1333375.308815
2026-07-15,41.48,42.81,41.48,42.43,1016923.15407
2026-07-16,42.96,43.615,42.4,42.89,1242898.274754
2026-07-17,41.85,43.43,41.675,42.33,1212998.8868
