date,open,high,low,close,volume
2026-04-27,422.375,427.11,417.0701,424.82,30867303.274117
2026-04-28,424.57,429.92,421.9,429.25,30438087.505799
2026-04-29,424.575,426.82,420.29,424.46,38288316.602118
2026-04-30,410.81,414.42,398.01,407.78,70909408.096653
2026-05-01,412.8,417.11,410.435,414.44,31372361.777615
2026-05-04,411.54,420.78,410.8,413.62,28066528.294052
2026-05-05,415.32,416.7799,408.8,411.38,25700891.312377
2026-05-06,408.0,418.4228,405.11,413.96,30285898.158895
2026-05-07,420.11,427.98,418.76,420.77,34942445.178621
2026-05-08,417.385,418.63,414.0,415.12,33383790.687455
2026-05-11,407.87,412.69,405.5,412.66,35657943.328144
2026-05-12,414.48,415.5,406.64,407.77,38594221.16233
2026-05-13,403.2,406.31,401.03,405.21,29667073.312232
2026-05-14,404.48,411.84,400.88,409.43,27077542.626241
2026-05-15,414.27,428.17,412.91,421.92,50771160.206239
2026-05-18,416.62,425.12,415.61,423.54,32564130.131405
2026-05-19,429.9,432.7,416.49,417.42,33018678.921238
2026-05-20,414.165,422.1,411.3001,421.06,27864016.16457
2026-05-21,424.75,426.34,415.71,419.09,31393469.373012
2026-05-22,419.535,424.4,416.33,418.57,22390344.11397
2026-05-26,416.43,419.77,413.02,416.03,30398049.834428
2026-05-27,411.01,415.94,409.58,412.67,28901479.934374
2026-05-28,412.975,429.49,412.67,426.99,47250541.314879
2026-05-29,432.545,450.33,432.36,450.24,79654376.285195
2026-06-01,464.84,466.32,458.27,460.52,53628910.017535
2026-06-02,446.88,453.5,440.43,441.31,37036801.506484
2026-06-03,438.45,440.39,424.25,427.34,39037007.174846
2026-06-04,435.81,436.15,426.41,428.05,26899511.802233
2026-06-05,428.34,429.47,414.4,416.67,34782164.985064
2026-06-08,414.14,417.1599,408.56,411.74,32086714.635587
2026-06-09,409.03,411.98,398.48,403.41,35317302.699492
2026-06-10,398.55,405.04,397.16,397.36,32576041.704457
2026-06-11,395.205,396.85,384.0,390.34,47224135.068075
2026-06-12,391.43,391.74,382.27,390.74,34922036.300172
2026-06-15,396.795,401.75,392.845,399.76,32266437.464578
2026-06-16,395.79,396.84,390.69,393.83,31506846.820523
2026-06-17,390.25,390.37,377.32,378.91,41987834.385072
2026-06-18,377.82,381.37,373.28,379.4,59714157.698213
2026-06-22,375.74,381.63,367.07,367.34,45171106.404419
2026-06-23,372.38,377.22,370.67,373.94,40647605.362972
2026-06-24,371.57,378.88,364.78,365.46,44509854.593955
2026-06-25,362.77,364.23,349.2,352.83,66360473.423776
2026-06-26,357.15,376.61,355.43,372.97,186201631.567178
2026-06-29,377.5,380.5,359.9,368.57,51229885.197175
2026-06-30,371.03,374.15,367.45,373.02,44945696.480524
2026-07-01,380.825,388.83,374.89,384.28,48065801.205627
2026-07-02,384.48,392.2,383.7,390.49,42194409.987383
2026-07-06,387.04,389.15,381.22,386.74,34224543.217961
2026-07-07,392.49,395.57,388.22,388.84,29297524.719133
2026-07-08,384.03,385.31,381.33,383.34,25908255.391962
2026-07-09,374.45,384.65,373.35,384.36,31083197.756558
2026-07-10,387.8,391.91,381.5,385.1,24644605.121674
2026-07-13,387.745,393.65,384.15,390.99,28914877.938966
2026-07-14,382.82,388.19,378.65,384.93,27863916.109172
2026-07-15,387.8,398.96,386.4,395.63,36253745.660969
2026-07-16,398.31,405.99,392.0501,401.1,37047443.758538
2026-07-17,394.855,398.39,389.39,393.82,33049842.248458
2026-07-20,391.41,403.18,389.65,402.29,27915762.31429
2026-07-21,398.805,401.47,396.32,397.75,24126632.190757
2026-07-22,399.58,401.0,386.96,390.34,28142511.445358
2026-07-23,389.965,391.78,377.39,381.58,30351752.879539
2026-07-24,387.05,389.03,380.65,381.7,27659388.43388
2026-07-27,390.08,394.2,387.99,389.1,27856160.636345
2026-07-28,393.16,400.32,391.3,393.35,32367546.019692
2026-07-29,393.4,401.25,388.74,390.54,47209032.172838
2026-07-30,437.9,458.69,432.44,451.1,110160704.185207
2026-07-31,450.0,466.84,449.33,464.72,60845971.856528
2026-08-03,476.125,491.65,475.0,487.65,66762074.428826
2026-08-04,480.9,499.4399,479.17,492.81,50455454.700474
2026-08-05,496.355,498.24,485.68,487.46,33388871.878251
2026-08-06,488.55,501.555,488.52,499.86,36441544.067794
2026-08-07,499.21,505.18,498.73,499.99,28846235.914679
2026-08-10,503.44,513.73,502.27,506.06,31206137.834966
2026-08-11,504.33,505.33,499.55,503.81,23049791.897997
2026-08-12,499.99,501.5,491.52,492.43,29001478.741079
2026-08-13,493.265,501.34,493.01,496.88,23038979.013575
2026-08-14,496.355,500.01,493.92,495.4,16217647.197282
2026-08-17,490.14,492.66,478.41,480.35,29635848.065872
2026-08-18,481.54,484.27,477.1505,481.63,24087591.628095
2026-08-19,480.065,489.3,479.36,484.31,19961871.293244
2026-08-20,483.3,484.16,479.5,481.15,20020822.615727
2026-08-21,479.88,486.36,478.53,483.24,22510774.571903
