date,open,high,low,close,volume
2026-04-14,3.85,3.94,3.795,3.88,2441546.460042
2026-04-15,3.88,4.14,3.83,4.14,6135046.725836
2026-04-16,4.1,4.131,3.965,4.01,5299375.8291
2026-04-17,4.06,4.1399,3.98,4.0,5024058.817945
2026-04-20,4.14,4.505,4.04,4.35,19965484.764235
2026-04-21,4.36,4.4599,4.2,4.28,8614747.050509
2026-04-22,4.34,5.47,4.34,5.11,56301060.231784
2026-04-23,5.58,5.59,4.18,4.22,53827925.732273
2026-04-24,4.26,4.765,4.23,4.68,15122256.45858
2026-04-27,4.61,5.175,4.602,5.15,11543306.126125
2026-04-28,5.085,5.14,4.88,4.97,7658358.203256
2026-04-29,4.98,5.01,4.765,4.84,8266127.251821
2026-04-30,4.88,5.18,4.85,5.11,8420830.553507
2026-05-01,5.11,5.23,4.94,5.04,7885362.490585
2026-05-04,4.985,5.05,4.79,4.84,8096541.686469
2026-05-05,4.88,5.115,4.865,5.04,7785921.718683
2026-05-06,5.11,5.34,5.0206,5.27,8103099.904745
2026-05-07,5.26,5.32,5.085,5.24,6403381.72661
2026-05-08,5.25,5.28,4.98,5.05,6794565.58308
2026-05-11,5.0,5.15,4.88,5.06,5927842.422579
2026-05-12,4.95,5.03,4.82,4.88,5554746.670789
2026-05-13,4.83,5.0,4.74,4.86,4733484.709393
2026-05-14,4.87,5.0,4.78,4.84,4109709.485153
2026-05-15,4.77,4.8,4.345,4.41,11551961.133685
2026-05-18,4.42,4.66,4.33,4.61,6064150.675887
2026-05-19,4.57,4.62,4.32,4.4,9130481.54134
2026-05-20,4.42,4.57,4.34,4.5,4741924.393977
2026-05-21,4.5,4.61,4.41,4.54,3640069.762793
2026-05-22,4.53,4.58,4.38,4.43,4578592.816471
2026-05-26,4.48,4.71,4.39,4.68,6632917.162717
2026-05-27,4.64,4.7,4.49,4.65,3747891.583456
2026-05-28,4.65,5.13,4.62,5.12,12906432.147298
2026-05-29,5.06,5.13,4.9,4.92,6040472.276362
2026-06-01,4.91,5.175,4.87,5.11,5570989.995636
2026-06-02,5.11,5.12,4.925,5.05,6078405.035655
2026-06-03,5.03,5.05,4.655,4.74,9984943.205836
2026-06-04,4.765,5.2,4.73,5.1,11236289.492077
2026-06-05,5.35,5.645,5.27,5.47,18151990.919244
2026-06-08,5.55,5.79,5.44,5.75,9891163.302118
2026-06-09,5.8,5.97,5.434,5.49,11820627.201486
2026-06-10,5.47,5.62,5.31,5.36,6762558.30807
2026-06-11,5.37,5.4,5.09,5.27,8483987.151423
2026-06-12,5.29,5.38,5.0,5.04,7588550.541324
2026-06-15,5.07,5.15,4.85,4.94,6757221.852908
2026-06-16,4.94,4.97,4.745,4.83,6058904.465988
2026-06-17,4.84,4.915,4.72,4.77,5395930.548668
2026-06-18,4.83,5.06,4.66,4.99,7511329.330554
2026-06-22,4.95,4.96,4.66,4.68,7821293.667674
2026-06-23,4.6,4.64,4.43,4.5,7557784.557945
2026-06-24,4.5,4.56,4.35,4.43,5457621.764114
2026-06-25,4.48,4.695,4.36,4.62,12158791.440942
2026-06-26,4.6,4.79,4.57,4.69,4457741.756836
2026-06-29,4.72,4.875,4.64,4.84,5805475.768123
2026-06-30,4.81,5.145,4.755,5.08,9250077.138293
2026-07-01,5.05,5.05,4.775,4.83,6353420.646859
2026-07-02,4.87,5.0099,4.795,4.89,4308758.45707
2026-07-06,4.88,4.91,4.435,4.54,13727913.720985
2026-07-07,4.53,4.64,4.46,4.55,4363516.82024
2026-07-08,4.54,4.68,4.482,4.6,4783113.819699
2026-07-09,4.57,4.69,4.435,4.46,4746847.874793
2026-07-10,4.47,4.57,4.42,4.49,3727383.131757
2026-07-13,4.45,4.75,4.45,4.7,6528036.404262
2026-07-14,4.66,4.78,4.6,4.69,2607909.771787
2026-07-15,4.7,4.735,4.5,4.56,3975514.288333
2026-07-16,4.52,4.54,4.33,4.36,7264670.629997
2026-07-17,4.3,4.49,4.29,4.46,3062004.541028
2026-07-20,4.49,4.5,4.36,4.43,2611772.889551
2026-07-21,4.42,4.57,4.37,4.46,2655284.495223
2026-07-22,4.42,4.465,4.36,4.39,1909607.680549
2026-07-23,4.34,4.425,4.25,4.27,3103861.744028
2026-07-24,4.36,4.385,4.18,4.26,3345273.947344
2026-07-27,4.29,4.4,4.22,4.24,2339061.016915
2026-07-28,4.2,4.28,4.08,4.09,4853593.108926
2026-07-29,4.1,4.17,3.98,4.01,3836605.032688
2026-07-30,4.06,4.275,4.03,4.21,5351032.431848
2026-07-31,4.2,4.315,4.16,4.23,3075642.179372
2026-08-03,4.23,4.27,4.14,4.21,1890732.370796
2026-08-04,4.24,4.425,4.2,4.35,5543705.769256
2026-08-05,4.31,4.3554,3.88,4.04,9313522.664609
2026-08-06,4.07,4.3899,4.045,4.35,5720648.596297
2026-08-07,4.28,4.43,4.28,4.38,3282870.950246
2026-08-10,4.36,4.51,4.3001,4.4,3762006.14509
2026-08-11,4.45,4.665,4.4,4.63,5576998.074925
