date,open,high,low,close,volume
2026-04-27,170.92,175.75,167.61,169.2,13295416.929729
2026-04-28,163.87,166.84,159.6801,165.71,13858672.757039
2026-04-29,165.71,165.74,156.1101,158.19,15146167.89046
2026-04-30,161.77,166.84,159.001,165.45,12437794.116194
2026-05-01,170.8,180.38,169.43,177.17,21661221.054419
2026-05-04,180.9,186.005,178.49,183.8,18210204.831269
2026-05-05,189.55,190.41,183.72,186.9,15512807.261724
2026-05-06,184.565,188.26,178.94,186.82,14338623.295988
2026-05-07,184.41,184.41,175.72,179.84,15918054.991434
2026-05-08,178.68,187.77,177.6,187.59,15985219.333437
2026-05-11,189.2,197.0,182.31,195.94,16062957.209867
2026-05-12,191.325,192.2374,179.85,184.42,14738455.763673
2026-05-13,182.03,182.48,175.57,178.03,12480652.086106
2026-05-14,177.85,193.0,174.64,186.97,15859427.42212
2026-05-15,182.11,182.23,173.61,177.42,19654296.606338
2026-05-18,169.175,169.175,162.02,166.63,19299743.202592
2026-05-19,163.99,168.49,163.5,164.63,10001991.882478
2026-05-20,166.0,169.23,163.26,165.81,9825341.619175
2026-05-21,164.28,168.71,160.57,164.85,10526933.490165
2026-05-22,164.09,165.66,159.24,159.89,12786840.911965
2026-05-26,160.83,167.0,159.28,159.93,11819542.852186
2026-05-27,156.76,157.55,153.8221,154.2,11885089.473881
2026-05-28,148.98,153.64,144.3,151.64,16275047.705432
2026-05-29,149.925,162.06,148.2,159.09,19225591.973309
2026-06-01,148.465,153.87,144.29,149.78,17780261.457507
2026-06-02,142.685,142.8,134.11,136.08,31130821.480296
2026-06-03,134.5,138.18,125.0,126.545,21141778.190665
2026-06-04,126.745,131.47,125.65,129.37,24590429.340489
2026-06-05,124.25,125.2953,114.31,120.44,41943521.330099
2026-06-08,125.84,129.0,123.145,127.2,20951993.260793
2026-06-09,122.85,125.55,114.206,117.02,23055698.226844
2026-06-10,116.3,120.9399,115.0,115.35,15690778.073532
2026-06-11,116.105,121.1,113.2675,120.15,17574202.809583
2026-06-12,119.49,128.6,117.27,123.97,16836331.92507
2026-06-15,133.22,136.25,130.632,131.14,19982449.915286
2026-06-16,129.38,131.695,122.5,122.81,17795567.935973
2026-06-17,123.01,125.4199,116.36,116.56,18052944.126235
2026-06-18,117.64,117.75,107.85,112.53,35530741.88396
2026-06-22,116.21,120.0,107.31,109.46,25287391.900294
2026-06-23,106.535,107.755,103.52,103.84,22502943.779117
2026-06-24,102.48,102.97,92.28,94.13,40121144.616543
2026-06-25,94.685,94.72,85.0,85.33,45357903.908521
2026-06-26,83.23,87.67,81.81,82.31,45679962.869339
2026-06-29,85.67,94.37,82.72,92.68,44931518.234765
2026-06-30,86.205,88.2602,83.42,86.93,35676601.007871
2026-07-01,87.695,98.525,86.2,93.39,34687073.142473
2026-07-02,99.85,104.11,97.57,100.77,34757614.505938
2026-07-06,95.135,104.7799,94.63,100.77,27536201.614089
2026-07-07,101.18,103.56,96.96,97.36,18218007.647617
2026-07-08,93.681,95.04,91.78,93.87,17801131.034069
2026-07-09,94.06,96.7999,92.8348,93.89,13822803.503943
2026-07-10,98.755,100.12,93.35,94.64,16284456.359622
2026-07-13,91.49,93.64,90.02,92.1,12682302.130734
2026-07-14,94.76,98.03,93.56,97.58,18043697.057795
2026-07-15,99.785,101.95,96.3604,97.47,14584929.237704
2026-07-16,96.0,96.61,93.45,94.03,11365125.394473
2026-07-17,91.3,95.9699,90.06,94.85,13064479.134221
2026-07-20,95.62,100.9199,94.86,97.82,16170451.44152
2026-07-21,101.31,104.6,99.95,101.95,20223507.131698
2026-07-22,100.06,101.95,98.12,100.01,13066338.028539
2026-07-23,97.0,97.51,92.34,93.63,17186424.147534
2026-07-24,93.37,93.68,89.76,91.67,13088104.724894
2026-07-27,94.54,99.16,94.0206,98.65,17633516.201861
2026-07-28,95.47,98.37,93.115,96.16,13353324.911436
2026-07-29,96.38,100.05,93.27,93.33,14243156.397635
2026-07-30,95.09,98.22,94.33,97.74,13472210.044946
2026-07-31,94.86,95.2,89.21,93.28,20678317.448634
2026-08-03,92.01,96.06,90.93,94.86,13894559.871501
2026-08-04,93.91,97.9803,93.4,97.65,15220766.183885
2026-08-05,97.92,99.23,96.12,98.37,13695579.301852
2026-08-06,96.06,98.38,95.44,96.85,10128697.381127
2026-08-07,101.34,105.5,96.7741,100.01,29002673.153086
2026-08-10,99.456,100.77,96.2401,97.33,13560319.799624
2026-08-11,97.4,99.26,95.14,96.09,12159892.783994
2026-08-12,97.155,97.89,94.6,94.83,11468124.864355
2026-08-13,94.83,98.88,94.28,97.1,18336841.896673
2026-08-14,94.975,95.08,91.6661,93.04,20678811.742062
2026-08-17,93.25,98.5695,93.08,97.68,20353416.702984
2026-08-18,95.835,97.6599,92.45,92.52,16911034.571417
2026-08-19,94.54,106.9,94.3,104.25,49175202.239538
2026-08-20,113.23,113.74,108.35,112.39,47249087.17874
2026-08-21,119.685,121.91,115.8,119.25,46364277.395673
2026-08-24,121.84,127.9,119.38,122.63,41298817.569042
