date,open,high,low,close,volume
2026-04-06,108.66,113.84,107.45,112.54,10920687.783487
2026-04-07,110.625,117.9,110.28,117.4,13136907.515377
2026-04-08,126.88,127.75,119.35,125.0,18679230.612682
2026-04-09,125.0,136.55,124.55,136.33,20407808.597853
2026-04-10,134.885,149.82,134.885,144.97,25785086.50828
2026-04-13,142.7,159.5,142.3,154.56,23439613.621418
2026-04-14,161.1,166.0999,158.5201,161.94,21983167.130704
2026-04-15,160.226,166.81,156.5,166.77,14356309.439265
2026-04-16,167.0,168.71,160.0901,165.34,13912331.894191
2026-04-17,163.78,164.06,154.73,157.14,17203573.00227
2026-04-20,157.0,161.75,154.0401,159.16,12962475.490912
2026-04-21,161.22,163.25,155.4,156.55,10061174.939704
2026-04-22,162.86,167.43,155.35,156.14,12899093.02987
2026-04-23,155.9,165.81,154.07,157.08,13968721.879176
2026-04-24,163.67,165.25,145.81,147.16,18386622.405723
2026-04-27,148.39,148.8,138.56,144.96,14122130.122554
2026-04-28,138.4,141.46,132.7,135.51,16041403.376961
2026-04-29,140.095,143.7,134.22,141.19,14962744.037734
2026-04-30,145.185,146.98,135.0,138.23,12682921.350608
2026-05-01,141.33,156.0,140.0,154.49,15854546.88295
2026-05-04,160.385,179.4,159.7,176.42,24793296.310933
2026-05-05,171.65,179.96,168.71,175.92,11763239.112128
2026-05-06,179.595,195.99,175.11,195.09,19331135.186791
2026-05-07,190.01,197.89,177.0,184.77,19203361.693848
2026-05-08,183.7,188.2499,176.5,177.05,12929585.823897
2026-05-11,179.9,196.456,178.55,186.1,14061617.312853
2026-05-12,180.42,185.61,172.25,179.11,11723224.834132
2026-05-13,203.845,217.34,195.0,207.27,38769974.301331
2026-05-14,213.375,233.7299,207.75,221.15,29737783.018084
2026-05-15,217.61,228.79,211.8,219.94,22919762.982668
2026-05-18,217.47,218.07,190.0801,199.86,21056546.63891
2026-05-19,191.0,202.8099,183.0,197.73,16832930.231633
2026-05-20,203.97,204.25,190.64,191.82,13063993.695385
2026-05-21,211.74,226.81,208.8,219.93,23027655.56881
2026-05-22,219.26,221.9199,210.7301,214.77,10606677.078776
2026-05-26,220.675,221.01,205.66,208.06,11286980.717505
2026-05-27,207.785,209.64,198.31,208.37,13981092.378606
2026-05-28,230.38,232.89,219.01,226.34,26016701.912928
2026-05-29,227.86,233.6,210.4,231.09,23748666.441361
2026-06-01,244.09,274.7978,238.0,264.51,24248887.990178
2026-06-02,272.1,278.8399,259.75,260.58,14040435.079205
2026-06-03,260.215,267.46,247.51,251.68,11532619.494774
2026-06-04,239.74,264.47,234.6901,259.67,12304806.040971
2026-06-05,246.86,250.75,216.69,227.81,20874022.179923
2026-06-08,240.4,240.4,217.7,218.0,14008410.305472
2026-06-09,230.0,237.655,200.3,220.12,22699177.183588
2026-06-10,215.493,230.99,211.37,211.69,15356559.561138
2026-06-11,205.39,228.49,205.0,222.24,14297114.894386
2026-06-12,234.65,243.59,223.5,232.36,17185291.099247
2026-06-15,251.96,262.895,245.24,260.07,16699229.554212
2026-06-16,255.47,277.3452,253.4,265.1,14643720.92241
2026-06-17,265.65,297.93,264.29,280.91,24392311.959239
2026-06-18,298.2,298.8,275.575,286.69,36625522.177326
2026-06-22,289.96,299.86,278.0,283.61,14697609.007512
2026-06-23,257.75,295.23,251.0,275.25,18767696.449196
2026-06-24,275.1,276.1516,249.21,259.66,15286341.048239
2026-06-25,272.57,275.52,252.56,256.63,14495461.768997
2026-06-26,244.85,248.8,234.4,240.3,13154996.92821
2026-06-29,249.375,263.8,234.5,261.15,14299222.417809
2026-06-30,258.26,290.6,255.8,276.17,12870305.366384
2026-07-01,240.274,246.49,228.17,229.18,30684793.922936
2026-07-02,233.0,237.26,207.299,215.62,24901806.439716
2026-07-06,216.25,224.97,206.2101,213.02,14918917.164948
2026-07-07,202.32,207.52,193.68,195.19,17160796.243473
2026-07-08,192.67,218.49,192.67,216.48,17925705.233804
2026-07-09,229.184,229.499,211.51,216.2,13994705.305543
2026-07-10,213.032,224.4799,207.44,219.65,11490535.876206
2026-07-13,212.69,219.0,204.7,210.51,10842264.22247
2026-07-14,217.04,222.75,193.0,194.09,17928458.138552
2026-07-15,197.42,203.25,187.2401,199.51,18844374.410481
2026-07-16,190.41,193.1,169.2308,171.77,28410877.611669
2026-07-17,165.075,186.7699,164.31,177.71,24912157.370966
2026-07-20,186.965,194.34,179.08,182.62,16901619.798309
2026-07-21,193.05,217.62,192.12,216.92,25632573.897642
2026-07-22,211.0,228.665,209.524,218.16,16921115.402976
2026-07-23,214.285,230.3,214.22,220.97,15309783.300538
2026-07-24,218.0,218.5388,186.41,187.77,24095349.451762
2026-07-27,196.725,199.8899,180.83,187.88,18169063.838503
2026-07-28,178.87,180.07,161.44,169.69,28902445.994413
2026-07-29,170.45,172.0,145.8,148.22,39775891.810148
2026-07-30,172.18,195.8882,169.08,188.43,42302388.833026
2026-07-31,200.935,204.5659,182.5,190.41,25703414.12386
