date,open,high,low,close,volume
2026-03-02,17.91,20.51,17.86,20.25,3680133.423786
2026-03-03,22.96,23.65,20.53,21.72,5444895.608147
2026-03-04,22.81,23.76,21.76,22.38,2695410.294202
2026-03-05,22.03,22.43,20.13,21.18,3138662.811383
2026-03-06,20.165,21.66,20.07,20.27,2125249.506481
2026-03-09,19.8,20.79,19.4421,20.55,1749943.015503
2026-03-10,20.94,23.2,20.94,22.37,2804093.600583
2026-03-11,22.4,25.07,22.13,24.75,3739979.209453
2026-03-12,24.19,24.24,22.49,22.56,2254953.105982
2026-03-13,22.95,23.3,21.425,21.47,2515643.07205
2026-03-16,21.96,22.3,20.98,21.3,1444104.291496
2026-03-17,21.4,22.3999,21.17,21.39,1580855.24093
2026-03-18,21.36,21.48,20.27,20.74,2039782.105237
2026-03-19,20.0,21.41,19.58,21.06,1337831.568376
2026-03-20,21.11,21.1963,19.75,20.05,1990580.121034
2026-03-23,20.35,21.45,20.16,21.18,1638606.609251
2026-03-24,20.73,21.34,20.15,20.57,1406321.082086
2026-03-25,21.125,21.36,20.12,20.22,1463305.02932
2026-03-26,19.63,19.98,19.12,19.31,1728428.111109
2026-03-27,19.0,19.12,17.5,17.66,2603518.381753
2026-03-30,17.77,18.1499,16.4,16.63,2637653.440848
2026-03-31,17.06,18.4,16.962,18.37,1650522.686621
2026-04-01,18.89,19.425,18.6015,18.62,1524812.890222
2026-04-02,17.614,19.74,17.5546,19.49,1353721.005704
2026-04-06,19.74,20.52,19.085,19.31,931541.100694
2026-04-07,18.92,19.36,18.4601,19.33,982095.79488
2026-04-08,21.55,21.89,19.82,20.26,1468748.93305
2026-04-09,20.09,20.74,19.75,20.03,1224546.480162
2026-04-10,20.34,21.14,20.3,20.69,1248354.496397
2026-04-13,20.25,21.93,20.06,21.88,1560095.640951
2026-04-14,22.75,23.48,22.22,23.42,1604278.567178
2026-04-15,23.715,24.555,23.45,24.44,1729545.668849
2026-04-16,24.7,24.92,23.45,24.17,1536883.736695
2026-04-17,24.73,25.4899,23.95,24.26,1648693.826284
2026-04-20,24.87,27.27,24.59,27.14,3445988.370705
2026-04-21,27.73,29.88,27.3,27.61,3969422.909534
2026-04-22,28.68,30.0,27.06,27.76,2513348.23871
2026-04-23,27.6,27.7,25.57,26.41,2588290.637229
2026-04-24,27.47,29.45,27.15,28.22,2954472.952893
2026-04-27,28.95,29.0,26.66,26.92,2149547.552663
2026-04-28,25.92,26.57,24.88,26.13,2187186.399978
2026-04-29,26.13,26.25,25.01,25.54,1605510.371342
2026-04-30,25.69,27.43,25.3868,26.96,1575053.000281
2026-05-01,26.98,27.075,25.9,26.45,1167631.502475
2026-05-04,29.92,30.4,26.65,28.15,5913669.600319
2026-05-05,29.785,30.49,28.3,28.6,6078266.276315
2026-05-06,26.5,29.67,25.3299,29.395,6049546.901586
2026-05-07,28.2,28.34,24.24,24.51,5312533.978429
2026-05-08,25.6,25.6859,24.3,25.2,3848682.386598
2026-05-11,24.51,28.89,23.6,26.8,5618316.525144
2026-05-12,26.5,28.5511,24.76,27.1,4864688.052213
2026-05-13,28.765,34.9,27.8,34.17,14689837.479933
2026-05-14,33.0,35.5,32.7725,34.86,6545408.402473
2026-05-15,33.38,36.0496,31.06,34.86,6918931.478587
2026-05-18,34.19,34.19,28.76,30.74,9199554.482687
2026-05-19,30.0,30.63,27.55,29.72,5220736.711716
2026-05-20,30.52,31.63,29.32,30.87,4512330.408737
2026-05-21,31.59,35.35,30.78,35.09,4896215.456535
2026-05-22,35.26,37.99,35.26,37.03,5490017.026173
2026-05-26,40.16,45.4228,38.4,42.7,8636087.333904
2026-05-27,43.58,45.95,41.21,44.23,5693052.471208
2026-05-28,43.34,43.43,40.6,42.33,4873269.709847
2026-05-29,44.67,47.32,42.26,46.05,6681834.595936
2026-06-01,44.99,46.3,43.76,44.93,3726702.822518
2026-06-02,45.41,49.39,43.77,46.03,3886671.491481
2026-06-03,45.965,46.07,42.51,43.96,3192274.043584
2026-06-04,41.49,48.8299,40.44,47.09,5266953.414927
2026-06-05,44.93,45.0,38.4001,39.68,5584810.535157
2026-06-08,41.05,43.0667,38.5308,40.88,3387963.100985
2026-06-09,42.04,43.21,35.3,38.52,5403445.075934
2026-06-10,37.75,41.105,37.21,38.39,3614514.269864
2026-06-11,38.59,39.685,36.4,39.61,3501489.194377
2026-06-12,38.91,41.4985,36.49,39.8,4652159.22484
2026-06-15,44.1,48.38,44.0,45.18,4633832.51355
2026-06-16,45.0,47.4599,42.62,42.73,2635804.667521
2026-06-17,44.41,44.8,40.3,40.72,4208533.517841
2026-06-18,42.34,46.83,39.3,46.57,8412368.084397
2026-06-22,47.01,51.5,45.3,47.68,6142516.449691
2026-06-23,43.14,50.5,42.29,45.16,4224537.921891
2026-06-24,45.02,45.0999,39.0,40.71,5259167.426352
2026-06-25,43.22,43.59,39.14,41.82,3882707.019688
2026-06-26,40.0,42.35,39.32,42.02,5299236.510947
2026-06-29,43.87,54.49,43.45,54.07,10082723.723024
