date,open,high,low,close,volume
2026-03-02,137.825,142.005,136.894,141.03,8963863.492919
2026-03-03,138.265,139.2,136.3,138.13,10372448.426802
2026-03-04,138.22,139.89,137.42,139.51,9309766.617153
2026-03-05,137.59,139.66,135.8,137.0,8980989.733056
2026-03-06,134.168,137.18,133.42,135.69,9196954.706409
2026-03-09,133.49,138.58,132.46,138.11,12304572.220645
2026-03-10,134.7,136.745,132.16,135.2,10447281.184111
2026-03-11,136.45,138.1999,133.96,134.12,7840195.034391
2026-03-12,133.47,134.87,130.61,131.15,9162771.575573
2026-03-13,131.15,133.415,129.22,129.82,7786744.537362
2026-03-16,131.072,131.8662,128.94,129.39,10132856.313632
2026-03-17,133.52,134.05,131.18,131.59,10544277.533748
2026-03-18,130.73,132.735,129.93,130.47,9894337.324463
2026-03-19,129.14,132.68,128.9,131.28,9846723.945183
2026-03-20,131.31,132.75,129.775,129.9,78568037.096645
2026-03-23,133.15,133.97,127.41,128.35,11431608.450459
2026-03-24,128.34,129.1799,127.31,128.67,8409239.943327
2026-03-25,130.16,131.925,129.95,130.35,6669443.699727
2026-03-26,128.79,132.34,128.31,130.54,11912537.144052
2026-03-27,129.89,130.04,126.675,127.11,8964912.638351
2026-03-30,127.45,128.5975,126.34,127.07,11555924.680222
2026-03-31,128.395,129.29,125.78,128.78,12219780.913819
2026-04-01,128.0,130.23,126.98,127.28,10210654.898686
2026-04-02,125.23,127.0,124.0101,126.8,8575338.657275
2026-04-06,126.56,127.43,123.71,125.73,8038584.757658
2026-04-07,125.065,125.41,121.99,124.07,8840394.566001
2026-04-08,128.65,128.885,125.62,127.51,12535801.290387
2026-04-09,127.255,128.59,126.8,127.75,9352747.237819
2026-04-10,128.8,130.61,127.85,128.06,8427437.588811
2026-04-13,128.0,131.305,126.46,131.24,8614997.133023
2026-04-14,132.2,132.935,131.05,132.84,7608292.495889
2026-04-15,133.44,134.34,132.28,133.05,9691504.023884
2026-04-16,131.79,135.7014,131.79,134.47,8163727.174545
2026-04-17,136.69,136.965,134.41,136.2,9667577.546488
2026-04-20,136.41,138.5,136.08,137.52,7953827.494075
2026-04-21,138.12,138.26,135.045,135.56,11874602.458389
2026-04-22,136.64,137.49,135.55,136.07,9432669.045727
2026-04-23,136.0,136.99,132.05,133.95,10164899.049663
2026-04-24,145.61,151.5399,143.58,148.85,29449568.02902
2026-04-27,156.305,161.0,147.05,150.26,41743958.760426
2026-04-28,145.08,151.5,144.0001,150.0,22921334.746056
2026-04-29,151.45,157.29,151.0,156.0,37571189.090553
2026-04-30,172.05,186.8899,163.56,179.58,61132672.247577
2026-05-01,179.13,179.99,171.15,177.01,21111476.143274
2026-05-04,177.22,180.49,166.8305,168.38,23117408.028417
2026-05-05,167.65,187.22,164.79,186.55,34274858.176671
2026-05-06,195.18,197.5,188.22,192.57,30145048.723823
2026-05-07,190.67,223.66,187.64,202.55,51092198.877716
2026-05-08,213.0,228.05,208.63,219.09,37849999.894148
2026-05-11,232.005,247.9,231.2,237.53,45473982.648607
2026-05-12,229.84,230.0,202.0,210.31,38590144.369279
2026-05-13,216.625,219.49,207.15,213.17,26226304.744249
2026-05-14,208.51,209.53,199.66,200.08,24883884.825562
2026-05-15,201.65,207.4,199.16,201.49,25876820.922349
2026-05-18,206.77,210.8,193.58,203.64,21082525.179068
2026-05-19,196.855,201.5,191.02,195.61,19605198.890299
2026-05-20,197.0,203.59,194.0,202.51,19037516.217064
2026-05-21,202.78,214.01,197.6,213.41,28163721.308951
2026-05-22,214.43,243.0,214.17,238.16,30375674.348937
2026-05-26,240.715,258.0,235.8001,248.82,30646375.784059
2026-05-27,245.43,248.265,224.18,233.4,25694708.576958
2026-05-28,236.0,249.46,231.52,243.29,21118350.4075
2026-05-29,250.19,259.92,247.5101,251.02,28781844.290843
2026-06-01,233.33,238.02,226.8118,228.99,21185169.510698
2026-06-02,232.0,245.187,226.05,240.84,18508464.625525
2026-06-03,235.02,255.09,233.02,250.01,19466983.771019
2026-06-04,239.45,246.7,235.32,242.57,14185629.076547
2026-06-05,237.65,238.44,215.0,215.94,24189155.418881
2026-06-08,221.03,221.93,214.63,217.77,17180586.67439
2026-06-09,216.46,219.64,192.67,205.42,29906286.548755
2026-06-10,199.455,204.895,190.1,191.2,18426634.03354
2026-06-11,190.92,203.84,190.745,202.96,18933064.75121
2026-06-12,201.85,215.01,200.1,211.72,14134861.860406
2026-06-15,219.77,226.46,216.28,220.81,13993753.498058
2026-06-16,225.83,231.19,213.8,214.07,19629555.933078
2026-06-17,219.04,221.32,212.68,212.97,11955847.953503
2026-06-18,220.71,229.42,214.73,226.11,47081544.205131
2026-06-22,222.93,233.444,215.5,221.9,18203387.50836
2026-06-23,207.34,209.18,198.44,204.13,23781891.382178
2026-06-24,202.57,202.9704,191.02,197.41,25519633.370656
2026-06-25,219.43,219.43,199.82,204.9,34879266.109813
2026-06-26,201.7,208.86,186.18,189.39,37128917.805578
