date,open,high,low,close,volume
2026-03-31,126.06,135.9,125.12,134.65,5443807.339761
2026-04-01,136.375,139.34,133.25,136.18,3931961.073249
2026-04-02,129.67,137.12,128.63,136.0,3077714.387
2026-04-06,138.46,140.555,136.2234,138.34,3208678.485311
2026-04-07,137.5,141.27,136.35,141.14,2340455.729638
2026-04-08,151.59,154.77,143.86,145.0,3995814.258792
2026-04-09,144.54,145.17,135.0,138.38,5076466.142535
2026-04-10,141.05,142.2996,135.99,139.73,3259543.492761
2026-04-13,138.97,149.45,138.81,149.35,3638886.711375
2026-04-14,152.61,156.5,151.78,154.54,4453050.973301
2026-04-15,156.78,160.3799,155.33,158.48,4173876.556352
2026-04-16,163.11,164.0,157.01,162.45,4032329.386219
2026-04-17,165.505,168.7,161.364,163.8,4068576.254364
2026-04-20,162.15,166.79,161.01,166.28,3055068.335753
2026-04-21,166.5,167.92,156.085,156.82,4777225.310431
2026-04-22,161.38,164.41,158.95,164.31,2890108.585218
2026-04-23,162.3,162.3,151.22,152.96,3707926.541174
2026-04-24,154.3,154.93,150.55,154.89,3242219.840195
2026-04-27,154.375,163.15,154.05,160.21,3311661.997341
2026-04-28,153.02,153.73,146.55,147.93,5156330.513113
2026-04-29,146.0,148.78,143.09,147.75,3373206.590997
2026-04-30,146.85,150.2,143.39,147.23,9383433.265113
2026-05-01,165.51,173.0,156.49,166.48,14252200.125847
2026-05-04,170.08,175.29,164.65,169.07,6091958.608707
2026-05-05,171.0,177.13,167.62,171.63,7080642.210975
2026-05-06,172.025,172.65,162.55,166.56,7179755.07507
2026-05-07,168.5,169.1,159.6,163.95,5444650.112832
2026-05-08,162.62,162.9,155.2101,155.8,5778954.659297
2026-05-11,153.5,162.45,153.5,159.51,5077727.259214
2026-05-12,159.3,161.04,150.32,152.35,4698065.741969
2026-05-13,152.0,154.7,148.5,154.12,4151093.395295
2026-05-14,155.775,157.23,149.0301,156.31,3265989.663218
2026-05-15,153.55,159.16,153.14,158.17,3340033.297278
2026-05-18,157.0,160.98,153.5701,159.11,3457184.478157
2026-05-19,158.23,161.49,154.15,154.88,4080695.698177
2026-05-20,154.02,154.7599,143.91,146.72,10395714.398921
2026-05-21,144.31,153.45,144.1,150.04,3494463.957626
2026-05-22,145.23,145.795,140.67,141.67,7849884.410338
2026-05-26,143.495,145.89,139.55,144.64,5398443.592576
2026-05-27,144.5,158.5514,144.24,154.19,5704894.442321
2026-05-28,155.01,167.72,151.66,167.69,5726049.077897
2026-05-29,168.705,176.69,166.49,176.0,9360119.308246
2026-06-01,179.9,182.645,174.85,177.85,5794886.755715
2026-06-02,174.52,175.75,166.66,169.13,4316517.051624
2026-06-03,167.0,170.49,159.11,169.49,3399142.268453
2026-06-04,170.3999,187.34,169.81,183.91,7380981.990537
2026-06-05,182.18,186.4499,167.04,173.45,5965647.773961
2026-06-08,171.51,173.45,166.16,171.13,3031435.159657
2026-06-09,178.55,183.12,166.9,178.11,5237658.066895
2026-06-10,174.45,179.8,170.8,172.21,3235173.79342
2026-06-11,168.7,174.0,163.77,173.26,3207924.9774
2026-06-12,172.49,173.0,158.36,162.1,5767960.498591
2026-06-15,168.81,182.0,167.905,181.88,4843966.472824
2026-06-16,181.95,182.41,174.721,175.39,3562101.868671
2026-06-17,174.41,175.4094,165.95,165.95,4405012.427543
2026-06-18,169.0,176.22,165.88,174.96,5337416.630418
2026-06-22,171.86,182.3,167.01,170.44,4386396.344996
2026-06-23,167.0,174.0,164.67,165.63,3364922.20075
2026-06-24,164.7,167.7,157.27,160.72,4166337.368557
2026-06-25,160.35,160.35,152.65,158.02,2783047.106887
2026-06-26,156.62,169.02,155.7,166.94,6325811.596489
2026-06-29,168.29,176.35,166.6,174.39,3132761.731739
2026-06-30,172.6,175.38,169.75,173.58,2477773.663613
2026-07-01,175.01,201.16,175.01,197.76,8763460.265149
2026-07-02,194.01,198.7199,184.38,194.67,4469802.826936
2026-07-06,197.96,207.54,196.44,200.86,5568881.891406
2026-07-07,200.83,206.4899,198.8118,199.44,4133928.415393
2026-07-08,195.63,199.19,189.33,195.31,2823751.388964
2026-07-09,193.01,200.85,189.64,200.31,2248683.383586
2026-07-10,205.8,208.05,192.61,195.34,3756482.512919
2026-07-13,199.0,204.065,193.88,200.93,4372093.78962
2026-07-14,197.18,204.89,197.18,203.27,2433304.651297
2026-07-15,204.61,207.0,189.75,198.03,4070498.974913
2026-07-16,199.69,200.32,184.62,185.26,3758329.690509
2026-07-17,181.54,184.95,173.71,181.18,3327326.955218
2026-07-20,179.0,187.43,174.46,181.64,4055443.417267
2026-07-21,181.5,186.99,178.0,185.84,2602790.894324
2026-07-22,172.9,174.0,166.0,170.38,8986993.399572
2026-07-23,174.42,179.283,168.285,168.78,3842575.195904
2026-07-24,169.5,173.1999,165.55,168.73,3539598.605104
2026-07-27,173.335,183.8823,172.73,179.23,4263859.762537
2026-07-28,179.25,180.8,173.61,178.44,2898108.939969
