date,open,high,low,close,volume
2026-04-13,30.59,30.75,30.42,30.74,19407416.048034
2026-04-14,30.66,30.74,30.5101,30.71,18705323.615352
2026-04-15,30.7,30.74,30.51,30.65,19024483.422012
2026-04-16,30.635,30.86,30.61,30.81,17406481.810358
2026-04-17,30.79,31.1,30.72,31.05,20134693.226861
2026-04-20,31.07,31.17,30.96,31.03,17253123.455852
2026-04-21,31.19,31.235,30.94,30.98,17909803.043686
2026-04-22,31.07,31.21,30.9423,31.01,15167156.624757
2026-04-23,31.155,31.44,31.14,31.42,16814233.252681
2026-04-24,31.5,31.545,31.14,31.2,19340653.496837
2026-04-27,31.3,31.52,31.1,31.13,19472284.154126
2026-04-28,31.34,31.47,31.24,31.31,15859922.656659
2026-04-29,31.36,31.45,31.3,31.45,17417390.883171
2026-04-30,31.48,32.1,31.4,32.07,21723332.382102
2026-05-01,32.08,32.13,31.82,31.86,21039940.319555
2026-05-04,31.745,31.775,31.46,31.52,22058915.02621
2026-05-05,31.5,31.77,31.35,31.69,16891138.901802
2026-05-06,31.64,31.75,31.56,31.66,20183648.658507
2026-05-07,31.51,31.7,31.27,31.54,24151241.458804
2026-05-08,31.69,31.79,31.525,31.62,20946816.044247
2026-05-11,31.82,31.97,31.63,31.75,24800709.536083
2026-05-12,31.8,31.8367,31.52,31.76,22999942.124059
2026-05-13,31.76,31.78,31.5746,31.75,16077364.76215
2026-05-14,31.78,31.95,31.69,31.8,20145894.350432
2026-05-15,31.85,31.9,31.63,31.72,16015707.171824
2026-05-18,31.78,32.065,31.655,32.04,20267357.456724
2026-05-19,31.94,32.19,31.8405,32.1,18074167.570358
2026-05-20,32.055,32.16,31.94,32.12,18299080.160262
2026-05-21,32.035,32.26,31.8601,32.25,19360600.219185
2026-05-22,32.415,32.885,32.38,32.83,19171979.773536
2026-05-26,32.86,32.91,32.63,32.67,28043653.933877
2026-05-27,32.66,32.73,32.53,32.55,17388720.208403
2026-05-28,32.618,32.73,32.5,32.63,16915439.072656
2026-05-29,32.62,32.68,32.43,32.5,17205895.404064
2026-06-01,32.27,32.335,32.15,32.18,27497769.312538
2026-06-02,32.144,32.42,32.07,32.37,19827036.088594
2026-06-03,32.25,32.51,32.185,32.37,16608210.957234
2026-06-04,32.61,32.7886,32.49,32.59,18235093.571912
2026-06-05,32.6,32.66,32.29,32.3,26825986.580804
2026-06-08,32.36,32.54,32.265,32.29,21239445.410575
2026-06-09,32.32,32.405,32.07,32.39,23600253.830991
2026-06-10,32.4,32.5399,32.24,32.26,20776262.894734
2026-06-11,32.45,32.71,32.39,32.53,21831592.817473
2026-06-12,32.62,32.915,32.57,32.82,20503665.105241
2026-06-15,32.755,32.86,32.6,32.63,25567311.444936
2026-06-16,32.67,32.835,32.5,32.53,20119721.609314
2026-06-17,32.48,32.5,31.84,31.93,24015163.338552
2026-06-18,31.97,31.98,31.75,31.86,21237253.282911
2026-06-22,31.86,32.04,31.83,31.89,22208858.525918
2026-06-23,31.9,32.07,31.79,32.02,19897069.698715
2026-06-24,31.73,31.8499,31.61,31.72,19321164.879457
2026-06-25,31.83,32.205,31.81,31.96,16479367.227507
2026-06-26,31.99,32.31,31.97,32.09,22398289.351421
2026-06-29,32.24,32.24,31.86,31.93,27791047.479393
2026-06-30,31.94,31.9697,31.69,31.71,20679055.092703
2026-07-01,31.75,32.04,31.74,31.85,20100311.780284
2026-07-02,32.07,32.395,32.06,32.39,19932070.940326
2026-07-06,32.38,32.48,32.06,32.24,24030749.457779
2026-07-07,32.55,32.72,32.44,32.54,21176416.564651
2026-07-08,32.52,32.536,32.32,32.34,17997145.745191
2026-07-09,32.24,32.34,32.12,32.26,17425060.809285
2026-07-10,32.31,32.44,32.26,32.4,14202369.715435
2026-07-13,32.58,32.72,32.47,32.56,18864072.448299
2026-07-14,32.545,32.56,32.18,32.2,23684997.980394
2026-07-15,32.25,32.5,32.21,32.34,16317545.205326
2026-07-16,32.6,33.04,32.59,33.04,24656839.720632
2026-07-17,33.19,33.5,32.8211,32.91,22221544.283002
2026-07-20,32.935,32.95,32.71,32.75,19501776.134443
2026-07-21,32.75,32.83,32.59,32.82,17734417.179931
2026-07-22,32.99,33.12,32.87,32.9,16920596.529293
2026-07-23,32.79,32.97,32.71,32.8,19621055.928191
2026-07-24,32.85,33.3,32.845,33.29,20136105.60692
2026-07-27,33.33,33.6,33.32,33.43,24004204.718822
2026-07-28,33.76,34.24,33.74,33.89,27315385.893895
2026-07-29,33.94,34.13,33.78,33.83,30028748.897889
2026-07-30,33.38,33.45,33.04,33.41,35446668.954382
2026-07-31,33.32,33.535,33.09,33.47,25718160.957942
2026-08-03,33.595,33.82,33.41,33.56,24705970.332635
2026-08-04,33.46,33.875,33.26,33.85,26996686.533891
2026-08-05,33.94,33.96,33.51,33.64,23515278.743577
2026-08-06,33.86,33.92,33.55,33.7,22903815.620821
2026-08-07,33.6,33.91,33.5,33.9,20355925.76462
