date,open,high,low,close,volume
2026-07-13,152.62,162.28,151.3,152.35,57284314.816716
2026-07-14,168.11,194.8,165.5,193.92,72647673.770462
2026-07-15,181.81,187.9499,166.48,176.46,76307659.857832
2026-07-16,165.91,168.2,151.38,152.31,56250532.119076
2026-07-17,152.11,167.37,145.5701,154.03,73978314.823001
2026-07-20,163.42,163.43,149.74,151.16,37817454.897335
2026-07-21,161.75,173.2199,160.54,171.94,38925608.809864
2026-07-22,162.161,170.09,162.0,165.27,27122764.018556
2026-07-23,170.715,177.93,167.02,169.5,36234862.456709
2026-07-24,163.905,164.2,153.1001,154.57,26255531.169749
