date,open,high,low,close,volume
2026-04-27,4.74,5.02,4.63,4.88,6548980.638804
2026-04-28,4.82,4.92,4.725,4.88,3299884.88501
2026-04-29,4.88,4.92,4.655,4.67,3491471.263673
2026-04-30,4.74,5.02,4.71,4.95,3783609.847345
2026-05-01,4.95,5.025,4.88,4.93,2671838.803507
2026-05-04,4.91,5.235,4.9,5.02,3956785.49218
2026-05-05,5.05,5.055,4.825,4.87,2859378.612317
2026-05-06,4.96,5.17,4.9285,5.15,3545584.638258
2026-05-07,5.1,5.11,4.875,4.93,4105668.368997
2026-05-08,4.95,5.03,4.84,5.01,3435225.672711
2026-05-11,5.01,5.395,4.98,5.25,6382624.951556
2026-05-12,5.22,5.28,5.025,5.22,5902700.72884
2026-05-13,6.315,6.72,5.685,6.53,30684243.312049
2026-05-14,6.48,7.8,6.25,7.42,16800580.866162
2026-05-15,7.16,7.4693,6.95,7.08,8554329.077774
2026-05-18,7.37,7.6,7.1,7.29,8924260.449432
2026-05-19,7.17,7.625,6.85,7.59,7882430.452815
2026-05-20,8.275,9.0999,8.2,8.97,18441717.123104
2026-05-21,8.92,8.935,6.9602,7.56,25118389.741767
2026-05-22,7.67,8.27,7.3512,7.78,10694192.401195
2026-05-26,7.8,8.36,7.41,8.12,8743374.020469
2026-05-27,8.13,8.97,8.12,8.58,9211419.948577
2026-05-28,8.57,9.235,8.5,9.18,10305193.138768
2026-05-29,9.2,9.51,8.6,9.31,25866524.357588
2026-06-01,9.09,9.295,8.78,9.07,7363201.228002
2026-06-02,9.0,9.0,8.23,8.33,10354635.958786
2026-06-03,8.122,8.2797,7.85,8.19,7546173.185463
2026-06-04,8.0,9.22,7.975,9.04,8435789.078594
2026-06-05,8.85,9.03,8.125,8.23,6725454.297569
2026-06-08,8.51,8.53,7.95,7.98,5887226.960171
2026-06-09,8.06,8.09,7.46,7.68,6924806.481891
2026-06-10,7.62,7.7,7.105,7.15,6681074.621558
2026-06-11,7.2,7.94,7.07,7.75,6271486.735532
2026-06-12,7.672,8.125,7.6034,7.83,4089538.529923
2026-06-15,7.9,8.1188,7.525,7.73,5860879.214615
2026-06-16,7.6,7.85,7.4252,7.53,4289510.987257
2026-06-17,7.59,8.12,7.46,7.76,4681748.806482
2026-06-18,8.05,8.375,7.91,8.05,14747756.424604
2026-06-22,8.37,8.8799,8.335,8.53,8101701.656916
2026-06-23,8.5,9.25,8.46,9.07,7245050.53542
2026-06-24,9.25,9.315,8.8102,9.17,4589059.31017
2026-06-25,9.21,11.06,8.98,10.53,15109605.185721
2026-06-26,10.37,12.43,10.3201,12.39,21005639.012943
2026-06-29,13.33,15.67,13.03,15.45,33143585.676184
2026-06-30,15.18,15.8765,13.34,14.76,21628763.049396
2026-07-01,14.03,14.4723,12.75,13.27,12270549.641284
2026-07-02,13.2,15.05,12.95,14.98,17275558.913161
2026-07-06,14.79,15.57,13.74,13.94,9746734.228954
2026-07-07,13.905,13.98,12.92,13.5,8164662.637065
2026-07-08,14.3,14.9899,12.0,13.76,15193987.51098
2026-07-09,13.76,14.86,13.35,13.51,7060007.820278
2026-07-10,13.27,13.36,12.49,12.76,6405799.676779
2026-07-13,12.46,12.9899,12.33,12.62,5171561.076006
2026-07-14,12.66,13.6381,12.6201,13.39,6100148.970666
2026-07-15,13.26,13.73,12.5,12.79,6859911.018142
2026-07-16,12.695,12.695,11.51,11.75,8992425.371969
2026-07-17,11.65,13.543,11.4,13.19,11293041.562478
2026-07-20,13.24,13.58,11.87,12.475,7289646.382407
2026-07-21,12.56,13.24,12.22,12.9,5099771.307844
2026-07-22,12.47,12.595,11.84,12.08,5340361.758254
2026-07-23,11.755,12.9235,11.69,12.34,5571899.555716
2026-07-24,12.34,12.48,11.22,11.32,6728973.544362
2026-07-27,11.26,11.4799,9.6,10.835,9157607.39103
2026-07-28,10.35,10.43,9.19,10.09,10168594.30405
2026-07-29,10.05,10.7,9.86,10.1,5493947.778739
2026-07-30,9.93,10.351,9.76,10.29,4316321.664781
2026-07-31,10.37,10.54,9.87,10.01,5043890.709715
2026-08-03,10.0,11.43,9.8,11.22,6968504.471216
2026-08-04,11.4,11.94,11.06,11.81,5089754.567568
2026-08-05,11.8,12.06,11.39,11.86,5763731.592638
2026-08-06,11.62,12.18,11.59,11.7,3769705.657288
2026-08-07,11.95,12.21,11.61,12.01,5124094.752877
2026-08-10,11.95,12.0021,10.91,11.04,5244439.001363
2026-08-11,11.27,11.39,10.85,11.05,4723060.404445
2026-08-12,11.92,12.45,11.5,11.77,7796833.446942
2026-08-13,11.7,12.585,11.4,12.36,5671914.69042
2026-08-14,12.4,13.0,12.1818,12.78,4413564.05868
2026-08-17,12.78,13.25,12.39,13.0,5433274.750364
2026-08-18,12.66,13.48,12.53,13.1,4967789.65962
2026-08-19,13.46,14.29,13.0,13.85,9123107.500897
2026-08-20,13.84,14.4364,13.01,13.4,7818878.79007
2026-08-21,13.69,15.67,13.26,15.46,15242068.65355
