date,open,high,low,close,volume
2026-04-27,28.825,29.49,27.46,27.85,28746051.571965
2026-04-28,27.0,27.64,26.51,27.25,23282197.926481
2026-04-29,27.028,27.09,25.46,26.32,26097137.502461
2026-04-30,26.91,27.515,26.35,27.4,21028128.254366
2026-05-01,27.64,28.3,26.875,27.09,25043923.295165
2026-05-04,27.49,28.5,27.34,27.92,29340519.895672
2026-05-05,28.25,28.29,27.42,27.83,55291270.979759
2026-05-06,31.44,34.71,31.12,34.66,127295696.817342
2026-05-07,34.005,35.58,32.92,33.62,61495297.79798
2026-05-08,33.33,35.64,32.3,35.37,50774248.518249
2026-05-11,35.07,36.37,33.44,33.52,39601085.387374
2026-05-12,33.04,33.48,31.24,32.79,35190084.770774
2026-05-13,32.9,33.01,31.775,32.0,25441554.759805
2026-05-14,32.02,33.81,31.52,33.03,32397638.354992
2026-05-15,31.6,31.96,30.64,31.04,27358949.616169
2026-05-18,31.22,31.3,29.52,30.85,26671792.076416
2026-05-19,30.27,31.345,29.465,30.56,23166924.706837
2026-05-20,31.09,33.96,30.87,33.46,38110972.211799
2026-05-21,32.95,33.7999,32.26,33.46,28075549.688657
2026-05-22,33.8,35.935,33.68,35.58,39440978.107805
2026-05-26,36.0,37.91,35.4347,37.1,43168968.554683
2026-05-27,38.29,38.815,36.76,38.19,35757991.891061
2026-05-28,38.0,43.55,37.61,41.3,74574063.854993
2026-05-29,44.5,48.34,44.17,46.09,93235112.123845
2026-06-01,45.8,48.08,45.655,46.88,50422431.644758
2026-06-02,48.76,51.4,48.56,50.17,54883660.450265
2026-06-03,49.47,50.02,45.66,47.42,51041858.209664
2026-06-04,45.235,47.84,45.21,46.9,32738391.092946
2026-06-05,45.0,45.2599,41.0401,41.64,49259573.49584
2026-06-08,43.81,44.735,42.18,43.99,31631051.342325
2026-06-09,44.9,44.95,38.04,40.64,51851076.718274
2026-06-10,35.6,36.51,29.14,29.27,191345438.588767
2026-06-11,29.3,32.05,28.61,31.97,251249179.605167
2026-06-12,30.76,31.81,29.45,30.46,84854716.314785
2026-06-15,31.73,32.07,30.722,30.85,61776822.990251
2026-06-16,30.69,30.75,29.12,29.22,54280797.807964
2026-06-17,29.765,29.84,27.71,27.78,53631218.793211
2026-06-18,28.44,30.91,28.28,30.66,68325332.569789
2026-06-22,32.3298,36.8,32.27,35.46,128512315.489748
2026-06-23,33.25,34.41,32.805,33.32,60658831.075579
2026-06-24,33.45,33.98,31.3901,32.45,51833508.922555
2026-06-25,33.34,33.68,31.3594,31.68,46185585.958213
2026-06-26,30.965,31.71,30.28,30.63,48554539.924206
2026-06-29,31.0,31.22,27.75,28.15,91157911.644164
2026-06-30,28.42,29.91,28.17,29.33,56264036.033731
2026-07-01,28.28,28.63,27.48,27.65,52034237.383761
2026-07-02,28.05,29.215,26.695,27.22,42867499.134227
2026-07-06,27.5,27.74,26.74,27.19,30951854.707811
2026-07-07,26.58,26.97,25.405,26.25,38985406.371061
2026-07-08,26.14,28.22,26.03,28.17,37264440.02869
2026-07-09,28.75,29.12,28.185,28.24,33573063.981702
2026-07-10,28.3,29.0,27.91,28.31,25067110.711889
2026-07-13,27.64,28.2399,27.215,27.66,22796349.086712
2026-07-14,27.96,28.13,27.32,27.65,22413519.362337
2026-07-15,28.11,28.35,26.1719,26.89,25550557.688092
2026-07-16,26.52,26.72,24.65,24.68,36021897.902171
2026-07-17,24.33,25.17,23.38,24.18,32264796.590405
2026-07-20,24.345,24.5399,23.772,23.83,24919435.748782
2026-07-21,24.4,25.54,24.33,25.5,51156443.223334
2026-07-22,28.89,32.2844,28.5,30.56,163015097.127095
2026-07-23,30.33,32.585,30.18,31.2,86788866.307045
2026-07-24,30.62,31.33,29.275,30.1,49701580.569902
2026-07-27,30.6,30.94,28.5,29.81,35912282.628039
2026-07-28,28.64,28.87,27.13,28.45,36449752.735319
2026-07-29,28.02,28.07,25.68,25.7,40892234.155223
2026-07-30,26.84,28.1699,26.6501,27.73,38544949.368294
2026-07-31,28.65,29.3,27.21,28.4,34956061.726922
2026-08-03,28.0,28.925,27.44,28.64,24010919.586286
2026-08-04,29.65,31.84,29.07,31.69,56404626.980959
2026-08-05,31.71,31.78,30.29,30.32,35605035.013998
2026-08-06,30.0,30.935,29.33,29.38,26697951.732178
2026-08-07,29.94,31.34,29.68,31.13,32380697.748945
2026-08-10,32.0,33.3856,31.425,31.46,56320400.995608
2026-08-11,32.02,32.36,30.92,31.6,95520451.959305
2026-08-12,34.99,38.15,33.9401,37.61,165736379.858166
2026-08-13,38.28,42.31,38.2,39.16,122775704.567617
2026-08-14,39.16,40.6,38.73,39.84,61990870.969772
2026-08-17,39.31,39.51,37.68,38.28,55467039.175855
2026-08-18,37.1,38.16,36.22,37.41,52260068.21797
2026-08-19,37.15,37.685,35.72,36.58,35466176.459939
2026-08-20,36.9,38.74,35.582,36.5,51286605.755872
2026-08-21,37.155,37.67,36.42,37.24,36474341.463628
