date,open,high,low,close,volume
2026-03-12,337.34,337.55,328.64,330.19,8008148.524051
2026-03-13,333.875,338.4,329.79,331.32,6450826.725994
2026-03-16,338.89,342.04,336.32,337.83,8018169.247106
2026-03-17,340.56,341.16,336.79,340.25,4472077.879518
2026-03-18,340.525,343.44,338.29,338.29,6363909.514495
2026-03-19,328.76,342.77,326.76,340.2,8292080.746628
2026-03-20,339.71,341.25,327.94,332.51,9441265.749565
2026-03-23,340.115,344.93,335.12,336.59,8151040.566978
2026-03-24,333.79,343.22,333.62,341.02,5287512.224246
2026-03-25,344.17,347.68,342.14,345.25,5868985.877588
2026-03-26,339.45,339.885,328.52,328.85,10172448.677857
2026-03-27,326.84,329.95,322.16,323.48,6334798.76939
2026-03-30,326.75,327.63,307.255,309.79,13204840.945401
2026-03-31,315.595,329.18,314.88,328.66,14036482.094889
2026-04-01,333.49,342.65,332.35,338.54,10130816.61002
2026-04-02,325.11,340.39,325.03,339.61,6521003.05803
2026-04-06,341.52,345.77,339.92,344.1,3105036.400999
2026-04-07,343.035,347.94,338.47,347.76,4025969.443687
2026-04-08,367.89,371.15,362.13,370.4,9868722.846111
2026-04-09,371.295,378.95,371.295,378.63,6036659.253256
2026-04-10,382.67,389.6025,382.67,386.6,5596888.261238
2026-04-13,384.88,393.57,384.37,393.34,4377374.766984
2026-04-14,397.835,401.4445,393.51,401.24,5202559.182823
2026-04-15,400.31,402.09,392.39,401.86,5570248.58056
2026-04-16,400.6,407.48,397.99,405.95,4400496.3715
2026-04-17,413.38,415.73,409.58,415.71,5729056.53182
2026-04-20,417.43,418.86,411.79,417.55,3493545.874546
2026-04-21,420.4,423.35,416.67,420.7,3676751.130109
2026-04-22,427.26,432.16,422.82,431.77,6557574.719524
2026-04-23,435.34,446.64,434.04,441.0,10812387.668736
2026-04-24,457.59,463.87,450.97,461.6,9071959.897017
2026-04-27,461.75,463.0,448.93,455.41,8924649.794093
2026-04-28,437.625,446.14,431.74,438.71,11014947.136782
2026-04-29,445.26,450.37,442.4109,449.99,5972791.779428
2026-04-30,455.695,462.14,449.34,461.44,5170248.435255
2026-05-01,458.47,466.91,455.07,465.75,4155856.751789
2026-05-04,467.93,469.61,457.81,462.06,5233125.464847
2026-05-05,471.14,486.1808,470.23,482.73,7203047.160459
2026-05-06,497.96,506.94,487.86,506.87,9768591.233932
2026-05-07,502.93,503.68,488.131,492.36,9913713.82941
2026-05-08,504.24,520.46,502.75,520.3,7754540.50342
2026-05-11,524.08,533.74,521.66,532.76,7492556.93472
2026-05-12,520.85,525.15,495.71,515.99,14660632.675206
2026-05-13,527.615,532.25,515.94,528.29,7346374.426473
2026-05-14,526.495,533.13,522.21,530.03,5212394.987385
2026-05-15,511.67,518.7899,506.26,508.52,9388221.582644
2026-05-18,518.02,519.96,486.92,495.87,9998994.758032
2026-05-19,484.4,506.04,477.95,496.74,12216957.067272
2026-05-20,507.73,520.54,506.55,520.31,9457640.048649
2026-05-21,518.17,526.78,515.0,524.71,6749941.558964
2026-05-22,531.88,541.89,530.17,537.33,7671121.941714
2026-05-26,556.99,572.95,555.41,570.09,8926183.501201
2026-05-27,584.38,584.5,551.89,563.98,11412354.507842
2026-05-28,564.32,575.8,554.825,569.47,6763852.625346
2026-05-29,576.44,582.23,564.6,569.08,7323862.149404
2026-06-01,563.67,577.99,557.38,571.93,6999459.898983
2026-06-02,585.17,605.44,581.925,605.02,7475392.460247
2026-06-03,616.21,618.84,598.01,615.68,8564687.587813
2026-06-04,587.64,611.26,577.54,602.72,11445307.745146
2026-06-05,577.86,580.5,539.57,539.77,22377273.101388
2026-06-08,569.765,581.3799,560.79,571.45,12843005.495623
2026-06-09,585.45,588.58,522.24,562.14,24548093.27756
2026-06-10,551.66,572.51,539.38,541.51,16672232.640664
2026-06-11,555.42,588.0,554.81,586.93,12295375.756677
2026-06-12,584.11,602.69,578.53,596.25,9947173.425424
2026-06-15,622.61,629.7199,618.45,628.45,8170771.935698
2026-06-16,623.84,629.64,590.63,591.24,11204901.654772
2026-06-17,611.56,621.99,598.95,599.73,8948401.666849
2026-06-18,626.52,644.43,626.15,639.45,9666034.24363
2026-06-22,653.955,655.95,643.93,655.01,7782678.616841
2026-06-23,607.64,619.94,598.19,603.39,12712187.667146
2026-06-24,606.19,609.69,586.66,601.5,9230658.244606
2026-06-25,637.33,638.47,598.83,625.2,12792291.436124
2026-06-26,601.44,605.89,588.51,589.94,11017450.887072
2026-06-29,593.71,615.3499,571.6,614.35,11036773.982007
2026-06-30,616.15,644.94,616.15,640.76,10112580.471607
2026-07-01,616.815,622.89,597.88,599.7,9983015.659646
2026-07-02,601.235,608.11,554.91,566.32,16150385.498137
2026-07-06,583.153,598.0,580.48,581.51,8419387.532925
2026-07-07,551.925,558.06,536.12,551.69,12285700.612642
2026-07-08,544.66,564.5,543.87,562.03,7195380.074556
2026-07-09,589.5,594.99,579.14,581.7,10026208.69513
