date,open,high,low,close,volume
2026-02-02,402.5,436.0,399.53,432.95,6062819.0
2026-02-03,451.505,459.41,424.51,444.45,6089154.0
2026-02-04,442.0,453.4499,402.04,418.63,6601108.0
2026-02-05,413.56,418.395,394.24,405.45,5641931.0
2026-02-06,426.255,431.93,406.855,429.32,3284494.0
2026-02-09,424.04,438.55,415.0,425.0,3188635.0
2026-02-10,421.77,421.77,395.14,396.23,3171961.0
2026-02-11,409.64,415.6,391.0,407.25,2826992.0
2026-02-12,425.82,459.84,425.81,431.17,6436862.0
2026-02-13,416.06,431.66,402.5101,425.99,3856072.0
2026-02-17,420.0,429.23,411.6,415.94,2839302.0
2026-02-18,418.94,434.95,417.3,424.14,2865618.0
2026-02-19,420.17,424.11,402.16,408.97,3518298.0
2026-02-20,403.08,416.9899,399.13,411.11,2962570.0
2026-02-23,410.4,422.99,402.15,407.4,2402307.985513
2026-02-24,410.11,413.795,394.0452,396.02,3119265.388511
2026-02-25,409.26,426.5,408.3,421.85,3385586.805618
2026-02-26,413.69,416.5,393.22,409.67,3077461.892962
2026-02-27,400.0,415.6,396.22,407.84,3605503.598939
2026-03-02,393.59,407.7,374.53,379.52,4224403.723924
2026-03-03,361.26,365.98,350.1001,357.62,5712534.302881
2026-03-04,367.5,390.5,364.68,375.01,3774229.221723
2026-03-05,370.98,378.1499,352.56,367.34,3399908.311495
2026-03-06,356.31,370.34,351.15,352.8,2415593.192982
2026-03-09,342.42,374.66,342.0,374.33,2929890.122716
2026-03-10,377.93,398.285,377.93,384.29,3487003.413684
2026-03-11,384.0,391.24,376.15,385.97,1976404.129188
2026-03-12,382.71,385.0,368.69,373.98,2058322.723623
2026-03-13,378.07,394.9899,377.14,383.71,2913514.135525
2026-03-16,397.5,410.8,395.63,398.78,3120201.387262
2026-03-17,400.0,421.314,397.5,421.09,3469190.413447
2026-03-18,419.53,422.74,405.11,406.77,3830780.710224
2026-03-19,396.4,437.46,388.3701,434.6,4156999.229196
2026-03-20,433.5,439.73,409.25,411.23,8620007.809605
2026-03-23,420.0,425.18,395.1866,404.02,3864801.231694
2026-03-24,402.86,426.28,395.0,424.96,3759742.535788
2026-03-25,410.16,422.5299,389.01,413.22,3452468.651699
2026-03-26,401.66,406.65,377.33,378.79,4111856.530106
2026-03-27,378.53,388.07,376.08,380.07,2322526.697016
2026-03-30,393.06,399.414,351.4153,362.43,4159301.590194
2026-03-31,371.085,392.01,368.0,391.76,3605220.236869
2026-04-01,396.49,428.18,396.31,423.12,3715955.508639
2026-04-02,401.0,429.41,400.0,429.36,2376291.588877
2026-04-06,450.88,470.23,449.79,453.3,4887432.145256
2026-04-07,448.14,468.8499,445.001,468.72,4276706.476196
2026-04-08,503.195,517.1761,487.67,496.3,5424625.699424
2026-04-09,504.0,508.71,493.2001,500.77,3092213.396684
2026-04-10,504.67,509.55,494.6,503.13,3435178.531346
2026-04-13,500.08,514.75,495.65,513.28,2879996.543229
2026-04-14,520.0,534.23,501.45,533.44,3568561.169035
2026-04-15,520.83,526.0,503.11,519.6,3841387.096614
2026-04-16,511.76,532.06,506.0,531.81,3122664.265768
2026-04-17,544.45,553.57,537.5201,547.75,3449059.838536
2026-04-20,550.77,553.0,531.61,539.75,2915807.367151
2026-04-21,543.01,567.695,536.03,559.9,3562990.021578
2026-04-22,580.01,586.0,563.3,579.88,3233336.687059
2026-04-23,574.24,607.89,573.0101,587.62,3175669.426787
2026-04-24,592.7,599.9842,578.42,586.25,2704080.715042
2026-04-27,599.31,602.91,577.36,595.86,2919467.212719
2026-04-28,566.04,592.84,553.2,579.03,5956838.676494
2026-04-29,667.98,697.0,632.0,643.3,10896924.317911
2026-04-30,655.18,680.625,639.0501,673.64,6479288.462702
2026-05-01,667.01,728.0,663.3,726.93,7378731.877512
2026-05-04,742.16,749.0,729.175,738.54,6022114.087527
2026-05-05,754.995,792.01,752.585,771.01,6522482.645759
2026-05-06,768.8,787.35,752.8001,786.42,5575021.347907
2026-05-07,771.285,771.285,742.01,766.44,4900945.750256
2026-05-08,780.0,802.13,772.0,782.64,4873951.023188
2026-05-11,793.25,841.31,790.48,834.01,6078554.604803
2026-05-12,814.7,833.06,766.97,808.795,3798096.37866
2026-05-13,827.5,831.99,795.01,817.35,2511716.495138
2026-05-14,812.48,838.6,796.171,804.76,2360000.239423
2026-05-15,771.57,807.63,765.77,795.47,2784835.575797
2026-05-18,801.0,801.0,710.11,740.84,4945840.174821
2026-05-19,719.51,745.98,695.14,733.35,3639252.484533
2026-05-20,757.16,764.97,740.995,751.07,2269067.879864
2026-05-21,753.465,811.51,753.465,810.46,3483469.863855
2026-05-22,814.72,824.0,799.81,812.73,2534548.728362
2026-05-26,831.165,862.65,816.975,845.76,3437884.469033
2026-05-27,881.14,888.9488,846.07,870.66,3801119.273415
2026-05-28,889.515,905.39,866.01,880.72,2842956.758438
2026-05-29,892.83,904.17,867.02,879.8,4676282.524464
2026-06-01,885.33,940.79,882.92,921.26,3357953.738323
