date,open,high,low,close,volume
2026-02-23,199.17,199.325,194.14,195.59,1963129.574081
2026-02-24,194.77,204.51,192.6253,204.19,1982500.393974
2026-02-25,204.85,207.98,202.84,207.31,2416646.622713
2026-02-26,207.76,214.15,207.75,213.29,2231344.303104
2026-02-27,210.305,213.68,209.37,211.48,2234881.525817
2026-03-02,209.002,215.96,208.78,213.88,1966833.439701
2026-03-03,209.78,221.08,208.51,217.05,2367209.166075
2026-03-04,217.92,219.45,211.32,215.77,2471005.53041
2026-03-05,213.09,216.17,210.815,212.53,2112584.213625
2026-03-06,210.815,212.46,208.69,211.5,1587398.602112
2026-03-09,208.69,214.84,208.009,214.63,1876667.838061
2026-03-10,214.77,216.0,207.8,209.08,1877769.934479
2026-03-11,209.13,211.64,207.5,211.09,1869308.662141
2026-03-12,210.68,212.81,208.17,209.2,1351925.298815
2026-03-13,209.33,210.35,203.9,208.58,1633770.682682
2026-03-16,209.46,212.02,207.45,207.69,2130108.548966
2026-03-17,209.06,213.0,206.44,206.72,1587559.80592
2026-03-18,204.8,208.9,203.62,204.22,1497487.695692
2026-03-19,203.4,206.38,199.55,201.75,1626306.07007
2026-03-20,200.71,202.39,198.02,200.63,3698629.886769
2026-03-23,201.34,203.44,199.19,200.84,1875860.726707
2026-03-24,199.57,199.92,191.0,191.37,2465176.262016
2026-03-25,194.06,195.89,188.2275,193.05,1931517.720937
2026-03-26,190.5,197.17,190.35,194.72,1677431.363651
2026-03-27,193.0,194.0,187.63,189.69,1867354.624336
2026-03-30,192.79,195.62,191.23,193.08,2086697.854718
2026-03-31,194.24,198.51,193.38,197.5,2085095.154845
2026-04-01,198.0,199.48,196.545,198.2,1349038.029654
2026-04-02,195.11,202.13,193.902,199.87,1473754.477379
2026-04-06,199.8,199.9157,193.79,196.69,1406014.950964
2026-04-07,195.84,198.63,193.94,198.33,1247536.406739
2026-04-08,202.82,205.11,201.13,202.13,1646865.277584
2026-04-09,201.01,201.21,197.59,198.05,1494150.458153
2026-04-10,197.4,199.21,194.51,197.07,1533057.049027
2026-04-13,197.48,202.19,196.01,201.36,2078839.079404
2026-04-14,202.52,207.84,202.26,205.1,1730988.052192
2026-04-15,207.66,215.37,206.58,214.15,1952039.229373
2026-04-16,216.73,217.05,212.745,213.93,1383970.633323
2026-04-17,217.92,218.7,211.72,212.04,1792384.180013
2026-04-20,212.14,216.95,210.78,216.85,1384276.384807
2026-04-21,218.0,219.865,215.73,217.65,1166004.082765
2026-04-22,219.09,221.22,216.68,218.19,1246534.66817
2026-04-23,215.01,215.01,206.45,209.9,1587851.574809
2026-04-24,210.99,211.0,207.8,210.75,1101844.904987
2026-04-27,209.23,216.35,208.75,213.77,1533257.073566
2026-04-28,213.05,215.79,211.26,213.01,929308.082618
2026-04-29,212.59,215.92,209.51,215.34,1028008.1131
2026-04-30,213.48,215.5,211.33,213.76,1430807.371011
2026-05-01,215.46,217.36,211.5845,216.03,1042443.921556
2026-05-04,219.35,227.02,218.21,225.18,2046323.368842
2026-05-05,226.0,226.4427,221.94,223.11,1310291.757832
2026-05-06,221.0,225.14,218.7008,222.0,1850692.176517
2026-05-07,225.06,227.02,222.16,223.5,1901154.599787
2026-05-08,222.64,222.98,219.71,220.45,1756059.610456
2026-05-11,221.41,224.9273,219.04,221.47,2060955.811838
2026-05-12,224.36,228.79,221.7,225.99,1785621.39556
2026-05-13,224.93,228.95,221.73,226.99,1660548.548366
2026-05-14,239.5,246.2499,236.5001,242.41,3667000.064781
2026-05-15,243.77,246.2399,240.29,242.44,1959509.852375
2026-05-18,233.35,244.1299,231.96,242.16,2339650.144219
2026-05-19,240.4,242.16,235.9,238.14,1784847.830823
2026-05-20,236.1,237.32,233.13,236.62,1859184.080442
2026-05-21,236.3,241.91,236.1,238.08,4202722.504116
2026-05-22,243.745,247.0,220.56,227.55,7048109.032918
2026-05-26,225.13,230.64,220.49,220.67,3240639.166524
2026-05-27,217.97,224.11,216.4,218.46,2978601.773962
2026-05-28,219.67,221.48,216.31,217.87,2732060.707973
2026-05-29,218.26,227.775,217.85,224.16,6487340.550244
2026-06-01,227.99,231.02,223.88,226.98,2625780.360984
2026-06-02,222.26,224.0,217.36,222.38,2682946.105932
2026-06-03,220.0,220.7944,214.29,215.8,2188503.532933
2026-06-04,217.01,220.75,216.35,216.65,1942215.891371
2026-06-05,217.33,220.285,212.78,214.39,1989781.56057
2026-06-08,214.0,214.3557,208.495,212.55,2481421.746998
2026-06-09,210.69,213.3199,207.91,212.05,1769994.049085
2026-06-10,209.96,214.172,208.82,210.46,1999819.92149
2026-06-11,207.24,213.77,206.0,212.08,1865443.104906
2026-06-12,211.26,213.26,209.0,211.75,1496036.188953
2026-06-15,213.01,217.37,211.75,216.23,1632531.239226
2026-06-16,217.0,230.5,214.03,229.97,3489401.398879
2026-06-17,227.83,234.72,226.45,228.03,2674867.726765
2026-06-18,239.14,242.15,233.23,239.28,7241495.732114
