date,open,high,low,close,volume
2026-04-02,86.3994,89.125,86.0988,89.0813,3590071.374992
2026-04-06,89.2756,89.8313,88.9375,89.5275,2979314.45264
2026-04-07,89.06,89.835,87.7013,89.8063,4506807.11696
2026-04-08,93.3913,93.6925,91.8313,92.3875,5088476.544224
2026-04-09,92.375,92.5688,91.5,92.5188,3213134.872944
2026-04-10,92.8313,93.4819,92.5013,92.91,3282031.95836
2026-04-13,92.5863,94.8488,92.5325,94.7825,3631417.720472
2026-04-14,95.625,96.2613,95.25,96.255,5971403.841952
2026-04-15,96.5,98.0875,96.4912,98.0025,5603293.390672
2026-04-16,98.475,99.0898,97.5794,98.9925,4996677.953304
2026-04-17,100.2688,100.9375,100.0,100.6975,6283093.803736
2026-04-20,100.5238,101.165,99.9912,101.1413,5049988.457808
2026-04-21,101.57,102.17,100.65,101.02,3932768.022973
2026-04-22,102.05,103.05,101.55,103.03,3867798.910948
2026-04-23,102.21,102.76,100.25,101.57,4806574.847498
2026-04-24,102.95,104.27,102.3101,104.16,4139060.227951
2026-04-27,103.86,104.33,103.04,104.32,4182980.03959
2026-04-28,102.165,103.17,101.58,102.67,3531923.844601
2026-04-29,103.0,103.13,102.26,103.13,3541105.614616
2026-04-30,103.395,103.6025,101.5753,103.18,4354092.238113
2026-05-01,104.1,105.12,103.98,104.85,3780452.847196
2026-05-04,105.255,105.59,104.11,104.95,3673295.616746
2026-05-05,105.89,107.07,105.63,106.81,4915905.588145
2026-05-06,108.005,109.62,107.45,109.56,4629321.68263
2026-05-07,110.0,110.9688,108.99,109.5,4368471.919186
2026-05-08,110.58,112.48,110.34,112.44,3946989.153672
2026-05-11,112.41,114.0298,112.32,113.72,4822098.430124
2026-05-12,112.88,113.355,110.0,112.3,5205262.908349
2026-05-13,113.41,114.02,111.75,113.45,4045081.756885
2026-05-14,114.0,115.62,113.63,115.19,5493872.291133
2026-05-15,113.35,114.89,112.18,113.31,5467354.929279
2026-05-18,114.135,114.2,110.65,112.13,6326065.726199
2026-05-19,111.24,112.57,110.2,111.52,4918911.908059
2026-05-20,112.33,113.97,111.81,113.83,4997012.556371
2026-05-21,113.43,114.8999,113.12,114.49,3680537.691906
2026-05-22,115.51,116.5,115.14,115.75,3715972.167873
2026-05-26,117.3,118.62,116.88,118.05,5046927.12218
2026-05-27,118.49,118.7,116.35,117.38,4810511.152852
2026-05-28,117.69,119.3,117.18,118.95,4002796.480183
2026-05-29,120.17,121.5,120.03,121.06,4929307.048019
2026-06-01,121.85,124.6,121.67,124.19,7885216.1509
2026-06-02,124.63,125.82,124.38,125.77,6358720.200746
2026-06-03,125.86,126.0,123.34,123.91,6850813.378451
2026-06-04,121.73,123.7199,120.66,122.82,6066308.144339
2026-06-05,120.39,120.74,114.94,115.28,10674306.996291
2026-06-08,117.87,118.88,116.8,117.25,5799942.674333
2026-06-09,118.08,118.76,110.35,114.99,9603226.020432
2026-06-10,113.45,115.7584,112.18,112.34,5681874.934952
2026-06-11,113.09,116.26,112.19,116.07,4623905.4093
2026-06-12,116.18,117.49,114.96,116.74,5215255.749114
2026-06-15,119.98,120.98,119.64,120.73,4625830.871742
2026-06-16,120.37,120.92,117.73,117.81,4435146.772805
2026-06-17,119.04,119.42,116.6599,116.93,4509774.779671
2026-06-18,119.5,120.4,118.651,120.04,3666916.268961
2026-06-22,120.99,121.99,119.86,120.51,4507464.827844
2026-06-23,116.355,117.91,115.7723,116.07,5478101.359877
2026-06-24,116.03,116.84,113.85,115.13,5132986.900295
2026-06-25,117.89,118.07,113.22,115.47,7035931.314396
2026-06-26,113.575,115.0,112.8,113.86,4670079.611765
2026-06-29,115.27,116.58,112.58,116.5,4459981.178474
2026-06-30,116.73,119.771,116.465,119.52,3780543.000246
2026-07-01,117.81,118.44,116.95,117.22,3097306.907974
2026-07-02,117.055,118.48,113.62,114.64,5274065.943927
2026-07-06,115.68,117.56,115.33,116.37,5107468.060521
2026-07-07,114.325,115.09,112.5,114.06,5406574.275854
2026-07-08,113.02,115.625,112.81,115.47,4923091.668779
2026-07-09,117.02,118.2659,116.35,117.71,3155692.359237
2026-07-10,117.05,118.28,116.43,118.08,3830915.430788
2026-07-13,116.84,117.13,115.13,115.58,6228581.481261
2026-07-14,116.89,117.55,115.57,117.11,4868599.86932
2026-07-15,118.0,118.15,114.475,116.5,5357101.451641
2026-07-16,115.03,115.36,113.59,114.24,6021325.155862
2026-07-17,111.505,114.4544,110.7,113.1,5347752.612459
2026-07-20,114.27,114.87,113.13,113.23,2803547.99235
2026-07-21,115.15,116.14,114.51,116.01,3253529.918129
2026-07-22,114.86,116.3286,114.7032,115.62,3376476.369301
2026-07-23,114.84,115.63,113.555,114.39,3032455.22656
2026-07-24,114.175,115.1,112.79,113.3,2869076.301736
2026-07-27,114.53,114.64,110.995,112.42,3990166.669927
2026-07-28,110.895,111.53,108.75,110.87,4917153.168675
2026-07-29,110.935,111.75,108.1,108.2,5035462.882897
2026-07-30,111.4,113.81,111.37,113.58,4379333.201309
