date,open,high,low,close,volume
2026-04-16,15.09,15.21,14.82,14.84,912612.30518
2026-04-17,15.06,15.39,15.05,15.22,1355457.822712
2026-04-20,15.1,15.53,15.1,15.46,1314033.420813
2026-04-21,15.45,15.5495,15.255,15.35,1078885.59148
2026-04-22,15.39,15.44,15.075,15.18,1065412.507767
2026-04-23,15.12,15.195,14.72,15.11,1427263.780183
2026-04-24,14.96,15.145,14.77,15.02,1515560.75972
2026-04-27,15.02,15.28,14.95,15.08,1498122.965307
2026-04-28,15.25,15.48,15.02,15.27,1796810.636033
2026-04-29,15.14,15.225,14.78,14.87,1596270.51358
2026-04-30,14.71,14.965,14.61,14.83,1328424.529165
2026-05-01,14.97,15.14,14.83,14.89,1049372.801382
2026-05-04,14.73,15.03,14.675,14.74,1487086.269232
2026-05-05,14.76,14.77,14.495,14.5,1150841.555539
2026-05-06,14.61,14.725,14.145,14.32,1999770.725042
2026-05-07,13.25,14.835,13.0195,14.63,3913362.510618
2026-05-08,14.51,14.81,14.175,14.3,2104810.168384
2026-05-11,14.3,14.41,13.6,13.79,2312714.165194
2026-05-12,13.94,14.02,13.505,13.57,1999833.476027
2026-05-13,13.41,13.46,13.005,13.43,2587863.848456
2026-05-14,13.51,13.54,13.205,13.25,3816795.194217
2026-05-15,13.27,13.4,13.05,13.1,1743334.166552
2026-05-18,13.09,13.38,12.99,13.37,1687667.508893
2026-05-19,13.42,13.615,13.225,13.28,1711612.511192
2026-05-20,13.28,13.295,12.89,13.28,1629118.129774
2026-05-21,13.1,13.43,12.83,13.37,1577490.165108
2026-05-22,13.37,13.545,13.23,13.49,1704313.941021
2026-05-26,13.51,13.67,13.065,13.08,3144842.069222
2026-05-27,5.51,5.6,3.4,3.85,75513161.378979
2026-05-28,3.9,4.21,3.71,4.13,33232782.759517
2026-05-29,4.13,4.72,4.01,4.51,20999231.863388
2026-06-01,4.59,5.03,4.48,4.89,14905942.841469
2026-06-02,4.545,4.58,4.055,4.16,14853679.574376
2026-06-03,4.17,4.2,3.96,4.13,10157136.440847
2026-06-04,4.235,4.445,4.125,4.31,10600491.124578
2026-06-05,4.3,4.425,4.21,4.31,8160133.171926
2026-06-08,4.25,4.34,4.16,4.18,8508974.592563
2026-06-09,4.15,4.62,4.12,4.61,12282154.382396
2026-06-10,4.48,4.845,4.46,4.68,8155031.64385
2026-06-11,4.64,4.72,4.42,4.5,8086948.640672
2026-06-12,4.54,4.72,4.4301,4.67,6864148.889237
2026-06-15,4.715,5.18,4.715,4.98,8146501.470577
2026-06-16,5.01,5.21,4.93,5.02,5246991.591724
2026-06-17,4.96,5.19,4.7,4.71,6202815.625449
2026-06-18,4.76,4.7699,4.375,4.44,11428654.343035
2026-06-22,4.44,4.51,4.22,4.47,7454199.533655
2026-06-23,4.43,4.53,4.33,4.4,6255470.834528
2026-06-24,4.38,4.485,4.345,4.39,6135968.266124
2026-06-25,4.39,4.45,4.16,4.19,4951689.692926
2026-06-26,4.13,4.585,4.13,4.5,13578901.286161
2026-06-29,4.5,4.505,4.27,4.39,5885600.973382
2026-06-30,4.36,4.4,4.18,4.25,4842767.562698
2026-07-01,4.31,4.4101,4.2,4.22,5099469.515424
2026-07-02,4.29,4.4683,4.2566,4.3,4235229.237178
2026-07-06,4.3,4.36,4.135,4.34,4397150.395564
2026-07-07,4.35,4.45,4.205,4.22,3020110.538747
2026-07-08,4.19,4.32,4.13,4.225,4266871.179791
2026-07-09,4.2,4.23,4.13,4.22,3916172.637668
2026-07-10,4.28,4.315,4.07,4.12,3056790.411174
2026-07-13,4.255,4.75,4.255,4.52,10658601.09203
2026-07-14,4.46,4.52,4.34,4.34,3237077.797172
2026-07-15,4.35,4.465,4.26,4.29,2661291.425494
2026-07-16,4.29,4.3798,4.25,4.26,2699066.560452
2026-07-17,4.25,4.27,4.09,4.12,3551903.760469
2026-07-20,4.07,4.12,4.035,4.07,3212705.708043
2026-07-21,4.02,4.13,4.0,4.12,2933259.024743
2026-07-22,4.12,4.19,3.942,4.0,2916687.643958
2026-07-23,3.94,3.98,3.87,3.9,2631579.958708
2026-07-24,3.91,4.065,3.91,4.05,2979485.187506
2026-07-27,4.11,4.235,4.07,4.19,4288258.197767
2026-07-28,4.19,4.315,4.135,4.18,7780200.623734
2026-07-29,5.75,6.0,5.03,5.1,26128200.344875
2026-07-30,5.18,5.3175,4.9309,5.14,8249214.321666
2026-07-31,5.02,5.32,4.96,5.29,5233298.549345
2026-08-03,5.4,5.7,5.39,5.61,8421475.782606
2026-08-04,5.43,5.615,5.4,5.58,5501643.883427
2026-08-05,5.65,5.6599,5.435,5.61,5756712.545305
2026-08-06,4.785,5.21,4.77,5.12,7532560.352105
2026-08-07,5.15,5.169,4.875,4.9,4966798.032882
2026-08-10,4.83,4.865,4.71,4.74,5508319.480932
2026-08-11,4.71,4.85,4.65,4.78,3432581.196344
2026-08-12,4.76,4.8,4.6611,4.7,3098343.143619
2026-08-13,4.77,4.85,4.645,4.81,3304540.586357
