date,open,high,low,close,volume
2026-02-02,135.275,137.55,134.86,135.76,6994131.0
2026-02-03,135.61,139.915,134.92,139.78,7942648.0
2026-02-04,140.22,144.15,140.22,143.81,6676235.0
2026-02-05,142.0,143.0,139.16,141.46,4381367.0
2026-02-06,142.42,146.62,142.215,146.41,3533858.0
2026-02-09,145.41,147.07,144.89,146.49,2224816.0
2026-02-10,146.405,146.54,144.63,145.62,3661385.0
2026-02-11,147.81,149.21,146.71,149.06,3267862.0
2026-02-12,148.5,149.33,142.52,144.63,6406025.0
2026-02-13,144.28,148.38,144.19,147.89,4568358.0
2026-02-17,147.9,149.5,142.96,145.4,2975974.0
2026-02-18,146.72,148.26,146.32,148.05,3942596.0
2026-02-19,149.53,152.12,149.07,151.36,4539561.0
2026-02-20,150.7,152.52,149.94,151.86,4062755.0
2026-02-23,151.75,153.89,148.27,149.49,3516701.930507
2026-02-24,149.52,149.735,147.325,149.56,2727132.208228
2026-02-25,149.85,150.15,145.93,148.39,2443229.304249
2026-02-26,146.61,151.152,145.61,149.79,3130832.290502
2026-02-27,151.12,154.0,149.91,153.72,3549785.404472
2026-03-02,160.38,160.99,155.98,159.56,9874496.448132
2026-03-03,161.76,162.46,157.22,158.99,9494793.717316
2026-03-04,156.63,161.33,155.65,160.77,5099217.107448
2026-03-05,162.24,165.77,162.02,163.82,8732533.337002
2026-03-06,165.73,167.42,163.42,164.13,10272690.791074
2026-03-09,166.16,166.75,160.44,161.82,10482756.853784
2026-03-10,160.45,162.3,157.72,159.0,9847548.697718
2026-03-11,159.31,164.99,159.02,164.69,6574960.263891
2026-03-12,166.0,168.98,165.49,166.71,8954322.927969
2026-03-13,165.54,168.54,164.65,167.89,4904268.44498
2026-03-16,167.6,169.31,165.8,167.37,4656637.214008
2026-03-17,168.94,171.45,168.31,170.08,4553694.428298
2026-03-18,170.56,173.87,170.56,173.36,5627494.174755
2026-03-19,175.11,179.34,174.29,175.04,7139532.009597
2026-03-20,175.6,179.69,175.01,177.12,6319775.215539
2026-03-23,172.458,176.77,170.43,174.87,9620907.450522
2026-03-24,176.38,182.31,176.38,180.24,4832135.110707
2026-03-25,178.4,181.805,178.0,181.62,4400651.436168
2026-03-26,182.41,187.19,182.41,185.32,4482736.50501
2026-03-27,186.66,188.48,185.23,188.18,4496350.298438
2026-03-30,190.09,190.36,184.61,185.48,6008731.787136
2026-03-31,185.5,187.72,178.1,181.83,7389228.915608
2026-04-01,177.4,180.476,173.055,174.85,7667936.632948
2026-04-02,181.29,182.31,175.955,177.72,4688350.98725
2026-04-06,177.05,179.1,176.23,179.06,2676733.594291
2026-04-07,179.49,182.979,179.49,180.34,5214920.130906
2026-04-08,166.42,172.27,164.68,171.69,6721896.529395
2026-04-09,172.65,174.13,166.595,167.76,5696252.914406
2026-04-10,167.23,168.92,165.715,168.46,3574202.083536
2026-04-13,170.76,171.558,167.46,168.69,2622093.03338
2026-04-14,166.95,167.3,162.48,163.42,5553686.955106
2026-04-15,162.81,165.66,161.61,164.26,2886763.399039
2026-04-16,164.3,168.11,164.28,167.82,3164469.296443
2026-04-17,159.77,160.16,154.635,159.69,9203633.432201
2026-04-20,161.03,162.12,159.59,161.11,2718864.19332
2026-04-21,161.36,165.47,161.0615,165.0,4055102.058719
2026-04-22,166.13,168.5,166.13,168.26,2418959.052476
2026-04-23,169.22,170.215,167.4,169.56,5599732.862513
2026-04-24,169.05,169.8,166.79,168.05,3480216.927039
2026-04-27,169.47,171.894,168.76,169.48,2246316.360543
2026-04-28,172.3,173.23,170.74,171.65,3607288.964467
2026-04-29,174.3,177.85,173.725,177.72,4993079.426909
2026-04-30,174.15,178.53,172.88,178.21,2500713.483333
2026-05-01,176.82,177.83,172.7701,176.67,2787519.767454
2026-05-04,177.23,181.06,176.0,181.01,4801746.06266
2026-05-05,179.61,181.67,178.825,180.59,2969669.990224
2026-05-06,171.92,173.98,169.09,169.33,6567484.606385
2026-05-07,165.5,166.67,162.24,166.06,5819582.534668
2026-05-08,165.47,167.1888,163.815,165.16,2849425.023922
2026-05-11,167.7,169.28,166.83,168.66,2683284.676633
2026-05-12,170.34,170.91,168.04,169.74,3147954.468569
2026-05-13,169.91,170.6,166.72,168.34,3437746.123086
2026-05-14,167.67,170.19,167.3,169.22,2238203.276759
2026-05-15,171.0,174.27,170.8485,174.13,3155800.575206
2026-05-18,172.97,177.86,171.431,176.21,3458488.102377
2026-05-19,177.23,179.135,175.455,178.56,2184935.267004
2026-05-20,177.87,179.93,173.26,174.73,6249252.970823
2026-05-21,177.165,177.79,169.23,170.65,5523351.302494
2026-05-22,169.88,172.45,169.46,171.95,2499199.400343
2026-05-26,169.72,172.1,166.02,166.1,3568837.235581
2026-05-27,162.87,165.57,161.95,163.36,3283604.051951
2026-05-28,164.78,166.07,163.1005,164.96,2868862.238316
2026-05-29,164.28,164.88,161.89,163.99,3402152.617894
2026-06-01,166.71,170.67,166.67,167.87,4246923.275303
2026-06-02,167.03,169.93,166.8018,168.85,2789549.481485
2026-06-03,169.96,173.01,168.69,171.13,2902001.155645
2026-06-04,169.27,171.73,168.51,171.02,4039787.194825
2026-06-05,170.48,170.9599,165.9601,165.99,2357563.508128
2026-06-08,168.1,170.635,167.81,168.39,3083821.966396
2026-06-09,167.05,167.45,161.75,164.05,6145906.499077
2026-06-10,165.53,170.515,165.41,167.99,3124256.281245
2026-06-11,169.17,170.455,163.25,163.41,5713424.066073
2026-06-12,162.24,167.3,161.83,165.34,3664137.628182
2026-06-15,157.52,160.43,157.52,158.36,6672429.286773
2026-06-16,156.19,157.96,155.765,157.17,6052231.370651
2026-06-17,156.45,158.04,155.08,155.75,5487251.327582
2026-06-18,154.23,154.41,151.55,153.36,5548731.256052
2026-06-22,153.45,155.03,151.86,154.9,2801963.440929
2026-06-23,153.66,155.73,153.2,155.04,3534550.071348
2026-06-24,152.09,153.91,150.37,153.03,3581780.038402
2026-06-25,151.87,155.285,151.385,154.74,2508657.481078
2026-06-26,153.77,156.07,153.61,154.68,2899985.684612
2026-06-29,155.02,157.18,154.92,155.37,2723989.376642
2026-06-30,155.29,156.985,154.045,154.26,2486936.136553
2026-07-01,154.1,155.86,152.97,153.75,2181812.05248
2026-07-02,154.68,156.7,153.65,154.64,1988327.583894
2026-07-06,153.91,155.34,153.67,153.96,1539381.473109
2026-07-07,154.83,158.335,154.36,157.36,5146438.454665
2026-07-08,160.61,163.24,158.71,161.99,6438861.078803
2026-07-09,160.82,161.21,158.785,159.46,3030488.902133
2026-07-10,160.25,160.5,156.41,158.57,2841157.024647
2026-07-13,161.65,166.09,161.45,165.19,5595527.464677
2026-07-14,166.2,166.95,163.43,165.85,2588942.671112
2026-07-15,165.87,166.37,162.4,164.86,2051650.127053
2026-07-16,165.64,168.1,165.51,166.44,1840813.16087
2026-07-17,168.88,170.85,167.74,170.18,3346507.318369
2026-07-20,169.0,172.06,168.765,170.04,3263093.62819
2026-07-21,170.89,173.87,170.8,173.83,2389121.065566
2026-07-22,176.26,177.97,175.15,176.59,2752146.636052
2026-07-23,180.05,180.5,175.27,175.66,3384293.34311
2026-07-24,175.43,177.61,173.63,174.05,3622824.123644
2026-07-27,169.91,172.14,168.8,169.08,3752547.989361
2026-07-28,169.23,170.7,165.385,166.37,3811697.493333
2026-07-29,170.9,172.54,170.2,172.04,5119911.261887
2026-07-30,170.4,175.2,170.07,174.87,1874157.660696
2026-07-31,175.47,177.5,173.48,177.4,2167843.340323
2026-08-03,172.66,176.91,171.96,174.28,2916636.848218
2026-08-04,171.38,173.22,168.72,171.95,3250863.361098
2026-08-05,172.31,172.78,165.06,165.19,4195583.734014
2026-08-06,168.42,168.96,165.365,167.05,2715439.332334
2026-08-07,165.85,168.77,164.355,166.4,2403876.233078
2026-08-10,169.6,176.265,169.06,175.93,3772163.870496
2026-08-11,175.36,178.91,175.02,178.37,2906508.788161
2026-08-12,177.85,179.22,176.9,178.58,2630526.256391
2026-08-13,176.62,179.32,175.19,179.17,2521785.070654
2026-08-14,179.87,182.38,179.16,180.49,2051676.201367
