date,open,high,low,close,volume
2026-04-06,82.03,83.02,81.23,82.68,2718822.595238
2026-04-07,82.89,85.29,82.83,84.02,4057396.343795
2026-04-08,85.8,86.34,82.88,83.23,4068667.697151
2026-04-09,83.27,84.48,81.9,84.03,4919391.45576
2026-04-10,84.01,84.06,77.015,79.24,6056079.508128
2026-04-13,79.86,82.88,79.24,82.8,4634649.030309
2026-04-14,83.5,84.64,81.23,82.4,3562854.33487
2026-04-15,83.855,89.46,83.33,89.03,6063811.329041
2026-04-16,90.0,90.5,86.0801,86.68,5060935.325774
2026-04-17,88.82,89.1,87.11,88.02,3633921.131659
2026-04-20,89.08,90.69,88.11,90.56,3529160.30506
2026-04-21,92.75,94.505,90.69,90.96,4838150.310318
2026-04-22,92.7,93.51,89.5,91.92,3490840.649556
2026-04-23,90.24,90.6,87.19,90.01,3810938.891781
2026-04-24,90.51,93.2099,89.545,92.03,4255189.555277
2026-04-27,91.08,92.0,89.7125,90.83,3885360.784457
2026-04-28,91.27,92.38,90.27,91.14,3053679.406123
2026-04-29,91.685,96.51,91.02,95.76,6815835.316279
2026-04-30,95.5,97.8,93.49,97.15,7949194.917646
2026-05-01,99.0,104.14,98.81,103.44,5825876.319792
2026-05-04,103.55,107.91,103.21,106.63,5501948.732554
2026-05-05,107.015,109.5,105.33,109.1,4238453.25743
2026-05-06,106.744,108.26,104.61,105.13,6186848.210571
2026-05-07,107.65,108.92,105.33,108.36,4750595.896731
2026-05-08,108.25,109.41,105.22,109.21,3771231.248488
2026-05-11,109.305,111.56,105.46,107.12,4110327.952705
2026-05-12,106.36,106.655,102.22,102.96,4890053.13694
2026-05-13,103.48,103.96,101.51,102.43,3479109.51752
2026-05-14,102.58,102.9,97.81,98.23,6261210.796652
2026-05-15,98.6,102.47,98.52,100.16,6579314.750435
2026-05-18,99.5,100.44,98.28,98.87,6000225.697103
2026-05-19,98.21,100.49,97.03,97.39,5873296.946629
2026-05-20,96.46,99.59,95.71,99.42,4969435.877418
2026-05-21,99.0,100.0699,95.36,96.75,9122795.201687
2026-05-22,108.5,113.73,105.09,105.64,9632558.232153
2026-05-26,105.215,105.215,99.66,100.09,5430302.255223
2026-05-27,99.44,101.94,98.75,99.96,3564297.354169
2026-05-28,100.0,102.89,98.935,100.46,3859790.509406
2026-05-29,101.58,102.63,99.37,101.59,5506352.609713
2026-06-01,104.0,114.74,103.36,111.62,8697092.491187
2026-06-02,108.29,113.525,108.11,111.88,4760973.094077
2026-06-03,110.38,110.735,105.6,106.2,3093416.098002
2026-06-04,105.61,106.83,103.29,105.21,3608796.504133
2026-06-05,105.66,105.96,99.57,101.62,3605572.527997
2026-06-08,101.88,102.8,100.165,101.15,3731070.203721
2026-06-09,101.345,101.5,93.32,96.83,4799225.280714
2026-06-10,95.5,96.85,93.7301,93.96,3467963.490617
2026-06-11,92.6,93.73,90.795,92.32,4153972.871251
2026-06-12,92.0,94.4,90.28,93.68,3254859.193271
2026-06-15,93.83,96.39,93.0,94.25,4219592.082554
2026-06-16,93.29,93.63,90.39,92.07,4712099.090064
2026-06-17,91.6,91.6,87.205,87.39,4130747.068282
2026-06-18,86.53,86.95,85.01,86.36,8136342.405179
2026-06-22,85.28,87.72,82.95,84.34,5488354.776401
2026-06-23,84.34,86.7,84.3,86.445,3913268.054482
2026-06-24,85.22,87.37,84.98,85.47,3865076.831929
2026-06-25,84.84,85.15,82.2675,82.88,3266108.52616
2026-06-26,83.43,86.73,83.0,86.48,3881928.022371
2026-06-29,88.005,88.75,85.86,86.14,3220409.909054
2026-06-30,85.9,87.32,85.24,86.31,3823957.336732
2026-07-01,88.56,91.09,87.89,90.13,3564582.474765
2026-07-02,89.25,90.5,86.855,87.145,3514869.991989
2026-07-06,86.37,87.09,84.65,84.96,3401955.755433
2026-07-07,86.475,87.83,85.64,85.68,2472811.351601
2026-07-08,85.78,87.9,85.03,87.4,3735495.461856
2026-07-09,85.905,89.95,85.55,89.88,3109764.675036
2026-07-10,90.86,91.49,89.355,89.76,2732573.745983
2026-07-13,89.99,93.15,89.99,91.88,3180469.19135
2026-07-14,88.6,91.88,88.302,91.15,3197792.320998
2026-07-15,91.98,94.1,91.55,92.6,3754268.747379
2026-07-16,93.0,94.45,91.66,92.92,2723467.415095
2026-07-17,90.852,92.36,89.91,91.13,2751150.044492
2026-07-20,90.66,91.86,89.3,90.91,2586816.67691
2026-07-21,89.56,91.0,89.1,89.77,2570049.423367
2026-07-22,89.4,89.705,85.53,85.81,3088502.222772
2026-07-23,85.88,86.49,83.325,84.11,3031849.952448
2026-07-24,85.22,88.17,85.22,87.99,3982238.544111
2026-07-27,90.11,91.7,89.735,91.22,3132220.079547
2026-07-28,91.17,92.22,89.35,91.48,3457945.998568
2026-07-29,91.12,94.14,90.53,92.41,3094795.035453
2026-07-30,92.15,92.475,90.68,92.32,2841894.39499
2026-07-31,92.19,96.37,91.135,96.07,4598789.159871
